,wins,rewards,scores,steps,high_tile
0,0,tensor([-23.5000]),44,27,tensor(1.)
1,0,tensor([-23.5000]),47,32,tensor(1.)
2,0,tensor([-23.5000]),65,48,tensor(1.)
3,0,tensor([-23.5000]),39,30,tensor(1.)
4,0,tensor([-23.5000]),27,27,tensor(1.)
5,0,tensor([-23.5000]),40,28,tensor(1.)
6,0,tensor([-23.5000]),68,46,tensor(1.)
7,1,"tensor([37.5000], dtype=torch.float64)",95,47,tensor(1.)
8,0,tensor([-23.5000]),90,51,tensor(1.)
9,0,tensor([-23.5000]),76,38,tensor(1.)
10,0,tensor([-23.5000]),75,57,tensor(1.)
11,0,tensor([-23.5000]),26,20,tensor(1.)
12,0,tensor([-23.5000]),36,28,tensor(1.)
13,0,tensor([-23.5000]),46,37,tensor(1.)
14,0,tensor([-23.5000]),96,83,tensor(1.)
15,1,"tensor([38.5000], dtype=torch.float64)",94,55,tensor(1.)
16,0,tensor([-23.5000]),85,56,tensor(1.)
17,0,tensor([-23.5000]),67,47,tensor(1.)
18,0,tensor([-23.5000]),45,35,tensor(1.)
19,0,tensor([-23.5000]),48,30,tensor(1.)
20,0,tensor([-23.5000]),39,38,tensor(1.)
21,0,tensor([-23.5000]),50,35,tensor(1.)
22,0,tensor([-23.5000]),51,35,tensor(1.)
23,0,tensor([-23.5000]),71,40,tensor(1.)
24,0,tensor([-23.5000]),45,42,tensor(1.)
25,0,tensor([-23.5000]),25,18,tensor(1.)
26,0,tensor([-23.5000]),27,28,tensor(1.)
27,0,tensor([-23.5000]),36,33,tensor(1.)
28,0,tensor([-23.5000]),69,43,tensor(1.)
29,0,tensor([-23.5000]),69,46,tensor(1.)
30,0,tensor([-23.5000]),30,21,tensor(1.)
31,0,tensor([-23.5000]),73,47,tensor(1.)
32,0,tensor([-23.5000]),37,24,tensor(1.)
33,1,"tensor([39.5000], dtype=torch.float64)",94,44,tensor(1.)
34,0,tensor([-23.5000]),67,52,tensor(1.)
35,0,tensor([-23.5000]),32,28,tensor(1.)
36,0,tensor([-23.5000]),103,64,tensor(1.)
37,0,tensor([-23.5000]),79,58,tensor(1.)
38,0,tensor([-23.5000]),71,45,tensor(1.)
39,0,tensor([-23.5000]),43,29,tensor(1.)
40,0,tensor([-23.5000]),38,28,tensor(1.)
41,0,tensor([-23.5000]),76,51,tensor(1.)
42,0,tensor([-23.5000]),69,48,tensor(1.)
43,0,tensor([-23.5000]),67,44,tensor(1.)
