,wins,rewards,scores,steps,high_tile
0,0,tensor([-5.]),84,62,tensor(1.)
1,1,"tensor([6.], dtype=torch.float64)",91,49,tensor(1.)
2,0,tensor([-5.]),94,74,tensor(1.)
3,0,tensor([-5.]),56,39,tensor(1.)
4,0,tensor([-4.]),37,27,tensor(1.)
5,0,tensor([-4.]),37,28,tensor(1.)
6,0,tensor([-4.]),36,28,tensor(1.)
7,0,tensor([-5.]),67,47,tensor(1.)
8,0,tensor([-5.]),101,58,tensor(1.)
9,0,tensor([-3.]),14,23,tensor(1.)
10,1,"tensor([6.], dtype=torch.float64)",100,66,tensor(1.)
11,1,"tensor([6.], dtype=torch.float64)",112,65,tensor(1.)
12,0,tensor([-5.]),73,45,tensor(1.)
13,0,tensor([-5.]),67,39,tensor(1.)
14,0,tensor([-5.]),68,43,tensor(1.)
15,0,tensor([-5.]),81,54,tensor(1.)
16,0,tensor([-4.]),52,31,tensor(1.)
17,0,tensor([-5.]),80,45,tensor(1.)
18,0,tensor([-5.]),73,44,tensor(1.)
19,0,tensor([-4.]),38,24,tensor(1.)
20,0,tensor([-5.]),71,41,tensor(1.)
21,0,tensor([-4.]),39,28,tensor(1.)
22,0,tensor([-4.]),27,21,tensor(1.)
23,0,tensor([-5.]),73,48,tensor(1.)
24,0,tensor([-5.]),102,66,tensor(1.)
25,0,tensor([-4.]),29,30,tensor(1.)
26,0,tensor([-5.]),89,60,tensor(1.)
27,0,tensor([-4.]),34,28,tensor(1.)
28,0,tensor([-5.]),111,82,tensor(1.)
29,0,tensor([-5.]),50,51,tensor(1.)
30,0,tensor([-5.]),80,61,tensor(1.)
31,0,tensor([-5.]),59,40,tensor(1.)
32,0,tensor([-3.]),23,20,tensor(1.)
33,0,tensor([-5.]),105,66,tensor(1.)
34,0,tensor([-4.]),27,29,tensor(1.)
35,0,tensor([-5.]),53,40,tensor(1.)
36,0,tensor([-5.]),72,68,tensor(1.)
37,0,tensor([-5.]),86,61,tensor(1.)
38,0,tensor([-5.]),76,72,tensor(1.)
39,0,tensor([-4.]),36,35,tensor(1.)
40,0,tensor([-5.]),74,62,tensor(1.)
41,0,tensor([-4.]),45,34,tensor(1.)
42,0,tensor([-5.]),75,47,tensor(1.)
43,0,tensor([-4.]),50,44,tensor(1.)
