,wins,rewards,scores,steps,high_tile
0,1,"tensor([6.], dtype=torch.float64)",107,53,tensor(1.)
1,0,tensor([-4.]),39,28,tensor(1.)
2,0,tensor([-5.]),79,46,tensor(1.)
3,0,tensor([-4.]),22,20,tensor(1.)
4,0,tensor([-5.]),58,41,tensor(1.)
5,0,tensor([-5.]),71,41,tensor(1.)
6,0,tensor([-5.]),76,45,tensor(1.)
7,0,tensor([-4.]),43,34,tensor(1.)
8,0,tensor([-3.]),20,18,tensor(1.)
9,0,tensor([-4.]),30,30,tensor(1.)
10,0,tensor([-4.]),42,27,tensor(1.)
11,0,tensor([-5.]),71,41,tensor(1.)
12,0,tensor([-5.]),53,39,tensor(1.)
13,0,tensor([-4.]),51,39,tensor(1.)
14,1,"tensor([6.], dtype=torch.float64)",89,49,tensor(1.)
15,0,tensor([-5.]),77,45,tensor(1.)
16,0,tensor([-5.]),49,29,tensor(1.)
17,0,tensor([-5.]),76,47,tensor(1.)
18,0,tensor([-4.]),34,27,tensor(1.)
19,0,tensor([-5.]),61,36,tensor(1.)
20,0,tensor([-4.]),44,36,tensor(1.)
21,0,tensor([-5.]),74,46,tensor(1.)
22,0,tensor([-4.]),46,33,tensor(1.)
23,0,tensor([-5.]),74,49,tensor(1.)
24,0,tensor([-5.]),73,45,tensor(1.)
25,0,tensor([-4.]),23,19,tensor(1.)
26,0,tensor([-4.]),43,29,tensor(1.)
27,0,tensor([-5.]),59,33,tensor(1.)
28,0,tensor([-5.]),72,49,tensor(1.)
29,0,tensor([-5.]),75,53,tensor(1.)
30,0,tensor([-5.]),79,47,tensor(1.)
31,0,tensor([-5.]),71,47,tensor(1.)
32,0,tensor([-5.]),71,45,tensor(1.)
33,1,"tensor([6.], dtype=torch.float64)",91,50,tensor(1.)
34,0,tensor([-5.]),71,43,tensor(1.)
35,0,tensor([-4.]),54,43,tensor(1.)
36,0,tensor([-5.]),66,37,tensor(1.)
37,0,tensor([-5.]),55,40,tensor(1.)
38,0,tensor([-5.]),69,37,tensor(1.)
39,0,tensor([-4.]),41,33,tensor(1.)
40,0,tensor([-4.]),50,35,tensor(1.)
41,0,tensor([-4.]),37,35,tensor(1.)
42,0,tensor([-4.]),38,31,tensor(1.)
43,1,"tensor([6.], dtype=torch.float64)",92,47,tensor(1.)
44,0,tensor([-4.]),30,25,tensor(1.)
45,0,tensor([-4.]),50,32,tensor(1.)
46,0,tensor([-4.]),63,47,tensor(1.)
47,0,tensor([-4.]),50,31,tensor(1.)
48,0,tensor([-3.]),20,17,tensor(1.)
49,0,tensor([-4.]),36,34,tensor(1.)
50,0,tensor([-4.]),30,25,tensor(1.)
51,1,"tensor([6.], dtype=torch.float64)",96,52,tensor(1.)
52,0,tensor([-5.]),67,48,tensor(1.)
53,0,tensor([-5.]),63,44,tensor(1.)
54,0,tensor([-5.]),62,42,tensor(1.)
55,0,tensor([-5.]),67,40,tensor(1.)
56,0,tensor([-4.]),32,30,tensor(1.)
57,0,tensor([-4.]),37,24,tensor(1.)
58,0,tensor([-5.]),77,44,tensor(1.)
59,0,tensor([-5.]),65,43,tensor(1.)
60,0,tensor([-4.]),43,31,tensor(1.)
61,0,tensor([-5.]),82,58,tensor(1.)
62,0,tensor([-5.]),75,76,tensor(1.)
63,0,tensor([-4.]),32,25,tensor(1.)
64,0,tensor([-4.]),46,34,tensor(1.)
65,1,"tensor([6.], dtype=torch.float64)",95,55,tensor(1.)
66,1,"tensor([6.], dtype=torch.float64)",95,54,tensor(1.)
67,0,tensor([-4.]),52,40,tensor(1.)
68,1,"tensor([6.], dtype=torch.float64)",95,57,tensor(1.)
69,0,tensor([-5.]),69,45,tensor(1.)
70,0,tensor([-5.]),80,58,tensor(1.)
71,0,tensor([-5.]),77,41,tensor(1.)
72,0,tensor([-5.]),87,46,tensor(1.)
73,1,"tensor([6.], dtype=torch.float64)",92,74,tensor(1.)
74,0,tensor([-5.]),84,48,tensor(1.)
75,0,tensor([-4.]),48,34,tensor(1.)
76,0,tensor([-4.]),46,30,tensor(1.)
77,0,tensor([-5.]),67,58,tensor(1.)
78,0,tensor([-5.]),56,54,tensor(1.)
79,0,tensor([-5.]),69,41,tensor(1.)
80,0,tensor([-5.]),64,43,tensor(1.)
81,0,tensor([-4.]),39,44,tensor(1.)
82,0,tensor([-5.]),71,42,tensor(1.)
83,1,"tensor([6.], dtype=torch.float64)",93,55,tensor(1.)
84,0,tensor([-4.]),34,26,tensor(1.)
85,0,tensor([-5.]),68,48,tensor(1.)
86,0,tensor([-4.]),34,29,tensor(1.)
87,0,tensor([-5.]),78,52,tensor(1.)
88,0,tensor([-4.]),24,26,tensor(1.)
89,0,tensor([-5.]),112,63,tensor(1.)
90,1,"tensor([6.], dtype=torch.float64)",93,56,tensor(1.)
91,0,tensor([-4.]),36,28,tensor(1.)
92,0,tensor([-3.]),18,23,tensor(1.)
93,0,tensor([-5.]),80,61,tensor(1.)
94,0,tensor([-4.]),41,43,tensor(1.)
95,1,"tensor([6.], dtype=torch.float64)",92,55,tensor(1.)
96,0,tensor([-4.]),39,25,tensor(1.)
97,0,tensor([-5.]),71,43,tensor(1.)
98,0,tensor([-5.]),68,38,tensor(1.)
99,0,tensor([-4.]),34,26,tensor(1.)
100,0,tensor([-4.]),34,30,tensor(1.)
101,0,tensor([-4.]),41,29,tensor(1.)
102,0,tensor([-5.]),82,45,tensor(1.)
103,0,tensor([-4.]),35,39,tensor(1.)
104,0,tensor([-4.]),43,30,tensor(1.)
105,0,tensor([-4.]),41,37,tensor(1.)
106,0,tensor([-5.]),56,53,tensor(1.)
107,0,tensor([-4.]),45,30,tensor(1.)
108,0,tensor([-5.]),62,44,tensor(1.)
109,0,tensor([-5.]),68,52,tensor(1.)
110,0,tensor([-5.]),75,61,tensor(1.)
111,0,tensor([-5.]),52,35,tensor(1.)
112,0,tensor([-4.]),36,30,tensor(1.)
113,0,tensor([-4.]),39,30,tensor(1.)
114,0,tensor([-5.]),108,88,tensor(1.)
115,0,tensor([-5.]),65,63,tensor(1.)
116,0,tensor([-5.]),82,49,tensor(1.)
117,0,tensor([-4.]),25,33,tensor(1.)
118,0,tensor([-3.]),27,28,tensor(1.)
119,0,tensor([-5.]),64,71,tensor(1.)
120,0,tensor([-5.]),82,62,tensor(1.)
121,0,tensor([-3.]),20,24,tensor(1.)
122,0,tensor([-4.]),46,37,tensor(1.)
123,0,tensor([-4.]),39,29,tensor(1.)
124,0,tensor([-4.]),53,61,tensor(1.)
125,0,tensor([-4.]),47,46,tensor(1.)
126,0,tensor([-4.]),29,24,tensor(1.)
127,0,tensor([-5.]),50,36,tensor(1.)
128,0,tensor([-4.]),52,32,tensor(1.)
129,0,tensor([-5.]),55,45,tensor(1.)
130,0,tensor([-4.]),47,33,tensor(1.)
131,0,tensor([-4.]),39,36,tensor(1.)
132,0,tensor([-4.]),48,32,tensor(1.)
133,0,tensor([-4.]),29,40,tensor(1.)
134,0,tensor([-5.]),51,32,tensor(1.)
135,0,tensor([-3.]),13,15,tensor(1.)
136,0,tensor([-4.]),41,37,tensor(1.)
137,0,tensor([-5.]),84,54,tensor(1.)
138,0,tensor([-5.]),73,55,tensor(1.)
139,0,tensor([-5.]),76,72,tensor(1.)
140,0,tensor([-5.]),74,48,tensor(1.)
141,0,tensor([-5.]),68,53,tensor(1.)
142,0,tensor([-5.]),71,54,tensor(1.)
143,0,tensor([-4.]),35,30,tensor(1.)
144,0,tensor([-5.]),76,48,tensor(1.)
145,0,tensor([-4.]),48,44,tensor(1.)
146,0,tensor([-5.]),60,39,tensor(1.)
147,0,tensor([-4.]),37,41,tensor(1.)
148,0,tensor([-5.]),74,51,tensor(1.)
149,1,"tensor([6.], dtype=torch.float64)",116,76,tensor(1.)
150,0,tensor([-5.]),55,59,tensor(1.)
151,0,tensor([-5.]),89,61,tensor(1.)
152,0,tensor([-5.]),55,40,tensor(1.)
153,0,tensor([-5.]),71,51,tensor(1.)
154,0,tensor([-3.]),23,26,tensor(1.)
155,1,"tensor([6.], dtype=torch.float64)",93,69,tensor(1.)
156,0,tensor([-5.]),67,63,tensor(1.)
157,0,tensor([-5.]),76,45,tensor(1.)
158,0,tensor([-5.]),69,52,tensor(1.)
159,0,tensor([-5.]),84,68,tensor(1.)
160,0,tensor([-4.]),43,36,tensor(1.)
161,0,tensor([-4.]),52,47,tensor(1.)
162,0,tensor([-4.]),50,32,tensor(1.)
163,0,tensor([-4.]),41,40,tensor(1.)
164,0,tensor([-5.]),70,53,tensor(1.)
165,0,tensor([-5.]),68,43,tensor(1.)
166,0,tensor([-5.]),54,58,tensor(1.)
167,0,tensor([-5.]),64,48,tensor(1.)
168,0,tensor([-5.]),71,52,tensor(1.)
169,0,tensor([-5.]),66,54,tensor(1.)
170,0,tensor([-4.]),45,50,tensor(1.)
171,0,tensor([-5.]),64,60,tensor(1.)
