,wins,rewards,scores,steps,high_tile
0,0,tensor([-5.]),73,37,tensor(1.)
1,0,tensor([-4.]),29,22,tensor(1.)
2,0,tensor([-5.]),73,40,tensor(1.)
3,0,tensor([-4.]),44,30,tensor(1.)
4,0,tensor([-4.]),39,26,tensor(1.)
5,0,tensor([-4.]),50,43,tensor(1.)
6,0,tensor([-5.]),73,46,tensor(1.)
7,0,tensor([-5.]),66,48,tensor(1.)
8,1,"tensor([6.], dtype=torch.float64)",87,46,tensor(1.)
9,0,tensor([-4.]),41,27,tensor(1.)
10,0,tensor([-5.]),62,46,tensor(1.)
11,0,tensor([-5.]),73,55,tensor(1.)
12,0,tensor([-5.]),68,56,tensor(1.)
13,1,"tensor([6.], dtype=torch.float64)",104,48,tensor(1.)
14,0,tensor([-5.]),75,44,tensor(1.)
15,0,tensor([-4.]),39,35,tensor(1.)
16,0,tensor([-4.]),39,27,tensor(1.)
17,0,tensor([-4.]),50,34,tensor(1.)
18,0,tensor([-5.]),56,42,tensor(1.)
19,0,tensor([-4.]),43,31,tensor(1.)
20,0,tensor([-4.]),25,20,tensor(1.)
21,0,tensor([-5.]),84,47,tensor(1.)
22,0,tensor([-4.]),43,28,tensor(1.)
23,0,tensor([-4.]),34,24,tensor(1.)
24,0,tensor([-4.]),30,21,tensor(1.)
25,0,tensor([-5.]),73,43,tensor(1.)
26,0,tensor([-4.]),43,31,tensor(1.)
27,0,tensor([-4.]),32,24,tensor(1.)
28,0,tensor([-5.]),66,41,tensor(1.)
29,0,tensor([-5.]),52,32,tensor(1.)
30,0,tensor([-4.]),36,27,tensor(1.)
31,0,tensor([-4.]),41,35,tensor(1.)
32,0,tensor([-5.]),62,34,tensor(1.)
33,0,tensor([-4.]),37,29,tensor(1.)
34,0,tensor([-5.]),53,35,tensor(1.)
35,0,tensor([-5.]),69,45,tensor(1.)
36,0,tensor([-4.]),29,30,tensor(1.)
37,0,tensor([-4.]),41,37,tensor(1.)
38,0,tensor([-5.]),53,42,tensor(1.)
39,0,tensor([-5.]),64,43,tensor(1.)
40,0,tensor([-5.]),59,42,tensor(1.)
41,0,tensor([-5.]),51,40,tensor(1.)
42,1,"tensor([6.], dtype=torch.float64)",96,49,tensor(1.)
43,1,"tensor([6.], dtype=torch.float64)",89,49,tensor(1.)
44,0,tensor([-3.]),19,27,tensor(1.)
45,0,tensor([-5.]),53,37,tensor(1.)
46,0,tensor([-4.]),34,27,tensor(1.)
47,0,tensor([-5.]),68,40,tensor(1.)
48,0,tensor([-5.]),71,40,tensor(1.)
49,0,tensor([-5.]),69,37,tensor(1.)
50,0,tensor([-5.]),76,50,tensor(1.)
51,0,tensor([-5.]),66,47,tensor(1.)
52,0,tensor([-5.]),90,53,tensor(1.)
53,0,tensor([-4.]),36,24,tensor(1.)
54,0,tensor([-4.]),50,35,tensor(1.)
55,0,tensor([-5.]),76,47,tensor(1.)
56,0,tensor([-5.]),64,56,tensor(1.)
57,0,tensor([-5.]),98,64,tensor(1.)
58,0,tensor([-4.]),29,25,tensor(1.)
59,0,tensor([-5.]),78,47,tensor(1.)
60,0,tensor([-4.]),57,37,tensor(1.)
61,0,tensor([-5.]),54,45,tensor(1.)
62,1,"tensor([6.], dtype=torch.float64)",103,54,tensor(1.)
63,1,"tensor([6.], dtype=torch.float64)",89,47,tensor(1.)
64,1,"tensor([6.], dtype=torch.float64)",111,76,tensor(1.)
65,0,tensor([-4.]),41,32,tensor(1.)
66,1,"tensor([6.], dtype=torch.float64)",90,49,tensor(1.)
67,0,tensor([-5.]),74,52,tensor(1.)
68,0,tensor([-5.]),100,64,tensor(1.)
69,0,tensor([-5.]),94,75,tensor(1.)
70,1,"tensor([6.], dtype=torch.float64)",91,56,tensor(1.)
71,0,tensor([-4.]),28,21,tensor(1.)
72,1,"tensor([6.], dtype=torch.float64)",96,60,tensor(1.)
73,1,"tensor([6.], dtype=torch.float64)",96,46,tensor(1.)
74,0,tensor([-4.]),32,40,tensor(1.)
75,0,tensor([-5.]),66,41,tensor(1.)
76,0,tensor([-5.]),73,48,tensor(1.)
77,0,tensor([-4.]),34,37,tensor(1.)
78,0,tensor([-5.]),53,33,tensor(1.)
79,0,tensor([-5.]),62,45,tensor(1.)
80,0,tensor([-4.]),34,31,tensor(1.)
81,0,tensor([-5.]),56,36,tensor(1.)
82,0,tensor([-4.]),39,35,tensor(1.)
83,0,tensor([-5.]),73,51,tensor(1.)
84,0,tensor([-5.]),96,64,tensor(1.)
85,0,tensor([-5.]),65,54,tensor(1.)
86,0,tensor([-4.]),49,32,tensor(1.)
87,0,tensor([-4.]),46,38,tensor(1.)
88,0,tensor([-5.]),69,44,tensor(1.)
89,0,tensor([-4.]),45,28,tensor(1.)
90,0,tensor([-5.]),59,44,tensor(1.)
91,0,tensor([-4.]),41,31,tensor(1.)
92,0,tensor([-5.]),73,70,tensor(1.)
93,0,tensor([-5.]),60,38,tensor(1.)
94,0,tensor([-5.]),78,57,tensor(1.)
95,0,tensor([-5.]),68,54,tensor(1.)
96,0,tensor([-4.]),45,42,tensor(1.)
97,1,"tensor([6.], dtype=torch.float64)",84,48,tensor(1.)
98,0,tensor([-5.]),92,62,tensor(1.)
99,0,tensor([-5.]),87,55,tensor(1.)
100,0,tensor([-5.]),84,57,tensor(1.)
101,0,tensor([-3.]),15,17,tensor(1.)
102,1,"tensor([6.], dtype=torch.float64)",119,68,tensor(1.)
103,0,tensor([-4.]),41,33,tensor(1.)
104,0,tensor([-3.]),20,19,tensor(1.)
105,0,tensor([-4.]),31,25,tensor(1.)
106,0,tensor([-5.]),53,40,tensor(1.)
107,0,tensor([-5.]),82,63,tensor(1.)
108,0,tensor([-5.]),53,35,tensor(1.)
109,0,tensor([-5.]),85,52,tensor(1.)
110,0,tensor([-4.]),43,32,tensor(1.)
111,0,tensor([-5.]),82,67,tensor(1.)
112,0,tensor([-4.]),33,36,tensor(1.)
113,1,"tensor([6.], dtype=torch.float64)",93,71,tensor(1.)
114,0,tensor([-5.]),71,55,tensor(1.)
115,0,tensor([-4.]),36,34,tensor(1.)
116,0,tensor([-5.]),47,41,tensor(1.)
117,0,tensor([-3.]),9,19,tensor(1.)
118,0,tensor([-4.]),30,50,tensor(1.)
119,1,"tensor([6.], dtype=torch.float64)",90,59,tensor(1.)
120,0,tensor([-5.]),71,46,tensor(1.)
121,0,tensor([-5.]),59,50,tensor(1.)
122,0,tensor([-4.]),39,32,tensor(1.)
123,0,tensor([-5.]),77,73,tensor(1.)
124,0,tensor([-5.]),71,47,tensor(1.)
125,0,tensor([-5.]),48,50,tensor(1.)
126,0,tensor([-5.]),63,53,tensor(1.)
127,0,tensor([-5.]),71,73,tensor(1.)
128,0,tensor([-5.]),68,49,tensor(1.)
129,0,tensor([-5.]),52,42,tensor(1.)
130,0,tensor([-4.]),18,20,tensor(1.)
131,0,tensor([-5.]),76,77,tensor(1.)
132,0,tensor([-4.]),32,37,tensor(1.)
133,0,tensor([-5.]),67,52,tensor(1.)
134,0,tensor([-5.]),78,47,tensor(1.)
135,0,tensor([-4.]),68,66,tensor(1.)
136,0,tensor([-5.]),73,64,tensor(1.)
137,0,tensor([-5.]),62,71,tensor(1.)
138,0,tensor([-5.]),64,56,tensor(1.)
139,0,tensor([-4.]),45,39,tensor(1.)
140,0,tensor([-4.]),54,37,tensor(1.)
141,0,tensor([-5.]),73,51,tensor(1.)
142,0,tensor([-5.]),74,56,tensor(1.)
143,0,tensor([-4.]),45,58,tensor(1.)
144,0,tensor([-4.]),20,27,tensor(1.)
145,0,tensor([-4.]),54,42,tensor(1.)
146,0,tensor([-4.]),27,33,tensor(1.)
147,0,tensor([-4.]),48,51,tensor(1.)
148,0,tensor([-5.]),84,74,tensor(1.)
149,0,tensor([-5.]),62,43,tensor(1.)
150,0,tensor([-5.]),55,57,tensor(1.)
151,0,tensor([-5.]),82,77,tensor(1.)
152,0,tensor([-5.]),84,73,tensor(1.)
153,0,tensor([-4.]),30,33,tensor(1.)
154,0,tensor([-4.]),36,36,tensor(1.)
155,0,tensor([-4.]),39,44,tensor(1.)
156,1,"tensor([6.], dtype=torch.float64)",94,68,tensor(1.)
157,0,tensor([-5.]),76,63,tensor(1.)
158,0,tensor([-5.]),74,119,tensor(1.)
159,1,"tensor([6.], dtype=torch.float64)",93,84,tensor(1.)
160,0,tensor([-4.]),55,41,tensor(1.)
161,0,tensor([-5.]),82,63,tensor(1.)
162,0,tensor([-4.]),54,43,tensor(1.)
163,1,"tensor([6.], dtype=torch.float64)",84,55,tensor(1.)
