,wins,rewards,scores,steps,high_tile
0,0,tensor([-4.]),39,25,tensor(1.)
1,0,tensor([-4.]),32,24,tensor(1.)
2,0,tensor([-5.]),73,50,tensor(1.)
3,0,tensor([-4.]),38,32,tensor(1.)
4,1,tensor([6.]),89,52,tensor(1.)
5,0,tensor([-5.]),71,54,tensor(1.)
6,0,tensor([-4.]),29,25,tensor(1.)
7,0,tensor([-5.]),83,61,tensor(1.)
8,0,tensor([-4.]),29,30,tensor(1.)
9,0,tensor([-5.]),48,31,tensor(1.)
10,0,tensor([-5.]),60,44,tensor(1.)
11,0,tensor([-5.]),82,68,tensor(1.)
12,0,tensor([-3.]),16,26,tensor(1.)
13,0,tensor([-4.]),45,43,tensor(1.)
14,0,tensor([-5.]),53,33,tensor(1.)
15,0,tensor([-5.]),76,52,tensor(1.)
16,1,tensor([6.]),95,44,tensor(1.)
17,0,tensor([-4.]),29,29,tensor(1.)
18,0,tensor([-5.]),86,62,tensor(1.)
19,0,tensor([-5.]),76,47,tensor(1.)
20,1,tensor([6.]),90,43,tensor(1.)
21,0,tensor([-5.]),69,45,tensor(1.)
22,0,tensor([-4.]),50,35,tensor(1.)
23,0,tensor([-5.]),73,45,tensor(1.)
24,0,tensor([-5.]),87,56,tensor(1.)
25,0,tensor([-5.]),60,48,tensor(1.)
26,0,tensor([-4.]),32,37,tensor(1.)
27,0,tensor([-4.]),38,30,tensor(1.)
28,0,tensor([-5.]),64,41,tensor(1.)
29,0,tensor([-5.]),64,44,tensor(1.)
30,0,tensor([-4.]),41,34,tensor(1.)
31,0,tensor([-4.]),45,37,tensor(1.)
32,1,tensor([6.]),101,49,tensor(1.)
33,0,tensor([-5.]),65,36,tensor(1.)
34,0,tensor([-3.]),19,16,tensor(1.)
35,0,tensor([-4.]),37,31,tensor(1.)
36,0,tensor([-4.]),32,27,tensor(1.)
37,0,tensor([-4.]),45,31,tensor(1.)
38,0,tensor([-5.]),47,36,tensor(1.)
39,0,tensor([-5.]),76,43,tensor(1.)
40,0,tensor([-5.]),62,47,tensor(1.)
41,0,tensor([-5.]),68,48,tensor(1.)
42,0,tensor([-5.]),60,43,tensor(1.)
43,0,tensor([-5.]),73,53,tensor(1.)
44,0,tensor([-5.]),59,48,tensor(1.)
45,0,tensor([-5.]),55,37,tensor(1.)
46,0,tensor([-5.]),59,41,tensor(1.)
47,1,tensor([6.]),94,57,tensor(1.)
48,0,tensor([-4.]),48,45,tensor(1.)
49,0,tensor([-4.]),36,35,tensor(1.)
50,0,tensor([-5.]),46,55,tensor(1.)
51,0,tensor([-5.]),81,55,tensor(1.)
52,0,tensor([-5.]),65,66,tensor(1.)
53,1,tensor([6.]),97,67,tensor(1.)
54,0,tensor([-4.]),39,36,tensor(1.)
55,0,tensor([-5.]),51,34,tensor(1.)
56,0,tensor([-4.]),55,85,tensor(1.)
57,0,tensor([-5.]),92,56,tensor(1.)
58,0,tensor([-5.]),73,53,tensor(1.)
59,0,tensor([-4.]),32,26,tensor(1.)
60,0,tensor([-5.]),68,53,tensor(1.)
61,0,tensor([-4.]),42,29,tensor(1.)
62,0,tensor([-4.]),27,25,tensor(1.)
63,0,tensor([-5.]),110,85,tensor(1.)
64,0,tensor([-5.]),66,65,tensor(1.)
65,0,tensor([-4.]),54,50,tensor(1.)
66,0,tensor([-4.]),36,39,tensor(1.)
67,0,tensor([-4.]),37,34,tensor(1.)
68,1,tensor([6.]),95,71,tensor(1.)
69,1,tensor([6.]),111,107,tensor(1.)
70,0,tensor([-5.]),77,89,tensor(1.)
71,0,tensor([-5.]),83,73,tensor(1.)
72,0,tensor([-4.]),29,37,tensor(1.)
73,0,tensor([-5.]),83,71,tensor(1.)
74,1,tensor([6.]),94,71,tensor(1.)
75,0,tensor([-5.]),71,48,tensor(1.)
76,0,tensor([-3.]),16,18,tensor(1.)
77,1,tensor([6.]),92,48,tensor(1.)
78,0,tensor([-3.]),23,21,tensor(1.)
79,0,tensor([-5.]),98,80,tensor(1.)
