,wins,rewards,scores,steps,high_tile
0,0,tensor([-5.]),81,62,tensor(1.)
1,0,tensor([-4.]),40,34,tensor(1.)
2,0,tensor([-5.]),83,58,tensor(1.)
3,0,tensor([-5.]),78,48,tensor(1.)
4,0,tensor([-5.]),107,74,tensor(1.)
5,0,tensor([-4.]),39,37,tensor(1.)
6,0,tensor([-5.]),77,50,tensor(1.)
7,0,tensor([-4.]),39,26,tensor(1.)
8,0,tensor([-4.]),34,27,tensor(1.)
9,0,tensor([-4.]),52,38,tensor(1.)
10,0,tensor([-5.]),59,39,tensor(1.)
11,0,tensor([-4.]),46,30,tensor(1.)
12,0,tensor([-3.]),21,18,tensor(1.)
13,0,tensor([-4.]),47,30,tensor(1.)
14,0,tensor([-3.]),19,16,tensor(1.)
15,0,tensor([-4.]),32,25,tensor(1.)
16,0,tensor([-4.]),46,34,tensor(1.)
17,0,tensor([-5.]),74,49,tensor(1.)
18,1,tensor([6.]),82,55,tensor(1.)
19,0,tensor([-4.]),44,39,tensor(1.)
20,0,tensor([-5.]),72,48,tensor(1.)
21,1,tensor([6.]),98,53,tensor(1.)
22,1,tensor([6.]),93,51,tensor(1.)
23,0,tensor([-5.]),82,45,tensor(1.)
24,0,tensor([-4.]),59,39,tensor(1.)
25,0,tensor([-5.]),82,46,tensor(1.)
26,0,tensor([-3.]),18,23,tensor(1.)
27,0,tensor([-5.]),94,51,tensor(1.)
28,0,tensor([-5.]),69,45,tensor(1.)
29,0,tensor([-4.]),59,38,tensor(1.)
30,0,tensor([-4.]),36,30,tensor(1.)
31,0,tensor([-4.]),39,31,tensor(1.)
32,0,tensor([-5.]),63,40,tensor(1.)
33,0,tensor([-5.]),60,45,tensor(1.)
34,0,tensor([-4.]),34,29,tensor(1.)
35,0,tensor([-4.]),55,36,tensor(1.)
36,0,tensor([-5.]),89,74,tensor(1.)
37,0,tensor([-5.]),71,53,tensor(1.)
38,0,tensor([-5.]),62,47,tensor(1.)
39,0,tensor([-5.]),53,45,tensor(1.)
40,0,tensor([-5.]),53,48,tensor(1.)
41,0,tensor([-4.]),33,29,tensor(1.)
42,0,tensor([-4.]),32,35,tensor(1.)
43,0,tensor([-5.]),69,48,tensor(1.)
44,0,tensor([-5.]),69,47,tensor(1.)
45,0,tensor([-4.]),41,39,tensor(1.)
46,0,tensor([-5.]),67,55,tensor(1.)
47,1,tensor([6.]),93,44,tensor(1.)
48,0,tensor([-4.]),46,33,tensor(1.)
49,1,tensor([6.]),100,54,tensor(1.)
50,0,tensor([-4.]),48,37,tensor(1.)
