,wins,rewards,scores,steps,high_tile
0,0,tensor([-5.]),80,55,tensor(1.)
1,0,tensor([-4.]),30,20,tensor(1.)
2,0,tensor([-5.]),65,54,tensor(1.)
3,0,tensor([-5.]),71,50,tensor(1.)
4,0,tensor([-5.]),65,38,tensor(1.)
5,0,tensor([-4.]),55,37,tensor(1.)
6,0,tensor([-3.]),16,15,tensor(1.)
7,0,tensor([-4.]),42,39,tensor(1.)
8,0,tensor([-5.]),73,44,tensor(1.)
9,0,tensor([-4.]),27,19,tensor(1.)
10,0,tensor([-4.]),38,33,tensor(1.)
11,0,tensor([-4.]),41,30,tensor(1.)
12,0,tensor([-4.]),41,39,tensor(1.)
13,0,tensor([-5.]),68,40,tensor(1.)
14,0,tensor([-5.]),60,52,tensor(1.)
15,0,tensor([-3.]),23,21,tensor(1.)
16,0,tensor([-5.]),84,56,tensor(1.)
17,0,tensor([-5.]),69,38,tensor(1.)
18,0,tensor([-4.]),36,29,tensor(1.)
19,0,tensor([-4.]),51,53,tensor(1.)
20,1,tensor([6.]),127,82,tensor(1.)
21,0,tensor([-5.]),75,50,tensor(1.)
22,0,tensor([-5.]),55,34,tensor(1.)
23,0,tensor([-4.]),28,28,tensor(1.)
24,0,tensor([-5.]),60,45,tensor(1.)
25,0,tensor([-3.]),19,23,tensor(1.)
26,0,tensor([-5.]),69,44,tensor(1.)
27,0,tensor([-4.]),54,41,tensor(1.)
28,0,tensor([-5.]),66,45,tensor(1.)
29,0,tensor([-5.]),86,53,tensor(1.)
30,0,tensor([-4.]),40,37,tensor(1.)
31,0,tensor([-3.]),16,17,tensor(1.)
32,0,tensor([-3.]),23,24,tensor(1.)
33,0,tensor([-5.]),69,54,tensor(1.)
34,1,tensor([6.]),98,65,tensor(1.)
35,0,tensor([-4.]),42,34,tensor(1.)
36,0,tensor([-5.]),105,69,tensor(1.)
37,1,tensor([6.]),100,62,tensor(1.)
38,0,tensor([-5.]),62,48,tensor(1.)
39,0,tensor([-3.]),19,16,tensor(1.)
40,0,tensor([-4.]),37,27,tensor(1.)
41,0,tensor([-4.]),30,36,tensor(1.)
42,0,tensor([-5.]),75,67,tensor(1.)
43,0,tensor([-5.]),71,50,tensor(1.)
44,0,tensor([-5.]),62,36,tensor(1.)
45,0,tensor([-4.]),53,62,tensor(1.)
46,0,tensor([-5.]),84,64,tensor(1.)
47,0,tensor([-5.]),78,45,tensor(1.)
48,0,tensor([-4.]),41,28,tensor(1.)
49,0,tensor([-4.]),32,31,tensor(1.)
50,0,tensor([-5.]),71,45,tensor(1.)
51,0,tensor([-3.]),25,28,tensor(1.)
