,wins,rewards,scores,steps,high_tile
0,0,tensor([-5.1000]),80,52,tensor(1.)
1,0,tensor([-4.1000]),48,30,tensor(1.)
2,0,tensor([-5.1000]),51,36,tensor(1.)
3,0,tensor([-5.1000]),66,39,tensor(1.)
4,0,tensor([-4.1000]),34,25,tensor(1.)
5,0,tensor([-4.1000]),43,30,tensor(1.)
6,0,tensor([-5.1000]),62,38,tensor(1.)
7,0,tensor([-4.1000]),32,28,tensor(1.)
8,0,tensor([-5.1000]),62,35,tensor(1.)
9,0,tensor([-5.1000]),80,52,tensor(1.)
10,0,tensor([-4.1000]),39,31,tensor(1.)
11,0,tensor([-5.1000]),57,48,tensor(1.)
12,0,tensor([-4.1000]),36,24,tensor(1.)
13,0,tensor([-5.1000]),83,53,tensor(1.)
14,0,tensor([-4.1000]),31,31,tensor(1.)
15,0,tensor([-5.1000]),69,47,tensor(1.)
16,0,tensor([-5.1000]),56,42,tensor(1.)
17,0,tensor([-5.1000]),58,32,tensor(1.)
18,0,tensor([-4.1000]),39,33,tensor(1.)
19,0,tensor([-5.1000]),57,40,tensor(1.)
20,0,tensor([-5.1000]),64,35,tensor(1.)
21,0,tensor([-4.1000]),32,31,tensor(1.)
22,0,tensor([-5.1000]),52,33,tensor(1.)
23,0,tensor([-5.1000]),66,48,tensor(1.)
24,0,tensor([-5.1000]),59,47,tensor(1.)
25,0,tensor([-5.1000]),101,61,tensor(1.)
26,0,tensor([-5.1000]),73,43,tensor(1.)
27,0,tensor([-4.1000]),44,33,tensor(1.)
28,0,tensor([-5.1000]),112,62,tensor(1.)
29,0,tensor([-4.1000]),50,45,tensor(1.)
30,0,tensor([-5.1000]),67,40,tensor(1.)
31,0,tensor([-5.1000]),78,60,tensor(1.)
32,0,tensor([-4.1000]),54,38,tensor(1.)
33,0,tensor([-5.1000]),71,51,tensor(1.)
34,0,tensor([-5.1000]),69,44,tensor(1.)
35,0,tensor([-5.1000]),70,49,tensor(1.)
36,0,tensor([-4.1000]),28,26,tensor(1.)
37,0,tensor([-5.1000]),69,49,tensor(1.)
38,0,tensor([-4.1000]),27,21,tensor(1.)
39,0,tensor([-4.1000]),39,43,tensor(1.)
40,0,tensor([-5.1000]),74,43,tensor(1.)
41,0,tensor([-4.1000]),38,34,tensor(1.)
42,0,tensor([-5.1000]),62,40,tensor(1.)
43,0,tensor([-5.1000]),110,75,tensor(1.)
44,0,tensor([-5.1000]),92,74,tensor(1.)
45,0,tensor([-3.1000]),21,18,tensor(1.)
46,0,tensor([-4.1000]),52,47,tensor(1.)
47,0,tensor([-5.1000]),82,54,tensor(1.)
48,0,tensor([-4.1000]),32,39,tensor(1.)
49,0,tensor([-5.1000]),74,62,tensor(1.)
50,0,tensor([-3.1000]),14,16,tensor(1.)
51,0,tensor([-4.1000]),23,24,tensor(1.)
52,0,tensor([-4.1000]),35,35,tensor(1.)
53,0,tensor([-4.1000]),59,45,tensor(1.)
54,0,tensor([-5.1000]),56,38,tensor(1.)
55,0,tensor([-5.1000]),105,86,tensor(1.)
56,0,tensor([-4.1000]),39,54,tensor(1.)
57,0,tensor([-5.1000]),62,48,tensor(1.)
58,0,tensor([-5.1000]),58,34,tensor(1.)
59,0,tensor([-5.1000]),84,67,tensor(1.)
60,0,tensor([-5.1000]),62,52,tensor(1.)
61,0,tensor([-5.1000]),71,51,tensor(1.)
62,1,tensor([5.9000]),103,57,tensor(1.)
63,0,tensor([-5.1000]),70,53,tensor(1.)
64,0,tensor([-5.1000]),52,58,tensor(1.)
65,0,tensor([-4.1000]),30,36,tensor(1.)
66,0,tensor([-4.1000]),54,58,tensor(1.)
67,0,tensor([-5.1000]),55,42,tensor(1.)
68,0,tensor([-4.1000]),32,26,tensor(1.)
69,0,tensor([-3.1000]),7,18,tensor(1.)
70,0,tensor([-4.1000]),32,40,tensor(1.)
71,0,tensor([-4.1000]),41,29,tensor(1.)
72,0,tensor([-5.1000]),76,82,tensor(1.)
73,0,tensor([-5.1000]),60,45,tensor(1.)
74,0,tensor([-3.1000]),28,24,tensor(1.)
75,0,tensor([-4.1000]),43,48,tensor(1.)
76,0,tensor([-4.1000]),35,31,tensor(1.)
77,1,tensor([5.9000]),108,67,tensor(1.)
78,0,tensor([-5.1000]),72,56,tensor(1.)
79,0,tensor([-3.1000]),32,58,tensor(1.)
80,0,tensor([-5.1000]),84,67,tensor(1.)
81,0,tensor([-5.1000]),68,69,tensor(1.)
82,0,tensor([-5.1000]),87,90,tensor(1.)
83,0,tensor([-5.1000]),78,87,tensor(1.)
84,1,tensor([5.9000]),107,88,tensor(1.)
85,0,tensor([-5.1000]),77,65,tensor(1.)
86,0,tensor([-5.1000]),71,56,tensor(1.)
87,0,tensor([-4.1000]),55,46,tensor(1.)
88,0,tensor([-4.1000]),51,61,tensor(1.)
89,0,tensor([-4.1000]),44,28,tensor(1.)
90,0,tensor([-4.1000]),52,51,tensor(1.)
91,0,tensor([-5.1000]),66,56,tensor(1.)
92,0,tensor([-4.1000]),45,41,tensor(1.)
93,0,tensor([-5.1000]),85,65,tensor(1.)
94,0,tensor([-4.1000]),37,44,tensor(1.)
95,0,tensor([-5.1000]),86,119,tensor(1.)
96,0,tensor([-4.1000]),34,31,tensor(1.)
97,0,tensor([-5.1000]),90,68,tensor(1.)
98,0,tensor([-4.1000]),36,32,tensor(1.)
99,0,tensor([-5.1000]),88,79,tensor(1.)
100,0,tensor([-5.1000]),82,100,tensor(1.)
101,0,tensor([-5.1000]),76,56,tensor(1.)
102,0,tensor([-5.1000]),72,81,tensor(1.)
103,1,tensor([5.9000]),99,70,tensor(1.)
104,1,tensor([5.9000]),95,78,tensor(1.)
105,0,tensor([-4.1000]),35,42,tensor(1.)
106,0,tensor([-3.1000]),28,38,tensor(1.)
107,0,tensor([-5.1000]),59,74,tensor(1.)
108,0,tensor([-5.1000]),75,61,tensor(1.)
109,1,tensor([5.9000]),104,75,tensor(1.)
110,0,tensor([-4.1000]),48,50,tensor(1.)
111,0,tensor([-5.1000]),87,70,tensor(1.)
112,1,tensor([5.9000]),100,56,tensor(1.)
113,0,tensor([-4.1000]),43,42,tensor(1.)
114,0,tensor([-4.1000]),46,53,tensor(1.)
115,1,tensor([5.9000]),101,94,tensor(1.)
116,1,tensor([5.9000]),94,79,tensor(1.)
117,0,tensor([-5.1000]),60,71,tensor(1.)
118,0,tensor([-4.1000]),57,68,tensor(1.)
119,1,tensor([5.9000]),107,103,tensor(1.)
120,0,tensor([-4.1000]),36,76,tensor(1.)
121,0,tensor([-5.1000]),82,79,tensor(1.)
122,0,tensor([-4.1000]),23,30,tensor(1.)
123,0,tensor([-4.1000]),41,69,tensor(1.)
124,0,tensor([-4.1000]),55,85,tensor(1.)
125,0,tensor([-5.1000]),73,106,tensor(1.)
126,1,tensor([5.9000]),91,152,tensor(1.)
127,0,tensor([-5.1000]),76,77,tensor(1.)
128,0,tensor([-4.1000]),42,47,tensor(1.)
129,0,tensor([-5.1000]),124,189,tensor(1.)
130,0,tensor([-5.1000]),88,91,tensor(1.)
131,0,tensor([-5.1000]),68,81,tensor(1.)
132,0,tensor([-5.1000]),57,178,tensor(1.)
133,0,tensor([-5.1000]),83,113,tensor(1.)
134,0,tensor([-5.1000]),81,95,tensor(1.)
135,0,tensor([-5.1000]),90,115,tensor(1.)
136,0,tensor([-5.1000]),50,102,tensor(1.)
137,0,tensor([-5.1000]),82,166,tensor(1.)
138,1,tensor([5.9000]),93,89,tensor(1.)
139,1,tensor([5.9000]),97,146,tensor(1.)
140,0,tensor([-5.1000]),54,106,tensor(1.)
141,0,tensor([-5.1000]),66,68,tensor(1.)
142,0,tensor([-5.1000]),88,158,tensor(1.)
143,0,tensor([-5.1000]),76,79,tensor(1.)
144,0,tensor([-4.1000]),55,100,tensor(1.)
145,0,tensor([-5.1000]),102,175,tensor(1.)
146,0,tensor([-5.1000]),89,266,tensor(1.)
147,0,tensor([-5.1000]),74,126,tensor(1.)
148,0,tensor([-4.1000]),29,51,tensor(1.)
149,0,tensor([-4.1000]),56,65,tensor(1.)
150,0,tensor([-5.1000]),82,128,tensor(1.)
151,0,tensor([-4.1000]),45,66,tensor(1.)
152,0,tensor([-4.1000]),28,93,tensor(1.)
153,0,tensor([-5.1000]),79,80,tensor(1.)
154,0,tensor([-5.1000]),101,256,tensor(1.)
155,0,tensor([-4.1000]),41,61,tensor(1.)
156,0,tensor([-5.1000]),76,184,tensor(1.)
157,0,tensor([-4.1000]),37,106,tensor(1.)
