,wins,rewards,scores,steps,high_tile
0,1,tensor([0.]),96,44,tensor(1.)
1,0,tensor([-5.]),64,33,tensor(1.)
2,0,tensor([-5.]),80,58,tensor(1.)
3,0,tensor([-5.]),58,31,tensor(1.)
4,0,tensor([-5.]),62,36,tensor(1.)
5,0,tensor([-5.]),80,44,tensor(1.)
6,0,tensor([-5.]),78,55,tensor(1.)
7,0,tensor([-3.]),22,28,tensor(1.)
8,0,tensor([-5.]),73,43,tensor(1.)
9,0,tensor([-5.]),69,40,tensor(1.)
10,0,tensor([-4.]),33,22,tensor(1.)
11,0,tensor([-5.]),57,34,tensor(1.)
12,1,tensor([0.]),85,43,tensor(1.)
13,0,tensor([-5.]),81,60,tensor(1.)
14,1,tensor([0.]),89,40,tensor(1.)
15,0,tensor([-4.]),46,42,tensor(1.)
16,0,tensor([-4.]),25,21,tensor(1.)
17,0,tensor([-5.]),49,29,tensor(1.)
18,0,tensor([-4.]),27,22,tensor(1.)
19,0,tensor([-4.]),28,20,tensor(1.)
20,0,tensor([-5.]),67,37,tensor(1.)
21,0,tensor([-5.]),59,44,tensor(1.)
22,0,tensor([-4.]),43,30,tensor(1.)
23,0,tensor([-5.]),62,41,tensor(1.)
24,0,tensor([-5.]),71,47,tensor(1.)
25,1,tensor([0.]),91,42,tensor(1.)
26,0,tensor([-5.]),73,55,tensor(1.)
27,1,tensor([0.]),97,51,tensor(1.)
28,0,tensor([-5.]),82,49,tensor(1.)
29,0,tensor([-5.]),77,43,tensor(1.)
30,1,tensor([0.]),101,79,tensor(1.)
31,0,tensor([-4.]),36,31,tensor(1.)
32,0,tensor([-5.]),78,45,tensor(1.)
33,0,tensor([-5.]),74,56,tensor(1.)
34,0,tensor([-5.]),69,48,tensor(1.)
35,0,tensor([-4.]),37,27,tensor(1.)
36,0,tensor([-5.]),71,58,tensor(1.)
37,0,tensor([-5.]),65,49,tensor(1.)
38,0,tensor([-4.]),45,31,tensor(1.)
39,0,tensor([-4.]),41,33,tensor(1.)
40,0,tensor([-5.]),65,34,tensor(1.)
41,0,tensor([-5.]),57,39,tensor(1.)
42,0,tensor([-4.]),34,29,tensor(1.)
43,0,tensor([-4.]),25,33,tensor(1.)
44,0,tensor([-5.]),62,46,tensor(1.)
45,0,tensor([-5.]),75,52,tensor(1.)
46,0,tensor([-4.]),38,30,tensor(1.)
47,0,tensor([-4.]),42,44,tensor(1.)
48,0,tensor([-4.]),34,29,tensor(1.)
49,0,tensor([-5.]),79,65,tensor(1.)
50,1,tensor([0.]),119,87,tensor(1.)
51,0,tensor([-4.]),46,27,tensor(1.)
52,0,tensor([-5.]),58,44,tensor(1.)
53,0,tensor([-5.]),94,102,tensor(1.)
54,0,tensor([-4.]),32,35,tensor(1.)
55,0,tensor([-5.]),114,94,tensor(1.)
56,0,tensor([-5.]),72,43,tensor(1.)
57,0,tensor([-5.]),60,45,tensor(1.)
58,1,tensor([0.]),95,78,tensor(1.)
59,0,tensor([-4.]),37,41,tensor(1.)
60,0,tensor([-4.]),38,47,tensor(1.)
61,0,tensor([-5.]),67,44,tensor(1.)
62,0,tensor([-5.]),56,37,tensor(1.)
63,0,tensor([-4.]),57,61,tensor(1.)
64,0,tensor([-5.]),64,49,tensor(1.)
65,0,tensor([-4.]),39,34,tensor(1.)
66,0,tensor([-3.]),18,40,tensor(1.)
67,1,tensor([0.]),98,49,tensor(1.)
68,0,tensor([-5.]),60,56,tensor(1.)
69,0,tensor([-5.]),56,38,tensor(1.)
70,0,tensor([-5.]),89,67,tensor(1.)
71,0,tensor([-4.]),34,39,tensor(1.)
72,1,tensor([0.]),96,64,tensor(1.)
73,0,tensor([-5.]),69,54,tensor(1.)
74,0,tensor([-4.]),32,43,tensor(1.)
75,0,tensor([-5.]),75,68,tensor(1.)
76,0,tensor([-4.]),50,44,tensor(1.)
77,0,tensor([-4.]),56,40,tensor(1.)
78,0,tensor([-5.]),73,65,tensor(1.)
79,0,tensor([-5.]),67,62,tensor(1.)
80,0,tensor([-4.]),29,26,tensor(1.)
81,0,tensor([-5.]),76,58,tensor(1.)
82,0,tensor([-5.]),65,33,tensor(1.)
83,0,tensor([-5.]),84,72,tensor(1.)
84,0,tensor([-4.]),43,27,tensor(1.)
85,0,tensor([-4.]),54,49,tensor(1.)
86,0,tensor([-5.]),102,90,tensor(1.)
87,0,tensor([-5.]),69,56,tensor(1.)
88,0,tensor([-4.]),41,52,tensor(1.)
89,0,tensor([-5.]),57,33,tensor(1.)
90,0,tensor([-4.]),50,36,tensor(1.)
91,0,tensor([-5.]),73,83,tensor(1.)
92,0,tensor([-5.]),70,48,tensor(1.)
93,0,tensor([-5.]),76,80,tensor(1.)
