,wins,rewards,scores,steps,high_tile
0,0,tensor([-100]),35,27,tensor(1.)
1,0,tensor([-100]),55,33,tensor(1.)
2,0,tensor([-100]),39,33,tensor(1.)
3,0,tensor([-100]),62,38,tensor(1.)
4,0,tensor([-100]),42,29,tensor(1.)
5,0,tensor([-100]),84,59,tensor(1.)
6,0,tensor([-100]),50,37,tensor(1.)
7,0,tensor([-100]),87,54,tensor(1.)
8,0,tensor([-100]),100,59,tensor(1.)
9,1,tensor([100]),98,52,tensor(1.)
10,0,tensor([-100]),33,25,tensor(1.)
11,0,tensor([-100]),82,52,tensor(1.)
12,0,tensor([-100]),79,56,tensor(1.)
13,0,tensor([-100]),44,32,tensor(1.)
14,0,tensor([-100]),61,38,tensor(1.)
15,0,tensor([-100]),50,35,tensor(1.)
16,0,tensor([-100]),43,28,tensor(1.)
17,0,tensor([-100]),39,38,tensor(1.)
18,0,tensor([-100]),76,52,tensor(1.)
19,0,tensor([-100]),23,25,tensor(1.)
20,0,tensor([-100]),40,33,tensor(1.)
21,0,tensor([-100]),34,28,tensor(1.)
22,0,tensor([-100]),73,43,tensor(1.)
23,0,tensor([-100]),52,45,tensor(1.)
24,0,tensor([-100]),43,32,tensor(1.)
25,1,tensor([100]),99,61,tensor(1.)
26,0,tensor([-100]),36,34,tensor(1.)
27,1,tensor([100]),91,43,tensor(1.)
28,0,tensor([-100]),73,51,tensor(1.)
29,0,tensor([-100]),94,59,tensor(1.)
30,0,tensor([-100]),71,38,tensor(1.)
31,0,tensor([-100]),50,37,tensor(1.)
32,0,tensor([-100]),31,39,tensor(1.)
33,0,tensor([-100]),18,22,tensor(1.)
34,0,tensor([-100]),40,27,tensor(1.)
35,0,tensor([-100]),41,28,tensor(1.)
36,0,tensor([-100]),47,31,tensor(1.)
37,0,tensor([-100]),60,45,tensor(1.)
38,0,tensor([-100]),68,46,tensor(1.)
39,0,tensor([-100]),84,64,tensor(1.)
40,0,tensor([-100]),71,55,tensor(1.)
41,0,tensor([-100]),67,68,tensor(1.)
42,0,tensor([-100]),70,37,tensor(1.)
43,0,tensor([-100]),36,31,tensor(1.)
44,0,tensor([-100]),53,40,tensor(1.)
45,0,tensor([-100]),60,45,tensor(1.)
46,0,tensor([-100]),32,22,tensor(1.)
47,0,tensor([-100]),44,46,tensor(1.)
48,0,tensor([-100]),32,23,tensor(1.)
49,0,tensor([-100]),41,30,tensor(1.)
50,0,tensor([-100]),48,34,tensor(1.)
51,0,tensor([-100]),39,48,tensor(1.)
52,0,tensor([-100]),26,32,tensor(1.)
53,0,tensor([-100]),73,47,tensor(1.)
54,0,tensor([-100]),34,37,tensor(1.)
55,0,tensor([-100]),57,46,tensor(1.)
56,0,tensor([-100]),60,45,tensor(1.)
57,0,tensor([-100]),39,37,tensor(1.)
58,1,tensor([100]),93,58,tensor(1.)
59,0,tensor([-100]),48,36,tensor(1.)
60,0,tensor([-100]),80,67,tensor(1.)
61,0,tensor([-100]),82,67,tensor(1.)
62,0,tensor([-100]),77,64,tensor(1.)
63,1,tensor([100]),129,84,tensor(1.)
64,0,tensor([-100]),34,40,tensor(1.)
65,0,tensor([-100]),57,50,tensor(1.)
66,0,tensor([-100]),57,35,tensor(1.)
67,0,tensor([-100]),39,39,tensor(1.)
68,0,tensor([-100]),55,37,tensor(1.)
69,0,tensor([-100]),89,62,tensor(1.)
70,1,tensor([100]),102,59,tensor(1.)
71,0,tensor([-100]),79,63,tensor(1.)
72,0,tensor([-100]),55,55,tensor(1.)
73,0,tensor([-100]),49,42,tensor(1.)
74,0,tensor([-100]),36,23,tensor(1.)
75,1,tensor([100]),106,63,tensor(1.)
76,1,tensor([100]),95,75,tensor(1.)
77,0,tensor([-100]),20,17,tensor(1.)
78,0,tensor([-100]),79,53,tensor(1.)
79,0,tensor([-100]),75,66,tensor(1.)
80,0,tensor([-100]),39,51,tensor(1.)
81,0,tensor([-100]),74,45,tensor(1.)
82,0,tensor([-100]),58,44,tensor(1.)
83,1,tensor([100]),106,76,tensor(1.)
84,0,tensor([-100]),73,52,tensor(1.)
85,0,tensor([-100]),51,37,tensor(1.)
86,0,tensor([-100]),73,87,tensor(1.)
87,0,tensor([-100]),37,46,tensor(1.)
88,0,tensor([-100]),35,25,tensor(1.)
89,0,tensor([-100]),44,41,tensor(1.)
90,0,tensor([-100]),43,48,tensor(1.)
91,0,tensor([-100]),83,71,tensor(1.)
92,0,tensor([-100]),80,91,tensor(1.)
93,0,tensor([-100]),50,50,tensor(1.)
94,0,tensor([-100]),63,52,tensor(1.)
95,0,tensor([-100]),71,67,tensor(1.)
96,0,tensor([-100]),65,81,tensor(1.)
97,0,tensor([-100]),39,37,tensor(1.)
98,0,tensor([-100]),32,32,tensor(1.)
99,0,tensor([-100]),35,44,tensor(1.)
100,1,tensor([100]),98,87,tensor(1.)
101,0,tensor([-100]),46,39,tensor(1.)
102,0,tensor([-100]),110,95,tensor(1.)
103,0,tensor([-100]),45,56,tensor(1.)
104,1,tensor([100]),132,108,tensor(1.)
105,1,tensor([100]),100,96,tensor(1.)
106,0,tensor([-100]),18,26,tensor(1.)
107,0,tensor([-100]),52,49,tensor(1.)
108,0,tensor([-100]),75,83,tensor(1.)
109,1,tensor([100]),119,100,tensor(1.)
110,0,tensor([-100]),39,32,tensor(1.)
111,1,tensor([100]),109,99,tensor(1.)
112,0,tensor([-100]),80,116,tensor(1.)
113,0,tensor([-100]),27,32,tensor(1.)
114,1,tensor([100]),107,114,tensor(1.)
115,0,tensor([-100]),76,112,tensor(1.)
116,1,tensor([100]),91,71,tensor(1.)
117,0,tensor([-100]),50,63,tensor(1.)
118,0,tensor([-100]),82,73,tensor(1.)
119,0,tensor([-100]),84,80,tensor(1.)
120,0,tensor([-100]),28,36,tensor(1.)
121,0,tensor([-100]),72,100,tensor(1.)
122,0,tensor([-100]),30,65,tensor(1.)
123,0,tensor([-100]),76,65,tensor(1.)
124,0,tensor([-100]),37,31,tensor(1.)
125,0,tensor([-100]),24,39,tensor(1.)
126,0,tensor([-100]),62,43,tensor(1.)
127,0,tensor([-100]),59,75,tensor(1.)
128,0,tensor([-100]),53,63,tensor(1.)
