,wins,rewards,scores,steps,high_tile
0,0,tensor([-100.1000]),61,33,tensor(1.)
1,0,tensor([-100.1000]),62,48,tensor(1.)
2,0,tensor([-100.1000]),48,35,tensor(1.)
3,0,tensor([-100.1000]),72,52,tensor(1.)
4,0,tensor([-100.1000]),71,45,tensor(1.)
5,0,tensor([-100.1000]),14,19,tensor(1.)
6,0,tensor([-100.1000]),73,49,tensor(1.)
7,0,tensor([-100.1000]),64,42,tensor(1.)
8,0,tensor([-100.1000]),32,25,tensor(1.)
9,0,tensor([-100.1000]),32,44,tensor(1.)
10,0,tensor([-100.1000]),78,43,tensor(1.)
11,0,tensor([-100.1000]),52,36,tensor(1.)
12,0,tensor([-100.1000]),54,37,tensor(1.)
13,0,tensor([-100.1000]),36,29,tensor(1.)
14,0,tensor([-100.1000]),45,28,tensor(1.)
15,0,tensor([-100.1000]),52,34,tensor(1.)
16,0,tensor([-100.1000]),35,32,tensor(1.)
17,0,tensor([-100.1000]),75,58,tensor(1.)
18,0,tensor([-100.1000]),71,45,tensor(1.)
19,0,tensor([-100.1000]),65,50,tensor(1.)
20,0,tensor([-100.1000]),62,37,tensor(1.)
21,0,tensor([-100.1000]),82,45,tensor(1.)
22,0,tensor([-100.1000]),50,36,tensor(1.)
23,0,tensor([-100.1000]),65,42,tensor(1.)
24,0,tensor([-100.1000]),86,62,tensor(1.)
25,0,tensor([-100.1000]),71,51,tensor(1.)
26,0,tensor([-100.1000]),77,48,tensor(1.)
27,0,tensor([-100.1000]),50,28,tensor(1.)
28,0,tensor([-100.1000]),52,41,tensor(1.)
29,0,tensor([-100.1000]),41,32,tensor(1.)
30,0,tensor([-100.1000]),102,57,tensor(1.)
31,0,tensor([-100.1000]),74,51,tensor(1.)
32,0,tensor([-100.1000]),60,41,tensor(1.)
33,0,tensor([-100.1000]),64,52,tensor(1.)
34,1,tensor([99.9000]),98,42,tensor(1.)
35,1,tensor([99.9000]),89,51,tensor(1.)
36,0,tensor([-100.1000]),34,29,tensor(1.)
37,0,tensor([-100.1000]),87,81,tensor(1.)
38,0,tensor([-100.1000]),65,44,tensor(1.)
39,0,tensor([-100.1000]),39,28,tensor(1.)
40,1,tensor([99.9000]),104,70,tensor(1.)
41,1,tensor([99.9000]),93,52,tensor(1.)
42,1,tensor([99.9000]),91,45,tensor(1.)
43,0,tensor([-100.1000]),51,38,tensor(1.)
44,1,tensor([99.9000]),100,56,tensor(1.)
45,0,tensor([-100.1000]),63,51,tensor(1.)
46,0,tensor([-100.1000]),64,44,tensor(1.)
47,0,tensor([-100.1000]),59,36,tensor(1.)
48,0,tensor([-100.1000]),59,43,tensor(1.)
49,1,tensor([99.9000]),102,59,tensor(1.)
50,0,tensor([-100.1000]),73,56,tensor(1.)
51,0,tensor([-100.1000]),91,75,tensor(1.)
52,0,tensor([-100.1000]),64,50,tensor(1.)
53,0,tensor([-100.1000]),62,45,tensor(1.)
54,0,tensor([-100.1000]),72,60,tensor(1.)
55,0,tensor([-100.1000]),90,59,tensor(1.)
56,0,tensor([-100.1000]),46,31,tensor(1.)
57,0,tensor([-100.1000]),37,25,tensor(1.)
58,0,tensor([-100.1000]),38,26,tensor(1.)
59,0,tensor([-100.1000]),31,33,tensor(1.)
60,1,tensor([99.9000]),118,74,tensor(1.)
61,0,tensor([-100.1000]),64,61,tensor(1.)
62,0,tensor([-100.1000]),51,40,tensor(1.)
63,0,tensor([-100.1000]),70,49,tensor(1.)
64,0,tensor([-100.1000]),21,28,tensor(1.)
65,0,tensor([-100.1000]),55,36,tensor(1.)
66,1,tensor([99.9000]),92,60,tensor(1.)
67,0,tensor([-100.1000]),69,52,tensor(1.)
68,0,tensor([-100.1000]),81,64,tensor(1.)
69,0,tensor([-100.1000]),39,43,tensor(1.)
70,0,tensor([-100.1000]),58,60,tensor(1.)
71,0,tensor([-100.1000]),76,58,tensor(1.)
72,1,tensor([99.9000]),104,92,tensor(1.)
73,0,tensor([-100.1000]),46,33,tensor(1.)
74,0,tensor([-100.1000]),87,60,tensor(1.)
75,0,tensor([-100.1000]),46,52,tensor(1.)
76,0,tensor([-100.1000]),82,71,tensor(1.)
77,0,tensor([-100.1000]),76,61,tensor(1.)
78,0,tensor([-100.1000]),55,55,tensor(1.)
79,0,tensor([-100.1000]),76,90,tensor(1.)
80,0,tensor([-100.1000]),77,69,tensor(1.)
81,1,tensor([99.9000]),103,87,tensor(1.)
82,0,tensor([-100.1000]),48,54,tensor(1.)
83,0,tensor([-100.1000]),65,68,tensor(1.)
84,0,tensor([-100.1000]),55,51,tensor(1.)
85,1,tensor([99.9000]),93,53,tensor(1.)
86,0,tensor([-100.1000]),23,32,tensor(1.)
87,0,tensor([-100.1000]),80,65,tensor(1.)
88,0,tensor([-100.1000]),62,58,tensor(1.)
89,0,tensor([-100.1000]),75,57,tensor(1.)
90,0,tensor([-100.1000]),32,41,tensor(1.)
91,0,tensor([-100.1000]),16,22,tensor(1.)
92,0,tensor([-100.1000]),71,65,tensor(1.)
93,1,tensor([99.9000]),120,132,tensor(1.)
94,1,tensor([99.9000]),100,54,tensor(1.)
95,0,tensor([-100.1000]),77,75,tensor(1.)
96,0,tensor([-100.1000]),77,48,tensor(1.)
97,0,tensor([-100.1000]),75,70,tensor(1.)
98,0,tensor([-100.1000]),70,72,tensor(1.)
99,0,tensor([-100.1000]),51,86,tensor(1.)
100,1,tensor([99.9000]),95,102,tensor(1.)
101,0,tensor([-100.1000]),84,67,tensor(1.)
102,0,tensor([-100.1000]),90,100,tensor(1.)
103,0,tensor([-100.1000]),39,32,tensor(1.)
104,0,tensor([-100.1000]),79,117,tensor(1.)
105,0,tensor([-100.1000]),56,66,tensor(1.)
106,1,tensor([99.9000]),106,78,tensor(1.)
107,0,tensor([-100.1000]),60,48,tensor(1.)
108,1,tensor([99.9000]),91,81,tensor(1.)
109,0,tensor([-100.1000]),73,90,tensor(1.)
110,1,tensor([99.9000]),96,75,tensor(1.)
111,0,tensor([-100.1000]),94,96,tensor(1.)
112,1,tensor([99.9000]),109,100,tensor(1.)
113,0,tensor([-100.1000]),77,63,tensor(1.)
114,0,tensor([-100.1000]),43,50,tensor(1.)
115,0,tensor([-100.1000]),92,118,tensor(1.)
116,0,tensor([-100.1000]),50,70,tensor(1.)
117,1,tensor([99.9000]),105,123,tensor(1.)
118,0,tensor([-100.1000]),46,67,tensor(1.)
119,0,tensor([-100.1000]),53,57,tensor(1.)
120,0,tensor([-100.1000]),81,183,tensor(1.)
121,0,tensor([-100.1000]),80,126,tensor(1.)
122,0,tensor([-100.1000]),56,71,tensor(1.)
123,0,tensor([-100.1000]),57,107,tensor(1.)
124,0,tensor([-100.1000]),72,94,tensor(1.)
125,0,tensor([-100.1000]),80,101,tensor(1.)
126,0,tensor([-100.1000]),36,83,tensor(1.)
127,1,tensor([99.9000]),104,121,tensor(1.)
128,0,tensor([-100.1000]),79,95,tensor(1.)
129,0,tensor([-100.1000]),50,113,tensor(1.)
130,0,tensor([-100.1000]),67,68,tensor(1.)
131,0,tensor([-100.1000]),61,80,tensor(1.)
132,0,tensor([-100.1000]),79,83,tensor(1.)
133,0,tensor([-100.1000]),71,79,tensor(1.)
134,0,tensor([-100.1000]),118,224,tensor(1.)
135,0,tensor([-100.1000]),55,114,tensor(1.)
136,0,tensor([-100.1000]),48,59,tensor(1.)
137,0,tensor([-100.1000]),52,60,tensor(1.)
138,0,tensor([-100.1000]),89,232,tensor(1.)
139,1,tensor([99.9000]),92,188,tensor(1.)
140,0,tensor([-100.1000]),59,87,tensor(1.)
141,0,tensor([-100.1000]),69,94,tensor(1.)
142,0,tensor([-100.1000]),79,62,tensor(1.)
143,0,tensor([-100.1000]),39,89,tensor(1.)
144,0,tensor([-100.1000]),67,147,tensor(1.)
145,0,tensor([-100.1000]),51,38,tensor(1.)
146,0,tensor([-100.1000]),46,67,tensor(1.)
147,0,tensor([-100.1000]),59,96,tensor(1.)
148,0,tensor([-100.1000]),40,30,tensor(1.)
149,1,tensor([99.9000]),91,136,tensor(1.)
150,0,tensor([-100.1000]),28,48,tensor(1.)
151,0,tensor([-100.1000]),35,89,tensor(1.)
152,0,tensor([-100.1000]),64,70,tensor(1.)
153,1,tensor([99.9000]),97,188,tensor(1.)
154,0,tensor([-100.1000]),74,263,tensor(1.)
155,0,tensor([-100.1000]),105,139,tensor(1.)
156,0,tensor([-100.1000]),51,238,tensor(1.)
157,0,tensor([-100.1000]),39,90,tensor(1.)
158,1,tensor([99.9000]),100,180,tensor(1.)
159,0,tensor([-100.1000]),39,114,tensor(1.)
160,0,tensor([-100.1000]),82,170,tensor(1.)
161,0,tensor([-100.1000]),50,160,tensor(1.)
162,0,tensor([-100.1000]),35,134,tensor(1.)
163,0,tensor([-100.1000]),69,125,tensor(1.)
164,1,tensor([99.9000]),114,283,tensor(1.)
165,0,tensor([-100.1000]),36,55,tensor(1.)
166,0,tensor([-100.1000]),71,121,tensor(1.)
167,1,tensor([99.9000]),98,208,tensor(1.)
168,0,tensor([-100.1000]),83,235,tensor(1.)
169,0,tensor([-100.1000]),17,98,tensor(1.)
170,0,tensor([-100.1000]),59,77,tensor(1.)
171,1,tensor([99.9000]),111,162,tensor(1.)
172,0,tensor([-100.1000]),74,338,tensor(1.)
173,0,tensor([-100.1000]),99,240,tensor(1.)
174,1,tensor([99.9000]),98,382,tensor(1.)
175,0,tensor([-100.1000]),80,144,tensor(1.)
176,0,tensor([-100.1000]),68,198,tensor(1.)
177,0,tensor([-100.1000]),69,268,tensor(1.)
178,0,tensor([-100.1000]),9,100,tensor(1.)
179,0,tensor([-100.1000]),75,167,tensor(1.)
180,0,tensor([-100.1000]),60,349,tensor(1.)
181,0,tensor([-100.1000]),62,249,tensor(1.)
182,0,tensor([-100.1000]),77,184,tensor(1.)
183,0,tensor([-100.1000]),82,368,tensor(1.)
184,0,tensor([-100.1000]),76,540,tensor(1.)
185,0,tensor([-100.1000]),50,153,tensor(1.)
186,0,tensor([-100.1000]),58,273,tensor(1.)
187,0,tensor([-100.1000]),73,693,tensor(1.)
188,0,tensor([-100.1000]),64,620,tensor(1.)
189,0,tensor([-100.1000]),51,186,tensor(1.)
190,0,tensor([-100.1000]),46,467,tensor(1.)
191,0,tensor([-100.1000]),66,492,tensor(1.)
192,0,tensor([-100.1000]),43,418,tensor(1.)
193,0,tensor([-100.1000]),39,234,tensor(1.)
194,0,tensor([-100.1000]),80,471,tensor(1.)
195,0,tensor([-100.1000]),74,695,tensor(1.)
196,0,tensor([-100.1000]),75,620,tensor(1.)
197,0,tensor([-100.1000]),72,701,tensor(1.)
198,0,tensor([-100.1000]),97,976,tensor(1.)
199,0,tensor([-100.1000]),47,540,tensor(1.)
200,0,tensor([-100.1000]),58,619,tensor(1.)
