,wins,rewards,scores,steps,high_tile
0,0,tensor([0]),71,41,tensor(1.)
1,1,tensor([6]),91,63,tensor(1.)
2,0,tensor([0]),42,32,tensor(1.)
3,0,tensor([0]),52,33,tensor(1.)
4,0,tensor([0]),71,51,tensor(1.)
5,0,tensor([0]),16,16,tensor(1.)
6,0,tensor([0]),34,32,tensor(1.)
7,1,tensor([6]),98,49,tensor(1.)
8,0,tensor([0]),89,55,tensor(1.)
9,0,tensor([0]),84,48,tensor(1.)
10,0,tensor([0]),74,44,tensor(1.)
11,1,tensor([6]),94,47,tensor(1.)
12,0,tensor([0]),63,45,tensor(1.)
13,0,tensor([0]),62,40,tensor(1.)
14,0,tensor([0]),57,42,tensor(1.)
15,0,tensor([0]),65,45,tensor(1.)
16,0,tensor([0]),57,35,tensor(1.)
17,0,tensor([0]),51,36,tensor(1.)
18,0,tensor([0]),50,43,tensor(1.)
19,1,tensor([6]),107,80,tensor(1.)
20,1,tensor([6]),109,76,tensor(1.)
21,0,tensor([0]),48,35,tensor(1.)
22,0,tensor([0]),44,37,tensor(1.)
23,0,tensor([0]),78,47,tensor(1.)
24,0,tensor([0]),69,42,tensor(1.)
25,0,tensor([0]),71,51,tensor(1.)
26,0,tensor([0]),78,53,tensor(1.)
27,0,tensor([0]),59,43,tensor(1.)
28,0,tensor([0]),64,39,tensor(1.)
29,0,tensor([0]),60,40,tensor(1.)
30,0,tensor([0]),64,41,tensor(1.)
31,0,tensor([0]),52,44,tensor(1.)
32,0,tensor([0]),55,41,tensor(1.)
33,0,tensor([0]),52,40,tensor(1.)
34,0,tensor([0]),34,25,tensor(1.)
35,0,tensor([0]),41,39,tensor(1.)
36,0,tensor([0]),55,40,tensor(1.)
37,0,tensor([0]),29,20,tensor(1.)
38,0,tensor([0]),33,24,tensor(1.)
39,0,tensor([0]),77,61,tensor(1.)
40,0,tensor([0]),73,42,tensor(1.)
41,1,tensor([6]),96,55,tensor(1.)
42,0,tensor([0]),80,50,tensor(1.)
43,0,tensor([0]),16,17,tensor(1.)
44,0,tensor([0]),75,59,tensor(1.)
45,0,tensor([0]),11,16,tensor(1.)
46,0,tensor([0]),34,35,tensor(1.)
47,0,tensor([0]),41,47,tensor(1.)
48,0,tensor([0]),34,26,tensor(1.)
49,1,tensor([6]),90,56,tensor(1.)
50,0,tensor([0]),38,31,tensor(1.)
51,0,tensor([0]),85,62,tensor(1.)
