,wins,rewards,scores,steps,high_tile
0,0,tensor([0]),60,44,tensor(1.)
1,0,tensor([0]),41,32,tensor(1.)
2,0,tensor([0]),39,31,tensor(1.)
3,0,tensor([0]),46,27,tensor(1.)
4,0,tensor([0]),69,44,tensor(1.)
5,0,tensor([0]),55,50,tensor(1.)
6,0,tensor([0]),77,45,tensor(1.)
7,1,tensor([6]),97,59,tensor(1.)
8,0,tensor([0]),73,48,tensor(1.)
9,0,tensor([0]),42,46,tensor(1.)
10,0,tensor([0]),70,47,tensor(1.)
11,0,tensor([0]),23,22,tensor(1.)
12,0,tensor([0]),52,53,tensor(1.)
13,0,tensor([0]),36,30,tensor(1.)
14,0,tensor([0]),67,51,tensor(1.)
15,0,tensor([0]),64,34,tensor(1.)
16,0,tensor([0]),50,33,tensor(1.)
17,1,tensor([6]),87,49,tensor(1.)
18,0,tensor([0]),66,44,tensor(1.)
19,0,tensor([0]),41,28,tensor(1.)
20,0,tensor([0]),73,48,tensor(1.)
21,0,tensor([0]),31,25,tensor(1.)
22,0,tensor([0]),18,25,tensor(1.)
23,0,tensor([0]),80,49,tensor(1.)
24,0,tensor([0]),87,60,tensor(1.)
25,0,tensor([0]),74,44,tensor(1.)
26,0,tensor([0]),50,35,tensor(1.)
27,0,tensor([0]),45,52,tensor(1.)
28,0,tensor([0]),68,40,tensor(1.)
29,0,tensor([0]),53,42,tensor(1.)
30,0,tensor([0]),75,45,tensor(1.)
31,0,tensor([0]),53,41,tensor(1.)
32,0,tensor([0]),59,48,tensor(1.)
33,0,tensor([0]),45,29,tensor(1.)
34,0,tensor([0]),56,34,tensor(1.)
35,0,tensor([0]),30,33,tensor(1.)
36,0,tensor([0]),64,46,tensor(1.)
37,0,tensor([0]),75,63,tensor(1.)
38,0,tensor([0]),82,67,tensor(1.)
39,0,tensor([0]),74,54,tensor(1.)
40,0,tensor([0]),55,39,tensor(1.)
41,0,tensor([0]),55,49,tensor(1.)
42,0,tensor([0]),69,53,tensor(1.)
43,0,tensor([0]),75,51,tensor(1.)
44,0,tensor([0]),37,33,tensor(1.)
45,0,tensor([0]),38,31,tensor(1.)
46,0,tensor([0]),73,53,tensor(1.)
47,1,tensor([6]),91,50,tensor(1.)
48,0,tensor([0]),34,30,tensor(1.)
49,0,tensor([0]),87,59,tensor(1.)
50,0,tensor([0]),71,48,tensor(1.)
51,0,tensor([0]),89,61,tensor(1.)
52,0,tensor([0]),76,47,tensor(1.)
53,0,tensor([0]),75,58,tensor(1.)
54,0,tensor([0]),73,68,tensor(1.)
55,0,tensor([0]),75,52,tensor(1.)
56,0,tensor([0]),57,39,tensor(1.)
57,0,tensor([0]),39,47,tensor(1.)
58,0,tensor([0]),44,52,tensor(1.)
59,0,tensor([0]),32,27,tensor(1.)
60,1,tensor([6]),94,75,tensor(1.)
61,1,tensor([6]),111,78,tensor(1.)
62,0,tensor([0]),61,51,tensor(1.)
63,0,tensor([0]),14,26,tensor(1.)
64,0,tensor([0]),32,27,tensor(1.)
65,0,tensor([0]),57,49,tensor(1.)
66,0,tensor([0]),78,56,tensor(1.)
67,0,tensor([0]),48,47,tensor(1.)
68,0,tensor([0]),71,53,tensor(1.)
69,0,tensor([0]),43,28,tensor(1.)
70,0,tensor([0]),79,52,tensor(1.)
71,0,tensor([0]),64,46,tensor(1.)
72,0,tensor([0]),32,42,tensor(1.)
73,1,tensor([6]),94,75,tensor(1.)
74,0,tensor([0]),59,50,tensor(1.)
75,0,tensor([0]),66,92,tensor(1.)
76,0,tensor([0]),95,91,tensor(1.)
77,0,tensor([0]),34,48,tensor(1.)
78,0,tensor([0]),89,83,tensor(1.)
79,0,tensor([0]),48,50,tensor(1.)
80,0,tensor([0]),45,38,tensor(1.)
81,0,tensor([0]),60,58,tensor(1.)
82,0,tensor([0]),30,48,tensor(1.)
83,1,tensor([6]),91,96,tensor(1.)
84,1,tensor([6]),96,67,tensor(1.)
85,0,tensor([0]),82,78,tensor(1.)
86,0,tensor([0]),82,54,tensor(1.)
87,0,tensor([0]),74,56,tensor(1.)
88,0,tensor([0]),34,51,tensor(1.)
89,0,tensor([0]),34,34,tensor(1.)
90,0,tensor([0]),34,27,tensor(1.)
91,1,tensor([6]),103,52,tensor(1.)
92,0,tensor([0]),73,64,tensor(1.)
93,0,tensor([0]),85,61,tensor(1.)
94,1,tensor([6]),95,71,tensor(1.)
95,0,tensor([0]),31,28,tensor(1.)
96,1,tensor([6]),84,70,tensor(1.)
97,0,tensor([0]),48,39,tensor(1.)
98,0,tensor([0]),88,82,tensor(1.)
99,0,tensor([0]),46,34,tensor(1.)
100,0,tensor([0]),73,57,tensor(1.)
101,0,tensor([0]),52,47,tensor(1.)
102,0,tensor([0]),34,32,tensor(1.)
103,0,tensor([0]),84,62,tensor(1.)
104,0,tensor([0]),39,43,tensor(1.)
105,0,tensor([0]),73,92,tensor(1.)
106,0,tensor([0]),80,102,tensor(1.)
107,0,tensor([0]),53,37,tensor(1.)
108,0,tensor([0]),66,53,tensor(1.)
109,1,tensor([6]),106,82,tensor(1.)
110,0,tensor([0]),53,50,tensor(1.)
111,0,tensor([0]),121,112,tensor(1.)
112,0,tensor([0]),52,71,tensor(1.)
113,0,tensor([0]),50,79,tensor(1.)
114,0,tensor([0]),82,70,tensor(1.)
115,0,tensor([0]),45,81,tensor(1.)
116,0,tensor([0]),53,71,tensor(1.)
117,0,tensor([0]),57,59,tensor(1.)
118,0,tensor([0]),56,63,tensor(1.)
119,0,tensor([0]),41,93,tensor(1.)
120,0,tensor([0]),73,71,tensor(1.)
121,1,tensor([6]),113,93,tensor(1.)
122,0,tensor([0]),113,140,tensor(1.)
123,0,tensor([0]),67,60,tensor(1.)
124,0,tensor([0]),68,72,tensor(1.)
125,0,tensor([0]),95,146,tensor(1.)
126,0,tensor([0]),95,150,tensor(1.)
127,0,tensor([0]),82,69,tensor(1.)
128,0,tensor([0]),62,56,tensor(1.)
129,0,tensor([0]),62,92,tensor(1.)
130,0,tensor([0]),77,107,tensor(1.)
131,0,tensor([0]),69,108,tensor(1.)
132,0,tensor([0]),57,47,tensor(1.)
133,0,tensor([0]),75,100,tensor(1.)
134,0,tensor([0]),114,178,tensor(1.)
135,0,tensor([0]),101,107,tensor(1.)
136,0,tensor([0]),59,71,tensor(1.)
137,0,tensor([0]),57,72,tensor(1.)
138,0,tensor([0]),60,72,tensor(1.)
139,0,tensor([0]),22,34,tensor(1.)
140,0,tensor([0]),21,34,tensor(1.)
141,0,tensor([0]),46,93,tensor(1.)
142,0,tensor([0]),73,90,tensor(1.)
143,0,tensor([0]),69,124,tensor(1.)
144,0,tensor([0]),87,150,tensor(1.)
145,0,tensor([0]),77,120,tensor(1.)
146,0,tensor([0]),46,56,tensor(1.)
147,1,tensor([6]),102,143,tensor(1.)
148,0,tensor([0]),64,117,tensor(1.)
149,0,tensor([0]),27,75,tensor(1.)
150,0,tensor([0]),69,67,tensor(1.)
151,0,tensor([0]),43,125,tensor(1.)
152,0,tensor([0]),114,114,tensor(1.)
153,0,tensor([0]),46,88,tensor(1.)
154,0,tensor([0]),45,104,tensor(1.)
155,1,tensor([6]),118,201,tensor(1.)
156,0,tensor([0]),50,95,tensor(1.)
157,1,tensor([6]),109,163,tensor(1.)
158,1,tensor([6]),108,169,tensor(1.)
159,0,tensor([0]),62,61,tensor(1.)
160,0,tensor([0]),43,75,tensor(1.)
161,1,tensor([6]),100,118,tensor(1.)
162,0,tensor([0]),87,150,tensor(1.)
163,0,tensor([0]),81,232,tensor(1.)
164,1,tensor([6]),106,186,tensor(1.)
165,0,tensor([0]),103,152,tensor(1.)
166,0,tensor([0]),47,90,tensor(1.)
167,0,tensor([0]),68,176,tensor(1.)
168,1,tensor([6]),109,291,tensor(1.)
169,0,tensor([0]),77,140,tensor(1.)
170,0,tensor([0]),58,233,tensor(1.)
171,0,tensor([0]),84,176,tensor(1.)
172,0,tensor([0]),90,165,tensor(1.)
173,0,tensor([0]),81,377,tensor(1.)
174,0,tensor([0]),57,210,tensor(1.)
175,0,tensor([0]),59,177,tensor(1.)
176,0,tensor([0]),91,208,tensor(1.)
177,0,tensor([0]),80,200,tensor(1.)
178,0,tensor([0]),27,70,tensor(1.)
