,wins,rewards,scores,steps,high_tile
0,0,tensor([0]),36,30,tensor(1.)
1,1,tensor([1]),95,51,tensor(1.)
2,1,tensor([1]),89,40,tensor(1.)
3,1,tensor([1]),109,58,tensor(1.)
4,0,tensor([0]),66,44,tensor(1.)
5,0,tensor([0]),77,48,tensor(1.)
6,0,tensor([0]),35,27,tensor(1.)
7,0,tensor([0]),74,49,tensor(1.)
8,0,tensor([0]),31,23,tensor(1.)
9,0,tensor([0]),69,38,tensor(1.)
10,0,tensor([0]),41,32,tensor(1.)
11,0,tensor([0]),41,32,tensor(1.)
12,0,tensor([0]),41,31,tensor(1.)
13,0,tensor([0]),39,47,tensor(1.)
14,0,tensor([0]),71,45,tensor(1.)
15,0,tensor([0]),30,21,tensor(1.)
16,0,tensor([0]),35,32,tensor(1.)
17,0,tensor([0]),51,36,tensor(1.)
18,0,tensor([0]),73,59,tensor(1.)
19,0,tensor([0]),77,50,tensor(1.)
20,0,tensor([0]),57,37,tensor(1.)
21,0,tensor([0]),24,20,tensor(1.)
22,0,tensor([0]),74,41,tensor(1.)
23,0,tensor([0]),31,27,tensor(1.)
24,0,tensor([0]),67,39,tensor(1.)
25,1,tensor([1]),99,51,tensor(1.)
26,0,tensor([0]),49,32,tensor(1.)
27,0,tensor([0]),80,47,tensor(1.)
28,0,tensor([0]),71,47,tensor(1.)
29,1,tensor([1]),109,69,tensor(1.)
30,1,tensor([1]),99,59,tensor(1.)
31,1,tensor([1]),107,62,tensor(1.)
32,1,tensor([1]),110,72,tensor(1.)
33,0,tensor([0]),71,46,tensor(1.)
34,0,tensor([0]),71,58,tensor(1.)
35,0,tensor([0]),53,37,tensor(1.)
36,0,tensor([0]),50,47,tensor(1.)
37,1,tensor([1]),88,50,tensor(1.)
38,0,tensor([0]),27,23,tensor(1.)
39,0,tensor([0]),84,51,tensor(1.)
40,0,tensor([0]),27,28,tensor(1.)
41,0,tensor([0]),77,53,tensor(1.)
42,0,tensor([0]),39,32,tensor(1.)
43,0,tensor([0]),67,41,tensor(1.)
44,0,tensor([0]),38,28,tensor(1.)
45,0,tensor([0]),62,54,tensor(1.)
46,0,tensor([0]),49,56,tensor(1.)
47,0,tensor([0]),71,47,tensor(1.)
48,0,tensor([0]),75,55,tensor(1.)
49,0,tensor([0]),48,50,tensor(1.)
50,0,tensor([0]),25,23,tensor(1.)
51,0,tensor([0]),41,30,tensor(1.)
52,0,tensor([0]),47,35,tensor(1.)
53,0,tensor([0]),74,51,tensor(1.)
54,0,tensor([0]),32,32,tensor(1.)
55,0,tensor([0]),55,50,tensor(1.)
56,1,tensor([1]),94,59,tensor(1.)
57,0,tensor([0]),46,71,tensor(1.)
58,0,tensor([0]),48,31,tensor(1.)
59,0,tensor([0]),73,60,tensor(1.)
60,0,tensor([0]),71,48,tensor(1.)
61,0,tensor([0]),20,19,tensor(1.)
62,0,tensor([0]),20,20,tensor(1.)
63,0,tensor([0]),40,32,tensor(1.)
64,0,tensor([0]),73,50,tensor(1.)
65,1,tensor([1]),109,72,tensor(1.)
66,0,tensor([0]),66,51,tensor(1.)
67,0,tensor([0]),11,16,tensor(1.)
68,0,tensor([0]),83,76,tensor(1.)
69,0,tensor([0]),71,54,tensor(1.)
70,0,tensor([0]),73,69,tensor(1.)
71,0,tensor([0]),22,22,tensor(1.)
72,0,tensor([0]),60,56,tensor(1.)
73,1,tensor([1]),89,65,tensor(1.)
74,0,tensor([0]),46,32,tensor(1.)
75,0,tensor([0]),73,52,tensor(1.)
76,0,tensor([0]),73,48,tensor(1.)
77,0,tensor([0]),28,28,tensor(1.)
78,0,tensor([0]),68,49,tensor(1.)
79,0,tensor([0]),30,41,tensor(1.)
80,0,tensor([0]),74,68,tensor(1.)
81,0,tensor([0]),71,82,tensor(1.)
82,1,tensor([1]),102,109,tensor(1.)
83,0,tensor([0]),64,46,tensor(1.)
84,0,tensor([0]),32,44,tensor(1.)
85,1,tensor([1]),87,62,tensor(1.)
86,1,tensor([1]),106,97,tensor(1.)
87,0,tensor([0]),62,55,tensor(1.)
88,0,tensor([0]),34,29,tensor(1.)
89,0,tensor([0]),21,32,tensor(1.)
90,0,tensor([0]),37,28,tensor(1.)
91,0,tensor([0]),34,24,tensor(1.)
92,0,tensor([0]),64,48,tensor(1.)
93,0,tensor([0]),76,65,tensor(1.)
94,0,tensor([0]),36,35,tensor(1.)
95,1,tensor([1]),111,73,tensor(1.)
96,0,tensor([0]),46,31,tensor(1.)
97,0,tensor([0]),37,48,tensor(1.)
98,0,tensor([0]),21,19,tensor(1.)
99,0,tensor([0]),62,57,tensor(1.)
100,0,tensor([0]),58,60,tensor(1.)
101,0,tensor([0]),34,37,tensor(1.)
102,0,tensor([0]),52,64,tensor(1.)
103,0,tensor([0]),86,87,tensor(1.)
104,0,tensor([0]),76,86,tensor(1.)
105,0,tensor([0]),73,56,tensor(1.)
106,1,tensor([1]),104,107,tensor(1.)
107,1,tensor([1]),114,127,tensor(1.)
108,1,tensor([1]),122,98,tensor(1.)
109,0,tensor([0]),78,83,tensor(1.)
110,0,tensor([0]),47,51,tensor(1.)
111,0,tensor([0]),74,64,tensor(1.)
112,0,tensor([0]),43,57,tensor(1.)
113,0,tensor([0]),21,36,tensor(1.)
114,0,tensor([0]),79,119,tensor(1.)
115,0,tensor([0]),69,56,tensor(1.)
116,0,tensor([0]),39,104,tensor(1.)
117,0,tensor([0]),73,107,tensor(1.)
118,0,tensor([0]),73,107,tensor(1.)
119,1,tensor([1]),108,80,tensor(1.)
120,0,tensor([0]),31,83,tensor(1.)
121,1,tensor([1]),104,59,tensor(1.)
122,1,tensor([1]),96,69,tensor(1.)
123,0,tensor([0]),89,114,tensor(1.)
124,0,tensor([0]),37,46,tensor(1.)
125,0,tensor([0]),48,83,tensor(1.)
126,0,tensor([0]),75,88,tensor(1.)
127,0,tensor([0]),41,72,tensor(1.)
128,0,tensor([0]),66,55,tensor(1.)
129,0,tensor([0]),75,98,tensor(1.)
130,0,tensor([0]),78,82,tensor(1.)
131,0,tensor([0]),55,89,tensor(1.)
132,0,tensor([0]),38,42,tensor(1.)
133,0,tensor([0]),32,40,tensor(1.)
134,1,tensor([1]),108,134,tensor(1.)
135,0,tensor([0]),44,100,tensor(1.)
