,wins,rewards,scores,steps,high_tile
0,0,tensor([-100.1000]),43,30,tensor(1.)
1,0,tensor([-100.1000]),44,28,tensor(1.)
2,0,tensor([-100.1000]),35,28,tensor(1.)
3,0,tensor([-100.1000]),49,29,tensor(1.)
4,0,tensor([-100.1000]),69,40,tensor(1.)
5,0,tensor([-100.1000]),84,56,tensor(1.)
6,0,tensor([-100.1000]),29,23,tensor(1.)
7,0,tensor([-100.1000]),76,44,tensor(1.)
8,0,tensor([-100.1000]),37,29,tensor(1.)
9,0,tensor([-100.1000]),73,44,tensor(1.)
10,0,tensor([-100.1000]),71,45,tensor(1.)
11,0,tensor([-100.1000]),13,15,tensor(1.)
12,1,tensor([100.]),89,47,tensor(1.)
13,0,tensor([-100.1000]),69,39,tensor(1.)
14,0,tensor([-100.1000]),93,75,tensor(1.)
15,0,tensor([-100.1000]),36,25,tensor(1.)
16,0,tensor([-100.1000]),69,47,tensor(1.)
17,0,tensor([-100.1000]),9,12,tensor(1.)
18,0,tensor([-100.1000]),57,39,tensor(1.)
19,0,tensor([-100.1000]),82,44,tensor(1.)
20,0,tensor([-100.1000]),83,43,tensor(1.)
21,0,tensor([-100.1000]),39,37,tensor(1.)
22,0,tensor([-100.1000]),64,37,tensor(1.)
23,0,tensor([-100.1000]),101,58,tensor(1.)
24,0,tensor([-100.1000]),35,23,tensor(1.)
25,0,tensor([-100.1000]),41,31,tensor(1.)
26,0,tensor([-100.1000]),78,48,tensor(1.)
27,0,tensor([-100.1000]),76,52,tensor(1.)
28,0,tensor([-100.1000]),41,38,tensor(1.)
29,0,tensor([-100.1000]),84,55,tensor(1.)
30,0,tensor([-100.1000]),67,36,tensor(1.)
31,0,tensor([-100.1000]),60,34,tensor(1.)
32,0,tensor([-100.1000]),71,51,tensor(1.)
33,0,tensor([-100.1000]),67,44,tensor(1.)
34,0,tensor([-100.1000]),89,64,tensor(1.)
35,0,tensor([-100.1000]),106,77,tensor(1.)
36,0,tensor([-100.1000]),35,26,tensor(1.)
37,0,tensor([-100.1000]),34,28,tensor(1.)
38,0,tensor([-100.1000]),66,43,tensor(1.)
39,0,tensor([-100.1000]),75,54,tensor(1.)
40,0,tensor([-100.1000]),80,50,tensor(1.)
41,0,tensor([-100.1000]),48,36,tensor(1.)
42,0,tensor([-100.1000]),57,32,tensor(1.)
43,0,tensor([-100.1000]),27,24,tensor(1.)
44,0,tensor([-100.1000]),69,42,tensor(1.)
45,0,tensor([-100.1000]),39,31,tensor(1.)
46,0,tensor([-100.1000]),53,50,tensor(1.)
47,1,tensor([100.]),92,53,tensor(1.)
48,0,tensor([-100.1000]),74,49,tensor(1.)
49,0,tensor([-100.1000]),50,32,tensor(1.)
50,0,tensor([-100.1000]),20,19,tensor(1.)
51,0,tensor([-100.1000]),74,61,tensor(1.)
52,0,tensor([-100.1000]),74,55,tensor(1.)
53,1,tensor([100.]),100,64,tensor(1.)
54,0,tensor([-100.1000]),13,20,tensor(1.)
55,0,tensor([-100.1000]),66,40,tensor(1.)
56,0,tensor([-100.1000]),74,55,tensor(1.)
57,0,tensor([-100.1000]),60,39,tensor(1.)
58,0,tensor([-100.1000]),6,12,tensor(1.)
59,0,tensor([-100.1000]),76,46,tensor(1.)
60,0,tensor([-100.1000]),60,51,tensor(1.)
61,0,tensor([-100.1000]),52,40,tensor(1.)
62,0,tensor([-100.1000]),60,64,tensor(1.)
63,0,tensor([-100.1000]),59,51,tensor(1.)
64,0,tensor([-100.1000]),62,55,tensor(1.)
65,0,tensor([-100.1000]),68,55,tensor(1.)
66,0,tensor([-100.1000]),71,48,tensor(1.)
67,0,tensor([-100.1000]),69,51,tensor(1.)
68,1,tensor([100.]),91,61,tensor(1.)
69,0,tensor([-100.1000]),34,28,tensor(1.)
70,0,tensor([-100.1000]),37,41,tensor(1.)
71,0,tensor([-100.1000]),87,57,tensor(1.)
72,0,tensor([-100.1000]),72,65,tensor(1.)
73,0,tensor([-100.1000]),39,42,tensor(1.)
74,0,tensor([-100.1000]),71,77,tensor(1.)
75,0,tensor([-100.1000]),37,43,tensor(1.)
76,0,tensor([-100.1000]),93,62,tensor(1.)
77,0,tensor([-100.1000]),42,34,tensor(1.)
78,1,tensor([100.]),98,69,tensor(1.)
79,1,tensor([100.]),109,92,tensor(1.)
80,0,tensor([-100.1000]),25,25,tensor(1.)
81,0,tensor([-100.1000]),69,58,tensor(1.)
82,1,tensor([100.]),98,72,tensor(1.)
83,0,tensor([-100.1000]),58,52,tensor(1.)
84,0,tensor([-100.1000]),82,66,tensor(1.)
85,1,tensor([100.]),113,81,tensor(1.)
86,0,tensor([-100.1000]),77,53,tensor(1.)
87,0,tensor([-100.1000]),27,28,tensor(1.)
88,1,tensor([100.]),98,53,tensor(1.)
89,0,tensor([-100.1000]),55,48,tensor(1.)
90,0,tensor([-100.1000]),43,41,tensor(1.)
91,0,tensor([-100.1000]),85,67,tensor(1.)
92,0,tensor([-100.1000]),78,73,tensor(1.)
93,0,tensor([-100.1000]),37,36,tensor(1.)
94,0,tensor([-100.1000]),76,69,tensor(1.)
95,0,tensor([-100.1000]),71,58,tensor(1.)
96,0,tensor([-100.1000]),62,44,tensor(1.)
97,0,tensor([-100.1000]),67,42,tensor(1.)
98,0,tensor([-100.1000]),55,78,tensor(1.)
99,0,tensor([-100.1000]),39,44,tensor(1.)
100,0,tensor([-100.1000]),50,40,tensor(1.)
101,0,tensor([-100.1000]),50,56,tensor(1.)
102,0,tensor([-100.1000]),59,90,tensor(1.)
103,0,tensor([-100.1000]),34,26,tensor(1.)
104,0,tensor([-100.1000]),80,79,tensor(1.)
