,wins,rewards,scores,steps,high_tile
0,0,tensor([0]),81,49,tensor(1.)
1,1,tensor([6]),103,55,tensor(1.)
2,0,tensor([0]),96,70,tensor(1.)
3,0,tensor([0]),79,66,tensor(1.)
4,0,tensor([0]),52,34,tensor(1.)
5,0,tensor([0]),75,55,tensor(1.)
6,0,tensor([0]),62,34,tensor(1.)
7,0,tensor([0]),84,59,tensor(1.)
8,0,tensor([0]),69,42,tensor(1.)
9,0,tensor([0]),61,41,tensor(1.)
10,0,tensor([0]),74,42,tensor(1.)
11,0,tensor([0]),75,51,tensor(1.)
12,0,tensor([0]),69,44,tensor(1.)
13,0,tensor([0]),76,46,tensor(1.)
14,0,tensor([0]),73,45,tensor(1.)
15,0,tensor([0]),42,32,tensor(1.)
16,0,tensor([0]),46,31,tensor(1.)
17,0,tensor([0]),99,57,tensor(1.)
18,0,tensor([0]),85,54,tensor(1.)
19,0,tensor([0]),28,28,tensor(1.)
20,0,tensor([0]),78,50,tensor(1.)
21,0,tensor([0]),45,31,tensor(1.)
22,0,tensor([0]),52,43,tensor(1.)
23,0,tensor([0]),73,41,tensor(1.)
24,0,tensor([0]),65,39,tensor(1.)
25,0,tensor([0]),71,46,tensor(1.)
26,0,tensor([0]),64,40,tensor(1.)
27,0,tensor([0]),32,26,tensor(1.)
28,0,tensor([0]),34,36,tensor(1.)
29,0,tensor([0]),66,40,tensor(1.)
30,0,tensor([0]),72,44,tensor(1.)
31,0,tensor([0]),33,36,tensor(1.)
32,0,tensor([0]),53,42,tensor(1.)
33,0,tensor([0]),69,45,tensor(1.)
34,0,tensor([0]),31,24,tensor(1.)
35,0,tensor([0]),39,50,tensor(1.)
36,0,tensor([0]),45,33,tensor(1.)
37,0,tensor([0]),48,35,tensor(1.)
38,0,tensor([0]),57,40,tensor(1.)
39,0,tensor([0]),76,49,tensor(1.)
40,0,tensor([0]),27,48,tensor(1.)
41,0,tensor([0]),45,43,tensor(1.)
42,0,tensor([0]),73,46,tensor(1.)
43,0,tensor([0]),75,66,tensor(1.)
44,0,tensor([0]),54,30,tensor(1.)
45,0,tensor([0]),36,27,tensor(1.)
46,1,tensor([6]),112,61,tensor(1.)
47,0,tensor([0]),73,50,tensor(1.)
48,0,tensor([0]),16,24,tensor(1.)
49,0,tensor([0]),44,32,tensor(1.)
50,0,tensor([0]),39,31,tensor(1.)
51,0,tensor([0]),80,59,tensor(1.)
52,0,tensor([0]),32,28,tensor(1.)
53,0,tensor([0]),55,40,tensor(1.)
54,0,tensor([0]),38,36,tensor(1.)
55,0,tensor([0]),43,29,tensor(1.)
56,0,tensor([0]),68,42,tensor(1.)
57,0,tensor([0]),74,43,tensor(1.)
58,0,tensor([0]),35,32,tensor(1.)
59,0,tensor([0]),26,27,tensor(1.)
60,0,tensor([0]),67,45,tensor(1.)
61,0,tensor([0]),41,31,tensor(1.)
62,0,tensor([0]),66,41,tensor(1.)
63,0,tensor([0]),76,49,tensor(1.)
64,0,tensor([0]),34,26,tensor(1.)
65,0,tensor([0]),76,54,tensor(1.)
66,0,tensor([0]),75,41,tensor(1.)
67,0,tensor([0]),85,71,tensor(1.)
68,0,tensor([0]),36,24,tensor(1.)
69,1,tensor([6]),88,57,tensor(1.)
70,1,tensor([6]),98,54,tensor(1.)
71,1,tensor([6]),86,57,tensor(1.)
72,0,tensor([0]),69,50,tensor(1.)
73,0,tensor([0]),79,48,tensor(1.)
74,0,tensor([0]),58,47,tensor(1.)
75,0,tensor([0]),72,43,tensor(1.)
76,0,tensor([0]),71,46,tensor(1.)
77,0,tensor([0]),83,53,tensor(1.)
78,0,tensor([0]),83,65,tensor(1.)
79,0,tensor([0]),99,69,tensor(1.)
80,0,tensor([0]),74,66,tensor(1.)
81,1,tensor([6]),95,50,tensor(1.)
82,0,tensor([0]),75,55,tensor(1.)
83,1,tensor([6]),94,66,tensor(1.)
84,1,tensor([6]),105,68,tensor(1.)
