,wins,rewards,scores,steps,high_tile
0,0.2,0.0,73.8,47.1,4.1
1,0.0,0.0,64.5,42.4,3.7
2,0.1,0.0,56.3,38.4,3.6
3,0.0,0.0,50.0,35.8,3.4
4,0.0,0.0,61.9,42.4,3.6
5,0.0,0.0,55.2,39.8,3.5
6,0.1,0.0,53.3,34.7,3.4
7,0.1,0.0,58.4,41.6,3.5
8,0.0,0.0,58.1,37.6,3.5
9,0.0,0.0,60.9,37.7,3.7
10,0.1,0.0,61.4,42.5,3.7
11,0.1,0.0,68.9,45.2,3.9
12,0.0,0.0,53.3,39.8,3.4
13,0.0,0.0,62.5,41.6,3.6
14,0.0,0.0,56.0,41.8,3.3
15,0.1,0.0,56.9,39.2,3.6
16,0.1,0.0,56.0,36.2,3.7
17,0.0,0.0,52.0,36.1,3.4
18,0.0,0.0,43.6,30.0,3.3
19,0.1,0.0,69.9,44.0,3.9
20,0.1,0.0,57.4,37.1,3.5
21,0.2,0.0,76.3,46.8,4.1
22,0.0,0.0,55.8,37.4,3.6
23,0.0,0.0,61.5,40.1,3.5
24,0.0,0.0,56.0,40.9,3.5
25,0.0,0.0,59.2,38.1,3.7
26,0.1,0.0,60.4,39.8,3.7
27,0.1,0.0,52.8,35.2,3.5
28,0.0,0.0,65.6,40.8,3.7
29,0.2,0.0,56.4,37.1,3.5
30,0.0,0.0,65.7,44.0,3.8
31,0.0,0.0,60.4,40.4,3.7
32,0.0,0.0,57.0,40.2,3.5
33,0.1,0.0,70.4,42.9,4.0
34,0.0,0.0,43.9,31.5,3.1
35,0.1,0.0,54.0,38.6,3.4
36,0.1,0.0,67.0,45.1,3.9
37,0.0,0.0,67.9,43.4,3.5
38,0.1,0.0,63.7,38.5,3.6
39,0.1,0.0,67.6,43.7,3.8
40,0.1,0.0,60.7,41.1,3.7
41,0.0,0.0,64.0,43.1,3.8
42,0.2,0.0,58.2,37.3,3.6
43,0.0,0.0,57.0,39.7,3.6
44,0.1,0.0,58.8,40.8,3.5
45,0.0,0.0,51.7,37.7,3.4
46,0.0,0.0,64.7,42.4,3.5
47,0.3,0.0,63.7,40.8,3.8
48,0.1,0.0,63.6,41.0,3.7
49,0.0,0.0,60.8,44.0,3.7
50,0.2,0.0,63.8,42.4,3.8
51,0.0,0.0,54.1,35.8,3.4
52,0.0,0.0,58.7,43.6,3.6
53,0.1,0.0,51.7,36.3,3.3
54,0.1,0.0,59.7,38.6,3.6
55,0.0,0.0,52.1,37.8,3.4
56,0.1,0.0,70.6,45.1,3.8
57,0.0,0.0,47.9,33.7,3.3
58,0.3,0.0,65.6,40.4,3.8
59,0.1,0.0,52.8,37.3,3.7
60,0.1,0.0,63.9,40.0,3.9
61,0.2,0.0,64.0,42.4,3.7
62,0.3,0.0,74.1,48.5,4.1
63,0.0,0.0,58.7,39.9,3.4
64,0.1,0.0,63.4,43.8,3.7
65,0.1,0.0,51.9,39.8,3.3
66,0.0,0.0,59.3,40.6,3.7
67,0.0,0.0,52.0,36.2,3.4
68,0.0,0.0,62.3,41.5,3.6
69,0.0,0.0,55.0,40.2,3.6
70,0.0,0.0,50.8,35.9,3.2
71,0.1,0.0,64.4,43.3,3.8
72,0.1,0.0,66.8,43.3,3.9
73,0.0,0.0,58.0,36.2,3.6
74,0.1,0.0,60.8,40.9,3.7
75,0.0,0.0,47.9,36.4,3.2
76,0.2,0.0,62.8,40.1,3.8
77,0.0,0.0,60.1,41.4,3.5
78,0.0,0.0,53.1,36.4,3.4
79,0.1,0.0,57.5,38.6,3.7
80,0.0,0.0,55.9,43.0,3.4
81,0.2,0.0,62.2,41.9,3.7
82,0.1,0.0,44.3,31.1,3.2
83,0.2,0.0,63.7,44.0,3.8
84,0.0,0.0,52.3,37.7,3.4
85,0.2,0.0,56.7,39.1,3.7
86,0.0,0.0,63.9,43.0,3.7
87,0.0,0.0,60.1,41.3,3.5
88,0.0,0.0,50.4,35.8,3.4
89,0.0,0.0,59.0,42.4,3.5
90,0.0,0.0,46.9,35.7,3.1
91,0.1,0.0,62.0,39.3,3.7
92,0.1,0.0,60.9,40.7,3.5
93,0.0,0.0,53.8,38.1,3.4
94,0.0,0.0,52.8,41.2,3.5
95,0.1,0.0,69.3,44.5,3.9
96,0.2,0.0,72.2,49.4,4.0
97,0.2,0.0,64.8,44.6,3.7
98,0.1,0.0,64.1,43.7,3.7
99,0.2,0.0,74.2,47.6,4.1
100,0.0,0.0,48.5,35.1,3.3
101,0.1,0.0,71.1,51.5,3.9
102,0.2,0.0,65.7,44.4,3.7
103,0.2,0.0,65.0,43.2,3.8
104,0.3,0.0,71.7,45.8,4.1
105,0.2,0.0,65.2,43.5,3.8
106,0.2,0.0,73.3,45.9,4.0
107,0.2,0.0,61.8,47.0,3.6
108,0.1,0.0,65.4,43.8,3.8
109,0.1,0.0,67.4,44.6,3.9
110,0.1,0.0,59.3,40.2,3.7
111,0.0,0.0,64.8,42.8,3.5
112,0.1,0.0,73.6,49.3,3.8
113,0.0,0.0,57.5,41.6,3.6
114,0.1,0.0,56.2,41.2,3.3
115,0.1,0.0,61.7,41.3,3.7
116,0.1,0.0,83.3,54.7,4.1
117,0.1,0.0,58.9,42.9,3.6
118,0.0,0.0,55.6,38.5,3.4
119,0.2,0.0,66.3,46.4,3.8
120,0.0,0.0,47.2,36.2,3.3
121,0.0,0.0,62.9,45.1,3.6
122,0.1,0.0,60.0,43.6,3.7
123,0.1,0.0,51.9,36.3,3.3
124,0.3,0.0,61.3,43.2,3.8
125,0.0,0.0,50.2,37.3,3.4
126,0.2,0.0,61.8,42.4,3.6
127,0.2,0.0,68.3,45.0,4.0
128,0.1,0.0,67.8,48.2,3.8
129,0.0,0.0,51.4,36.5,3.4
130,0.0,0.0,59.0,36.1,3.7
131,0.2,0.0,64.9,43.7,3.8
132,0.3,0.0,75.6,50.0,4.1
133,0.2,0.0,68.4,49.2,4.1
134,0.1,0.0,53.7,40.8,3.4
135,0.0,0.0,61.7,43.3,3.5
136,0.2,0.0,62.5,44.7,3.8
137,0.0,0.0,57.7,39.6,3.6
138,0.1,0.0,60.2,42.6,3.6
139,0.1,0.0,69.7,44.8,3.9
140,0.0,0.0,64.6,45.5,3.7
141,0.0,0.0,49.3,37.0,3.4
142,0.1,0.0,68.0,47.7,3.9
143,0.0,0.0,58.0,43.7,3.5
144,0.1,0.0,51.5,39.1,3.4
145,0.1,0.0,69.9,45.4,3.9
