,wins,rewards,scores,steps,high_tile
0,0.2,1.2,56.0,38.6,3.5
1,0.1,0.6,55.4,40.4,3.6
2,0.2,1.2,66.6,43.7,3.9
3,0.0,0.0,65.9,40.6,3.7
4,0.0,0.0,58.5,39.7,3.6
5,0.1,0.6,63.3,43.8,3.9
6,0.3,1.8,55.0,35.8,3.6
7,0.2,1.2,64.0,39.7,3.9
8,0.3,1.8,67.7,44.2,3.9
9,0.3,1.8,62.0,42.2,3.8
10,0.3,1.8,70.8,41.6,4.1
11,0.1,0.6,65.3,44.2,3.7
12,0.0,0.0,57.0,36.8,3.9
13,0.1,0.6,61.2,41.1,3.7
14,0.1,0.6,57.8,37.9,3.6
15,0.0,0.0,51.8,40.4,3.3
16,0.0,0.0,50.2,34.5,3.4
17,0.2,1.2,62.3,39.7,3.8
18,0.0,0.0,50.4,35.7,3.4
19,0.1,0.6,59.4,36.7,3.6
20,0.1,0.6,54.4,36.1,3.6
21,0.3,1.8,62.1,41.5,3.6
22,0.2,1.2,61.9,36.3,3.8
23,0.1,0.6,54.5,38.0,3.5
24,0.1,0.6,64.3,43.2,3.7
25,0.0,0.0,54.5,37.7,3.6
26,0.1,0.6,57.3,38.3,3.7
27,0.2,1.2,57.5,41.2,3.6
28,0.3,1.8,67.1,42.5,3.9
29,0.1,0.6,55.2,39.6,3.5
30,0.0,0.0,51.0,36.7,3.3
31,0.1,0.6,68.2,42.3,3.8
32,0.0,0.0,50.0,34.6,3.4
33,0.3,1.8,67.6,43.8,3.9
34,0.1,0.6,61.8,43.3,3.7
35,0.0,0.0,55.7,41.9,3.5
36,0.1,0.6,67.5,42.9,3.8
37,0.1,0.6,64.0,43.2,3.7
38,0.0,0.0,43.3,32.5,3.3
39,0.1,0.6,58.1,36.8,3.7
40,0.1,0.6,54.8,41.9,3.5
41,0.1,0.6,74.0,48.0,4.1
42,0.1,0.6,63.6,41.5,3.7
43,0.0,0.0,54.5,37.2,3.5
44,0.0,0.0,69.3,45.2,3.9
45,0.1,0.6,58.7,38.8,3.7
46,0.2,1.2,52.3,36.8,3.5
47,0.2,1.2,62.3,39.2,3.8
48,0.1,0.6,65.4,42.7,3.8
49,0.2,1.2,58.3,38.6,3.8
50,0.1,0.6,61.6,43.0,3.7
51,0.2,1.2,66.9,42.1,4.0
52,0.3,1.8,64.9,41.4,3.9
53,0.1,0.6,66.6,46.6,4.0
54,0.1,0.6,67.3,44.3,3.8
55,0.1,0.6,60.0,40.5,3.7
56,0.1,0.6,50.6,36.1,3.2
57,0.3,1.8,67.5,42.7,3.9
58,0.2,1.2,66.2,43.8,3.9
59,0.2,1.2,56.5,38.1,3.6
60,0.3,1.8,66.1,43.2,3.7
61,0.3,1.8,65.0,39.6,3.9
62,0.1,0.6,73.7,46.1,4.0
63,0.3,1.8,67.6,44.1,3.9
64,0.1,0.6,65.8,43.3,3.8
65,0.1,0.6,63.7,41.1,3.8
66,0.1,0.6,56.3,39.0,3.5
67,0.1,0.6,53.4,36.3,3.4
68,0.2,1.2,69.2,45.2,3.9
69,0.0,0.0,71.8,47.2,3.8
70,0.1,0.6,67.8,48.7,3.8
71,0.0,0.0,56.7,38.1,3.5
72,0.0,0.0,58.9,40.2,3.6
73,0.0,0.0,55.1,42.5,3.5
74,0.0,0.0,51.2,37.4,3.5
75,0.1,0.6,57.2,38.4,3.6
76,0.2,1.2,61.2,42.4,3.6
77,0.1,0.6,55.9,38.1,3.7
78,0.0,0.0,67.1,44.5,3.9
79,0.1,0.6,59.7,43.6,3.7
80,0.1,0.6,68.4,42.7,3.8
81,0.0,0.0,63.1,39.6,3.6
82,0.0,0.0,61.3,40.1,3.6
83,0.1,0.6,57.1,36.8,3.6
84,0.0,0.0,48.7,39.0,3.4
85,0.1,0.6,56.7,39.9,3.5
86,0.0,0.0,48.5,35.4,3.2
87,0.1,0.6,56.9,38.7,3.7
88,0.1,0.6,69.2,44.4,3.8
89,0.1,0.6,63.5,42.1,3.8
90,0.1,0.6,48.1,33.9,3.4
91,0.1,0.6,57.5,42.1,3.7
92,0.0,0.0,64.9,48.5,3.7
93,0.0,0.0,54.7,41.3,3.5
94,0.0,0.0,59.2,40.0,3.5
95,0.1,0.6,65.3,43.3,3.8
96,0.0,0.0,61.2,42.2,3.6
97,0.2,1.2,71.4,45.6,4.1
98,0.1,0.6,58.5,39.5,3.6
99,0.0,0.0,58.4,38.5,3.6
100,0.0,0.0,51.2,38.8,3.4
101,0.1,0.6,57.9,39.6,3.6
102,0.0,0.0,64.8,45.1,3.9
103,0.1,0.6,58.9,42.3,3.8
104,0.0,0.0,44.9,36.6,3.1
105,0.2,1.2,68.0,44.0,3.8
106,0.2,1.2,68.5,46.1,4.1
107,0.0,0.0,59.9,41.8,3.6
108,0.0,0.0,48.9,33.3,3.3
109,0.1,0.6,61.6,47.6,3.8
110,0.2,1.2,64.2,43.3,3.8
111,0.0,0.0,48.7,36.5,3.3
112,0.1,0.6,62.7,45.8,3.7
113,0.1,0.6,55.9,40.4,3.5
114,0.2,1.2,61.9,43.7,3.9
115,0.0,0.0,55.5,39.2,3.5
116,0.1,0.6,60.1,39.3,3.6
117,0.1,0.6,60.9,42.2,3.8
118,0.2,1.2,59.1,39.2,3.7
119,0.3,1.8,69.2,47.7,3.9
120,0.0,0.0,61.2,46.6,3.6
121,0.1,0.6,70.4,50.7,3.9
122,0.0,0.0,64.1,46.5,3.9
123,0.2,1.2,66.9,47.2,3.9
124,0.1,0.6,56.9,40.1,3.6
125,0.0,0.0,58.0,41.9,3.6
126,0.0,0.0,54.4,39.6,3.4
127,0.3,1.8,67.7,41.2,4.0
128,0.2,1.2,65.9,43.1,3.9
129,0.0,0.0,47.4,35.6,3.1
130,0.1,0.6,59.9,44.1,3.6
131,0.0,0.0,54.8,39.4,3.5
132,0.1,0.6,61.9,40.4,3.7
133,0.1,0.6,47.3,39.5,3.3
134,0.0,0.0,48.2,33.1,3.3
