,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,30,True,False,33,33.00,4
1,51,True,True,97,97.00,6
2,28,True,False,35,35.00,4
3,35,True,False,50,50.00,4
4,38,True,False,64,64.00,5
5,33,True,False,38,38.00,4
6,20,True,False,13,13.00,3
7,64,True,False,107,107.00,5
8,18,True,False,16,16.00,3
9,33,True,False,30,30.00,4
10,39,True,False,48,48.00,4
11,37,True,False,49,49.00,4
12,53,True,True,97,97.00,6
13,18,True,False,16,16.00,3
14,28,True,False,36,36.00,4
15,50,True,False,78,78.00,5
16,30,True,False,33,33.00,4
17,51,True,False,58,58.00,5
18,43,True,False,71,71.00,5
19,37,True,False,57,57.00,4
20,43,True,False,63,63.00,5
21,36,True,False,63,63.00,5
22,50,True,False,58,58.00,5
23,61,True,True,100,100.00,6
24,38,True,False,58,58.00,4
25,33,True,False,41,41.00,4
26,38,True,False,55,55.00,4
27,31,True,False,32,32.00,4
28,39,True,False,62,62.00,5
29,31,True,False,52,52.00,5
30,25,True,False,32,32.00,4
31,43,True,False,53,53.00,4
32,48,True,False,64,64.00,5
33,59,True,False,89,89.00,5
34,50,True,True,99,99.00,6
35,34,True,False,48,48.00,4
36,40,True,False,71,71.00,5
37,56,True,False,76,76.00,5
38,18,True,False,16,16.00,3
39,32,True,False,32,32.00,4
40,37,True,False,66,66.00,5
41,52,True,True,91,91.00,6
42,29,True,False,38,38.00,4
43,42,True,False,58,58.00,5
44,51,True,True,96,96.00,6
45,30,True,False,43,43.00,4
46,39,True,False,73,73.00,5
47,25,True,False,32,32.00,4
48,54,True,False,96,96.00,5
49,50,True,False,78,78.00,5
50,27,True,False,31,31.00,4
51,50,True,False,60,60.00,5
52,32,True,False,36,36.00,4
53,22,True,False,23,23.00,3
54,54,True,False,69,69.00,5
55,24,True,False,30,30.00,4
56,31,True,False,37,37.00,4
57,27,True,False,43,43.00,4
58,48,True,False,68,68.00,5
59,44,True,False,68,68.00,5
60,44,True,False,70,70.00,5
61,46,True,False,64,64.00,5
62,39,True,False,71,71.00,5
63,64,True,False,82,82.00,5
64,30,True,False,43,43.00,4
65,47,True,True,91,91.00,6
66,48,True,False,73,73.00,5
67,35,True,False,44,44.00,4
68,31,True,False,46,46.00,4
69,48,True,False,71,71.00,5
70,48,True,False,59,59.00,5
71,14,True,False,9,9.00,3
72,50,True,False,71,71.00,5
73,68,True,False,108,108.00,5
74,22,True,False,27,27.00,4
75,23,True,False,34,34.00,4
76,45,True,False,78,78.00,5
77,23,True,False,27,27.00,4
78,31,True,False,51,51.00,5
79,46,True,False,73,73.00,5
80,39,True,False,69,69.00,5
81,38,True,False,51,51.00,4
82,25,True,False,37,37.00,4
83,31,True,False,46,46.00,4
84,32,True,False,45,45.00,4
85,29,True,False,46,46.00,5
86,23,True,False,27,27.00,4
87,42,True,False,66,66.00,5
88,37,True,False,39,39.00,4
89,34,True,False,36,36.00,4
90,56,True,False,73,73.00,5
91,26,True,False,32,32.00,4
92,29,True,False,46,46.00,4
93,42,True,False,60,60.00,5
94,35,True,False,60,60.00,5
95,50,True,False,80,80.00,5
96,50,True,False,88,88.00,5
97,38,True,False,43,43.00,4
98,32,True,False,55,55.00,5
99,48,True,False,82,82.00,5
100,30,True,False,37,37.00,4
101,74,True,False,89,89.00,5
102,36,True,False,55,55.00,5
103,27,True,False,32,32.00,4
104,31,True,False,48,48.00,4
105,28,True,False,28,28.00,4
106,38,True,False,44,44.00,4
107,39,True,False,59,59.00,4
108,25,True,False,27,27.00,4
109,40,True,False,66,66.00,5
110,33,True,False,47,47.00,4
111,45,True,False,54,54.00,4
112,51,True,False,85,85.00,5
113,71,True,False,86,86.00,5
114,40,True,False,68,68.00,5
115,22,True,False,30,30.00,4
116,52,True,False,84,84.00,5
117,37,True,False,56,56.00,5
118,20,True,False,22,22.00,4
119,50,True,False,66,66.00,5
120,33,True,False,34,34.00,4
121,35,True,False,57,57.00,5
122,38,True,False,60,60.00,5
123,36,True,False,55,55.00,5
124,34,True,False,49,49.00,4
125,36,True,False,56,56.00,5
126,49,True,True,89,89.00,6
127,71,True,True,113,113.00,6
128,45,True,False,73,73.00,5
129,31,True,False,48,48.00,4
130,42,True,False,63,63.00,4
131,34,True,False,32,32.00,4
132,44,True,False,83,83.00,5
133,56,True,True,101,101.00,6
134,32,True,False,46,46.00,4
135,24,True,False,29,29.00,4
136,31,True,False,38,38.00,4
137,34,True,False,46,46.00,4
138,52,True,False,77,77.00,5
139,53,True,False,82,82.00,5
140,49,True,False,75,75.00,5
141,22,True,False,28,28.00,4
142,45,True,False,60,60.00,5
143,66,True,True,100,100.00,6
144,39,True,True,91,91.00,6
145,45,True,False,73,73.00,5
146,53,True,False,78,78.00,5
147,48,True,True,89,89.00,6
148,42,True,False,53,53.00,5
149,28,True,False,34,34.00,4
150,50,True,False,70,70.00,5
151,41,True,False,57,57.00,5
152,48,True,False,71,71.00,5
153,49,True,False,71,71.00,5
154,54,True,False,69,69.00,5
155,46,True,False,66,66.00,5
156,40,True,False,71,71.00,5
157,39,True,False,59,59.00,5
158,29,True,False,44,44.00,4
159,40,True,False,51,51.00,5
160,42,True,False,63,63.00,5
161,35,True,False,57,57.00,5
162,29,True,False,36,36.00,4
163,42,True,False,59,59.00,4
164,39,True,False,57,57.00,4
165,53,True,False,88,88.00,5
166,48,True,False,71,71.00,5
167,58,True,True,121,121.00,6
168,25,True,False,29,29.00,4
169,44,True,False,71,71.00,5
170,45,True,False,62,62.00,5
171,33,True,False,45,45.00,4
172,43,True,False,71,71.00,5
173,31,True,False,37,37.00,4
174,40,True,False,50,50.00,4
175,45,True,False,71,71.00,5
176,25,True,False,30,30.00,4
177,52,True,False,80,80.00,5
178,37,True,False,39,39.00,4
179,30,True,False,44,44.00,4
180,34,True,False,60,60.00,5
181,33,True,False,41,41.00,4
182,51,True,False,67,67.00,5
183,44,True,False,76,76.00,5
184,22,True,False,27,27.00,4
185,40,True,False,50,50.00,4
186,44,True,False,73,73.00,5
187,64,True,False,91,91.00,5
188,40,True,False,64,64.00,5
189,61,True,True,106,106.00,6
190,24,True,False,31,31.00,4
191,48,True,True,91,91.00,6
192,60,True,False,70,70.00,5
193,38,True,False,66,66.00,5
194,36,True,False,62,62.00,5
195,52,True,False,76,76.00,5
196,58,True,False,87,87.00,5
197,51,True,False,62,62.00,5
198,24,True,False,34,34.00,4
199,26,True,False,35,35.00,4
200,47,True,False,46,46.00,4
201,59,True,False,73,73.00,5
202,53,True,False,93,93.00,5
203,30,True,False,40,40.00,4
204,44,True,False,69,69.00,5
205,32,True,False,24,24.00,4
206,43,True,False,48,48.00,4
207,16,True,False,14,14.00,3
208,58,True,True,102,102.00,6
209,53,True,True,91,91.00,6
210,36,True,False,50,50.00,4
211,46,True,False,61,61.00,5
212,50,True,False,80,80.00,5
213,62,True,True,102,102.00,6
214,36,True,False,42,42.00,4
215,41,True,False,57,57.00,5
216,42,True,False,48,48.00,4
217,45,True,False,65,65.00,5
218,54,True,False,80,80.00,5
219,61,True,False,94,94.00,5
220,60,True,False,85,85.00,5
221,21,True,False,19,19.00,3
222,77,True,False,100,100.00,5
223,49,True,False,70,70.00,5
224,35,True,False,52,52.00,5
225,57,True,True,121,121.00,6
226,50,True,False,78,78.00,5
227,41,True,False,58,58.00,5
228,51,True,False,88,88.00,5
229,44,True,False,75,75.00,5
230,47,True,False,56,56.00,5
231,59,True,True,97,97.00,6
232,38,True,False,54,54.00,5
233,64,True,True,100,100.00,6
234,39,True,False,70,70.00,5
235,24,True,False,27,27.00,4
236,74,True,True,109,109.00,6
237,67,True,True,97,97.00,6
238,22,True,False,27,27.00,4
239,48,True,False,68,68.00,5
240,36,True,False,48,48.00,4
241,35,True,False,57,57.00,5
242,45,True,False,85,85.00,5
243,56,True,True,94,94.00,6
244,40,True,False,64,64.00,5
245,24,True,False,25,25.00,4
246,46,True,False,78,78.00,5
247,56,True,False,86,86.00,5
248,58,True,True,96,96.00,6
249,64,True,False,84,84.00,5
250,41,True,False,73,73.00,5
251,38,True,False,38,38.00,4
252,73,True,False,94,94.00,5
253,61,True,True,98,98.00,6
254,17,True,False,18,18.00,3
255,32,True,False,35,35.00,4
256,54,True,True,98,98.00,6
257,31,True,False,32,32.00,4
258,42,True,False,50,50.00,4
259,64,True,False,95,95.00,5
260,38,True,False,62,62.00,5
261,28,True,False,39,39.00,4
262,25,True,False,32,32.00,4
263,61,True,False,72,72.00,5
264,45,True,False,69,69.00,5
265,48,True,True,95,95.00,6
266,28,True,False,40,40.00,4
267,49,True,False,65,65.00,5
268,47,True,True,97,97.00,6
269,57,True,False,82,82.00,5
270,51,True,False,52,52.00,4
271,46,True,False,82,82.00,5
272,29,True,False,37,37.00,4
273,46,True,False,67,67.00,5
