,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,43,True,False,50,7,4
1,42,True,False,63,16,5
2,24,True,False,32,7,4
3,30,True,False,30,3,3
4,38,True,False,55,7,4
5,58,True,False,78,19,5
6,50,True,False,72,19,5
7,59,True,False,91,22,5
8,52,True,False,80,24,5
9,40,True,False,48,7,4
10,42,True,False,80,19,5
11,40,True,False,48,7,4
12,49,True,False,30,7,4
13,34,True,False,52,7,4
14,27,True,False,23,3,3
15,39,True,False,67,19,5
16,41,True,False,71,16,5
17,43,True,False,60,15,5
18,40,True,False,43,10,4
19,56,True,False,87,19,5
20,39,True,False,61,18,5
21,51,True,False,64,15,5
22,42,True,False,67,15,5
23,52,True,True,92,25,6
24,29,True,False,39,10,4
25,59,True,False,90,25,5
26,36,True,False,48,7,4
27,27,True,False,36,10,4
28,49,True,False,79,15,5
29,36,True,False,54,18,5
30,47,True,False,57,15,5
31,37,True,False,50,10,4
32,34,True,False,48,7,4
33,56,True,True,90,25,6
34,39,True,False,40,10,4
35,43,True,False,71,15,5
36,48,True,False,72,19,5
37,57,True,False,73,19,5
38,31,True,False,41,10,4
39,27,True,False,41,7,4
40,25,True,False,30,10,4
41,40,True,False,61,18,5
42,27,True,False,37,7,4
43,59,True,True,95,31,6
44,45,True,False,65,16,5
45,38,True,False,52,15,5
46,48,True,False,65,16,5
47,34,True,False,51,12,5
48,38,True,False,62,18,5
49,28,True,False,35,7,4
50,34,True,False,57,15,5
51,39,True,False,57,10,4
52,27,True,False,35,7,4
53,50,True,False,78,19,5
54,61,True,True,105,25,6
55,38,True,False,61,10,4
56,47,True,False,76,12,5
57,52,True,False,74,19,5
58,53,True,False,85,16,5
59,52,True,False,78,16,5
60,39,True,False,63,16,5
61,38,True,False,69,22,5
62,29,True,False,40,7,4
63,28,True,False,39,10,4
64,51,True,True,100,28,6
65,49,True,False,69,19,5
66,52,True,False,73,19,5
67,42,True,False,82,21,5
68,54,True,True,93,31,6
69,51,True,False,72,19,5
70,34,True,False,47,10,4
71,47,True,False,77,19,5
72,50,True,False,44,7,4
73,34,True,False,52,10,4
74,41,True,False,55,15,5
75,65,True,False,70,16,5
76,43,True,False,60,15,5
77,46,True,False,71,16,5
78,29,True,False,37,7,4
79,30,True,False,41,7,4
80,41,True,False,63,12,5
81,41,True,False,55,15,5
82,48,True,False,65,12,5
83,61,True,False,101,29,5
84,35,True,False,57,18,5
85,34,True,False,59,22,5
86,39,True,False,72,16,5
87,42,True,False,71,12,5
88,38,True,False,66,22,5
89,32,True,False,29,10,4
90,59,True,False,87,18,5
91,41,True,False,53,15,5
92,48,True,True,92,25,6
93,21,True,False,25,3,3
94,39,True,False,64,15,5
95,45,True,False,70,22,5
96,20,True,False,24,7,4
97,25,True,False,33,10,4
98,45,True,False,64,15,5
99,31,True,False,35,7,4
100,42,True,False,48,10,4
101,32,True,False,35,10,4
102,52,True,False,71,18,5
103,30,True,False,51,15,5
104,42,True,False,67,22,5
105,47,True,False,55,15,5
106,25,True,False,28,7,4
107,22,True,False,27,10,4
108,24,True,False,18,3,3
109,19,True,False,20,7,4
110,37,True,False,51,15,5
111,43,True,False,57,15,5
112,54,True,False,87,22,5
113,30,True,False,25,10,4
114,52,True,False,71,16,5
115,31,True,False,39,7,4
116,51,True,False,62,18,5
117,38,True,False,66,12,5
118,34,True,False,58,18,5
119,29,True,False,41,10,4
120,39,True,False,57,12,5
121,33,True,False,37,7,4
122,50,True,False,68,22,5
123,23,True,False,30,7,4
124,37,True,False,59,15,5
125,39,True,False,58,15,5
126,29,True,False,36,7,4
127,46,True,False,80,19,5
128,36,True,False,52,7,4
129,37,True,False,55,10,4
130,64,True,False,96,18,5
131,37,True,False,60,15,5
132,50,True,False,57,18,5
133,48,True,False,79,22,5
134,41,True,False,70,12,5
135,47,True,False,62,22,5
136,45,True,False,80,16,5
137,44,True,False,55,18,5
138,56,True,False,71,18,5
139,30,True,False,41,7,4
140,24,True,False,34,10,4
141,47,True,False,78,15,5
142,35,True,False,53,15,5
143,32,True,False,44,7,4
144,22,True,False,20,3,3
145,34,True,False,47,10,4
146,53,True,True,88,22,6
147,47,True,False,34,7,4
148,43,True,True,84,22,6
