,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,21,True,False,27,21.80,4
1,47,True,True,88,77.20,6
2,41,True,False,62,52.80,5
3,35,True,False,41,32.60,4
4,31,True,False,50,41.90,4
5,43,True,False,64,54.30,5
6,56,True,True,88,76.20,6
7,28,True,False,23,18.50,3
8,46,True,False,62,52.30,5
9,52,True,False,84,72.20,5
10,49,True,False,83,70.00,5
11,88,True,False,110,94.50,5
12,21,True,False,23,18.40,3
13,52,True,True,100,88.00,6
14,22,True,False,27,21.70,4
15,44,True,False,66,56.60,5
16,39,True,False,59,50.00,5
17,31,True,False,29,22.60,4
18,70,True,False,96,82.80,5
19,44,True,False,66,56.40,5
20,42,True,False,70,59.50,5
21,35,True,False,55,47.40,4
22,43,True,False,56,47.80,5
23,43,True,False,70,60.70,5
24,55,True,False,103,90.40,5
25,38,True,False,43,36.60,4
26,29,True,False,46,38.30,5
27,42,True,True,84,72.50,6
28,22,True,False,22,17.30,4
29,37,True,False,62,53.20,5
30,33,True,False,53,45.60,5
31,44,True,False,62,52.60,5
32,24,True,False,34,27.80,4
33,50,True,False,79,68.70,5
34,49,True,True,91,79.00,6
35,62,True,False,89,78.10,5
36,52,True,False,69,58.70,5
37,52,True,False,80,68.60,5
38,30,True,False,39,32.20,4
39,41,True,False,57,47.20,5
40,29,True,False,23,17.20,3
41,40,True,False,35,29.20,4
42,43,True,False,41,34.70,4
43,59,True,False,85,73.10,5
44,39,True,True,87,76.10,6
45,48,True,False,67,56.50,5
46,33,True,False,48,39.60,4
47,42,True,False,73,61.90,5
48,27,True,False,39,33.00,4
49,45,True,True,95,83.40,6
50,57,True,True,102,89.10,6
51,38,True,False,41,34.30,4
52,47,True,False,72,60.90,5
53,22,True,False,28,23.00,4
54,46,True,False,74,63.20,5
55,35,True,False,37,30.90,4
56,37,True,False,63,54.20,5
57,60,True,False,96,84.20,5
58,60,True,True,105,92.50,6
59,43,True,False,61,51.90,5
60,38,True,False,62,52.00,5
61,32,True,False,39,33.40,4
62,23,True,False,30,24.60,4
63,40,True,False,41,34.60,4
64,49,True,False,67,57.50,5
65,41,True,False,67,57.00,5
66,67,True,True,91,79.60,6
67,48,True,True,96,83.20,6
68,43,True,False,82,71.20,5
69,43,True,True,91,79.70,6
70,27,True,False,34,27.40,4
71,39,True,False,63,54.80,5
72,31,True,False,53,44.70,5
73,42,True,False,32,26.40,4
74,27,True,False,27,22.50,4
75,45,True,False,75,65.40,5
76,55,True,False,80,70.40,5
77,59,True,False,78,66.80,5
78,51,True,False,87,73.50,5
79,49,True,False,71,60.70,5
80,62,True,False,95,83.70,5
81,20,True,False,22,18.00,4
82,57,True,False,64,56.00,5
83,54,True,True,95,83.90,6
84,45,True,False,64,53.60,5
85,51,True,False,69,59.80,5
86,43,True,False,70,59.90,5
87,33,True,False,50,42.00,5
88,69,True,True,123,107.80,6
89,45,True,False,73,61.80,5
90,56,True,False,89,76.80,5
91,42,True,False,69,59.90,5
92,33,True,False,39,33.20,4
93,43,True,False,73,62.50,5
94,17,True,False,13,9.90,3
95,51,True,True,88,76.50,6
96,30,True,False,29,23.10,4
97,32,True,False,35,29.40,4
98,42,True,False,69,58.40,5
99,52,True,False,69,59.10,5
100,55,True,False,76,66.40,5
101,29,True,False,48,40.00,4
102,45,True,False,90,77.10,5
103,41,True,False,71,60.60,5
104,49,True,False,84,72.40,5
105,47,True,False,64,53.80,5
106,49,True,False,64,55.10,5
107,50,True,False,66,56.20,5
108,38,True,False,41,32.80,4
109,45,True,False,67,56.60,5
110,38,True,False,62,53.10,5
111,47,True,False,73,62.20,5
112,36,True,False,48,40.70,4
113,32,True,False,27,21.40,4
114,46,True,False,59,49.80,5
115,70,True,False,96,83.60,5
116,42,True,False,64,54.10,5
117,27,True,False,36,30.00,4
118,39,True,False,52,43.80,5
119,40,True,False,66,57.40,5
120,49,True,False,69,59.50,5
121,24,True,False,18,14.30,3
122,33,True,False,50,42.20,4
123,31,True,False,41,34.10,4
124,45,True,False,74,64.20,5
125,44,True,False,67,56.80,5
126,41,True,False,65,55.00,5
