,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,31,True,False,37,7,4
1,47,True,False,76,14,5
2,27,True,False,41,9,4
3,37,True,False,53,12,5
4,51,True,False,78,14,5
5,35,True,False,48,9,4
6,48,True,True,90,20,6
7,45,True,True,95,20,6
8,32,True,False,51,9,4
9,52,True,True,94,20,6
10,29,True,False,34,7,4
11,30,True,False,52,14,5
12,54,True,False,79,14,5
13,44,True,False,18,5,3
14,44,True,False,75,14,5
15,43,True,False,62,12,5
16,64,True,False,103,14,5
17,28,True,False,39,9,4
18,41,True,True,85,20,6
19,35,True,False,40,9,4
20,47,True,False,73,14,5
21,64,True,False,91,14,5
22,29,True,False,36,9,4
23,35,True,False,59,9,4
24,49,True,False,74,14,5
25,24,True,False,27,9,4
26,24,True,False,34,9,4
27,66,True,False,89,14,5
28,70,True,False,114,14,5
29,49,True,False,66,14,5
30,59,True,False,86,12,5
31,32,True,False,39,9,4
32,44,True,False,69,14,5
33,50,True,False,80,14,5
34,29,True,False,48,9,4
35,55,True,True,100,20,6
36,33,True,False,41,9,4
37,24,True,False,28,5,3
38,55,True,True,111,20,6
39,60,True,False,72,14,5
40,39,True,False,57,14,5
41,50,True,False,80,14,5
42,21,True,False,26,5,3
43,51,True,True,94,20,6
44,40,True,False,68,14,5
45,46,True,False,60,14,5
46,29,True,False,27,9,4
47,54,True,True,96,20,6
48,19,True,False,18,5,3
49,25,True,False,23,5,3
50,45,True,False,71,14,5
51,45,True,False,58,14,5
52,29,True,False,29,9,4
53,62,True,False,93,14,5
54,21,True,False,29,9,4
55,54,True,False,78,14,5
56,44,True,False,69,14,5
57,48,True,False,80,14,5
58,38,True,False,62,14,5
59,37,True,False,59,14,5
60,55,True,False,80,14,5
61,38,True,False,48,9,4
62,34,True,False,41,9,4
63,53,True,False,75,14,5
64,52,True,False,69,14,5
65,38,True,False,48,14,5
66,39,True,False,65,14,5
67,30,True,False,39,9,4
68,55,True,False,71,14,5
69,32,True,False,39,9,4
70,35,True,False,53,14,5
71,30,True,False,39,7,4
72,42,True,False,69,14,5
73,44,True,False,76,14,5
74,45,True,False,41,9,4
75,46,True,False,73,14,5
76,45,True,True,91,20,6
77,32,True,False,43,9,4
78,70,True,True,106,20,6
79,35,True,False,63,14,5
80,42,True,False,50,9,4
81,44,True,False,66,14,5
82,51,True,False,71,14,5
83,45,True,True,102,20,6
84,32,True,False,46,9,4
85,33,True,False,56,14,5
86,38,True,False,69,14,5
87,63,True,False,109,14,5
88,42,True,False,50,9,4
89,34,True,False,51,7,4
90,56,True,False,87,14,5
91,52,True,False,76,14,5
92,49,True,True,91,20,6
93,46,True,False,82,14,5
94,48,True,False,76,14,5
95,40,True,False,55,14,5
96,26,True,False,40,9,4
97,26,True,False,32,9,4
98,37,True,False,48,9,4
99,42,True,False,68,14,5
100,28,True,False,27,9,4
101,37,True,False,48,9,4
102,49,True,False,77,14,5
103,53,True,False,75,14,5
104,48,True,False,74,14,5
105,42,True,False,57,14,5
106,34,True,False,55,14,5
107,68,True,False,112,14,5
108,65,True,False,98,14,5
109,39,True,False,69,14,5
110,26,True,False,36,9,4
111,58,True,False,87,14,5
112,62,True,False,73,14,5
113,51,True,False,67,14,5
114,47,True,True,88,20,6
115,26,True,False,27,7,4
116,41,True,False,53,14,5
117,41,True,False,52,9,4
118,45,True,False,71,14,5
119,43,True,False,55,14,5
120,32,True,False,43,9,4
121,36,True,False,39,9,4
122,46,True,True,91,20,6
123,28,True,False,23,9,4
124,29,True,False,21,5,3
125,44,True,False,73,14,5
126,36,True,False,57,14,5
127,36,True,False,39,9,4
128,26,True,False,39,9,4
129,39,True,False,62,14,5
130,52,True,False,75,14,5
