,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,31,True,False,37,7,4
1,47,True,False,76,15,5
2,27,True,False,41,10,4
3,37,True,False,53,15,5
4,51,True,False,78,19,5
5,35,True,False,48,10,4
6,48,True,True,90,21,6
7,45,True,True,95,28,6
8,32,True,False,51,7,4
9,52,True,True,94,25,6
10,29,True,False,34,10,4
11,30,True,False,52,15,5
12,54,True,False,79,19,5
13,44,True,False,18,3,3
14,44,True,False,75,19,5
15,43,True,False,62,15,5
16,64,True,False,103,35,5
17,28,True,False,39,7,4
18,41,True,True,85,25,6
19,35,True,False,40,10,4
20,47,True,False,73,19,5
21,64,True,False,91,19,5
22,29,True,False,36,10,4
23,35,True,False,59,13,4
24,49,True,False,74,15,5
25,24,True,False,27,10,4
26,24,True,False,34,7,4
27,66,True,False,89,25,5
28,70,True,False,114,26,5
29,49,True,False,66,15,5
30,59,True,False,86,25,5
31,32,True,False,39,10,4
32,44,True,False,69,16,5
33,50,True,False,80,25,5
34,29,True,False,48,10,4
35,55,True,True,100,24,6
36,33,True,False,41,10,4
37,24,True,False,28,3,3
38,55,True,True,111,28,6
39,60,True,False,72,18,5
40,39,True,False,57,15,5
41,50,True,False,80,12,5
42,21,True,False,26,3,3
43,51,True,True,94,25,6
44,40,True,False,68,16,5
45,46,True,False,60,12,5
46,29,True,False,27,10,4
47,54,True,True,96,31,6
48,19,True,False,18,3,3
49,25,True,False,23,3,3
50,45,True,False,71,16,5
51,45,True,False,58,15,5
52,29,True,False,29,10,4
53,62,True,False,93,19,5
54,21,True,False,29,10,4
55,54,True,False,78,22,5
56,44,True,False,69,16,5
57,48,True,False,80,19,5
58,38,True,False,62,16,5
59,37,True,False,59,12,5
60,55,True,False,80,19,5
61,38,True,False,48,10,4
62,34,True,False,41,7,4
63,53,True,False,75,15,5
64,52,True,False,69,19,5
65,38,True,False,48,15,5
66,39,True,False,65,15,5
67,30,True,False,39,10,4
68,55,True,False,71,16,5
69,32,True,False,39,7,4
70,35,True,False,53,15,5
71,30,True,False,39,7,4
72,42,True,False,69,15,5
73,44,True,False,76,19,5
74,45,True,False,41,10,4
75,46,True,False,73,15,5
76,45,True,True,91,25,6
77,32,True,False,43,13,4
78,70,True,True,106,25,6
79,35,True,False,63,19,5
80,42,True,False,50,10,4
81,44,True,False,66,15,5
82,51,True,False,71,22,5
83,45,True,True,102,25,6
84,32,True,False,46,7,4
85,33,True,False,56,12,5
86,38,True,False,69,22,5
87,63,True,False,109,26,5
88,42,True,False,50,10,4
89,34,True,False,51,13,4
90,56,True,False,87,22,5
91,52,True,False,76,19,5
92,49,True,True,91,25,6
