,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,31,True,False,37,37,4
1,47,True,False,76,76,5
2,27,True,False,41,41,4
3,37,True,False,53,53,5
4,51,True,False,78,78,5
5,35,True,False,48,48,4
6,48,True,True,90,90,6
7,45,True,True,95,95,6
8,32,True,False,51,51,4
9,52,True,True,94,94,6
10,29,True,False,34,34,4
11,30,True,False,52,52,5
12,54,True,False,79,79,5
13,44,True,False,18,18,3
14,44,True,False,75,75,5
15,43,True,False,62,62,5
16,64,True,False,103,103,5
17,28,True,False,39,39,4
18,41,True,True,85,85,6
19,35,True,False,40,40,4
20,47,True,False,73,73,5
21,64,True,False,91,91,5
22,29,True,False,36,36,4
23,35,True,False,59,59,4
24,49,True,False,74,74,5
25,24,True,False,27,27,4
26,24,True,False,34,34,4
27,66,True,False,89,89,5
28,70,True,False,114,114,5
29,49,True,False,66,66,5
30,59,True,False,86,86,5
31,32,True,False,39,39,4
32,44,True,False,69,69,5
33,50,True,False,80,80,5
34,29,True,False,48,48,4
35,55,True,True,100,100,6
36,33,True,False,41,41,4
37,24,True,False,28,28,3
38,55,True,True,111,111,6
39,60,True,False,72,72,5
40,39,True,False,57,57,5
41,50,True,False,80,80,5
42,21,True,False,26,26,3
43,51,True,True,94,94,6
44,40,True,False,68,68,5
45,46,True,False,60,60,5
46,29,True,False,27,27,4
47,54,True,True,96,96,6
48,19,True,False,18,18,3
49,25,True,False,23,23,3
50,45,True,False,71,71,5
51,45,True,False,58,58,5
52,29,True,False,29,29,4
53,62,True,False,93,93,5
54,21,True,False,29,29,4
55,54,True,False,78,78,5
56,44,True,False,69,69,5
57,48,True,False,80,80,5
58,38,True,False,62,62,5
59,37,True,False,59,59,5
60,55,True,False,80,80,5
61,38,True,False,48,48,4
62,34,True,False,41,41,4
63,53,True,False,75,75,5
64,52,True,False,69,69,5
65,38,True,False,48,48,5
66,39,True,False,65,65,5
67,30,True,False,39,39,4
68,55,True,False,71,71,5
69,32,True,False,39,39,4
70,35,True,False,53,53,5
71,30,True,False,39,39,4
72,42,True,False,69,69,5
73,44,True,False,76,76,5
74,45,True,False,41,41,4
75,46,True,False,73,73,5
76,45,True,True,91,91,6
77,32,True,False,43,43,4
78,70,True,True,106,106,6
79,35,True,False,63,63,5
80,42,True,False,50,50,4
81,44,True,False,66,66,5
82,51,True,False,71,71,5
83,45,True,True,102,102,6
84,32,True,False,46,46,4
85,33,True,False,56,56,5
86,38,True,False,69,69,5
87,63,True,False,109,109,5
88,42,True,False,50,50,4
89,34,True,False,51,51,4
90,56,True,False,87,87,5
91,52,True,False,76,76,5
92,49,True,True,91,91,6
93,46,True,False,82,82,5
94,48,True,False,76,76,5
95,40,True,False,55,55,5
96,26,True,False,40,40,4
97,26,True,False,32,32,4
98,37,True,False,48,48,4
99,42,True,False,68,68,5
100,28,True,False,27,27,4
101,37,True,False,48,48,4
102,49,True,False,77,77,5
103,54,True,False,80,80,5
104,37,True,False,41,41,4
105,26,True,False,34,34,4
106,39,True,False,59,59,5
107,50,True,False,69,69,5
108,46,True,False,54,54,4
109,41,True,False,67,67,5
110,35,True,False,50,50,5
111,33,True,False,41,41,4
112,40,True,False,66,66,5
113,25,True,False,27,27,4
114,61,True,False,87,87,5
115,50,True,False,84,84,5
116,43,True,False,62,62,5
117,42,True,False,70,70,5
118,50,True,False,64,64,5
119,34,True,False,41,41,4
120,66,True,False,89,89,5
121,22,True,False,25,25,4
122,35,True,False,41,41,4
123,65,True,False,71,71,5
124,44,True,False,62,62,5
125,44,True,False,66,66,5
126,34,True,False,44,44,4
127,51,True,False,64,64,5
128,38,True,False,62,62,5
129,27,True,False,39,39,4
130,41,True,False,50,50,4
131,19,True,False,21,21,3
132,18,True,False,19,19,3
133,51,True,True,93,93,6
134,36,True,False,58,58,5
135,32,True,False,32,32,4
136,48,True,False,78,78,5
137,36,True,False,60,60,5
138,27,True,False,36,36,4
139,38,True,False,59,59,5
140,35,True,False,44,44,4
141,38,True,False,39,39,4
142,33,True,False,37,37,4
143,40,True,False,56,56,5
144,36,True,False,54,54,5
145,52,True,False,89,89,5
146,16,True,False,7,7,3
147,41,True,False,52,52,4
148,32,True,False,29,29,3
149,47,True,False,74,74,5
150,37,True,False,61,61,5
151,37,True,False,52,52,4
152,27,True,False,35,35,4
153,39,True,False,43,43,4
154,38,True,False,71,71,5
155,48,True,False,76,76,5
156,41,True,False,71,71,5
157,58,True,False,80,80,5
158,61,True,False,73,73,5
159,48,True,False,69,69,5
160,37,True,False,59,59,5
161,42,True,False,73,73,5
162,36,True,False,52,52,4
163,44,True,False,62,62,5
164,60,True,True,102,102,6
165,58,True,False,78,78,5
166,51,True,False,87,87,5
167,28,True,False,34,34,4
168,25,True,False,20,20,3
169,63,True,True,101,101,6
170,44,True,False,64,64,4
171,50,True,False,71,71,5
172,42,True,False,68,68,5
173,56,True,False,83,83,5
174,45,True,True,95,95,6
175,42,True,False,58,58,4
176,61,True,False,82,82,5
177,36,True,False,53,53,4
178,49,True,False,66,66,5
179,50,True,False,76,76,5
180,69,True,False,105,105,5
181,44,True,False,56,56,5
182,62,True,False,87,87,5
183,43,True,True,91,91,6
184,69,True,False,102,102,5
185,50,True,False,78,78,5
186,37,True,False,53,53,5
187,23,True,False,33,33,4
188,53,True,True,97,97,6
189,41,True,False,60,60,5
190,57,True,False,73,73,5
191,36,True,False,67,67,5
192,60,True,True,91,91,6
193,42,True,False,71,71,5
194,66,True,True,105,105,6
195,50,True,True,94,94,6
196,26,True,False,25,25,3
197,33,True,False,46,46,4
198,34,True,False,56,56,5
199,26,True,False,36,36,4
200,46,True,False,84,84,5
201,26,True,False,41,41,4
202,27,True,False,29,29,4
203,54,True,True,97,97,6
204,42,True,True,92,92,6
205,53,True,True,100,100,6
206,61,True,False,81,81,5
207,27,True,False,34,34,4
208,34,True,False,56,56,5
209,32,True,False,37,37,4
210,30,True,False,55,55,4
211,42,True,False,68,68,5
212,18,True,False,12,12,3
213,44,True,False,55,55,5
214,34,True,False,44,44,4
215,20,True,False,23,23,3
216,80,True,True,93,93,6
217,33,True,False,44,44,4
218,22,True,False,27,27,4
219,62,True,False,80,80,5
220,22,True,False,29,29,4
221,25,True,False,27,27,3
222,34,True,False,52,52,4
223,29,True,False,42,42,4
224,46,True,False,62,62,5
225,37,True,False,57,57,5
226,57,True,False,74,74,5
227,29,True,False,43,43,4
228,38,True,False,64,64,5
229,56,True,False,87,87,5
230,39,True,False,70,70,5
231,26,True,False,32,32,4
232,40,True,False,55,55,5
233,18,True,False,18,18,3
234,56,True,False,79,79,5
235,46,True,False,67,67,5
236,30,True,False,28,28,4
237,43,True,False,66,66,5
238,37,True,False,57,57,5
239,49,True,True,84,84,6
240,61,True,True,97,97,6
241,24,True,False,21,21,3
242,47,True,False,70,70,5
243,53,True,True,100,100,6
244,49,True,True,92,92,6
245,50,True,False,70,70,5
246,32,True,False,51,51,5
247,48,True,False,69,69,5
248,28,True,False,43,43,4
249,44,True,False,57,57,5
250,43,True,False,68,68,5
251,35,True,False,45,45,4
252,29,True,False,48,48,4
253,27,True,False,25,25,4
254,26,True,False,30,30,4
255,36,True,False,32,32,4
256,27,True,False,34,34,4
257,33,True,False,36,36,4
258,31,True,False,51,51,5
259,26,True,False,27,27,4
260,41,True,False,56,56,5
261,42,True,False,66,66,5
262,42,True,False,73,73,5
263,47,True,False,70,70,5
264,25,True,False,32,32,4
265,53,True,False,69,69,5
266,50,True,False,56,56,4
267,57,True,False,76,76,5
268,22,True,False,29,29,4
269,41,True,False,73,73,5
270,36,True,False,60,60,5
271,29,True,False,34,34,4
272,34,True,False,41,41,4
273,47,True,False,57,57,4
274,39,True,False,37,37,4
275,36,True,False,60,60,5
276,19,True,False,18,18,3
277,19,True,False,13,13,3
278,44,True,True,96,96,6
279,27,True,False,34,34,4
280,49,True,False,71,71,5
281,39,True,False,60,60,5
282,44,True,False,75,75,5
283,22,True,False,20,20,4
284,47,True,True,92,92,6
285,27,True,False,27,27,4
286,47,True,False,67,67,5
287,40,True,False,71,71,5
288,49,True,True,89,89,6
289,28,True,False,27,27,4
290,32,True,False,55,55,5
291,27,True,False,30,30,4
292,47,True,False,72,72,5
293,39,True,False,39,39,4
294,28,True,False,35,35,4
295,36,True,False,52,52,5
296,47,True,False,78,78,5
297,56,True,False,100,100,5
298,24,True,False,27,27,4
299,39,True,False,50,50,4
300,29,True,False,48,48,4
301,41,True,False,57,57,4
302,42,True,False,66,66,5
303,45,True,False,55,55,5
304,26,True,False,29,29,4
305,50,True,False,81,81,5
306,57,True,False,85,85,5
307,46,True,False,69,69,5
308,33,True,False,40,40,4
309,52,True,False,73,73,5
310,68,True,True,102,102,6
311,41,True,False,62,62,5
312,33,True,False,37,37,4
313,37,True,False,57,57,5
314,43,True,False,59,59,5
315,45,True,False,82,82,5
316,42,True,False,69,69,5
317,32,True,False,32,32,3
318,34,True,False,43,43,4
319,30,True,False,38,38,4
320,39,True,False,41,41,4
321,59,True,False,100,100,5
322,31,True,False,46,46,4
323,36,True,False,54,54,4
324,29,True,False,43,43,4
325,40,True,False,67,67,5
326,49,True,False,65,65,5
327,53,True,False,74,74,5
328,51,True,False,87,87,5
329,41,True,False,58,58,5
330,40,True,False,69,69,5
331,43,True,False,80,80,5
332,53,True,False,83,83,5
333,29,True,False,36,36,4
334,57,True,False,91,91,5
335,42,True,False,46,46,4
336,46,True,False,71,71,5
337,44,True,False,73,73,5
338,49,True,False,74,74,5
339,33,True,False,39,39,4
340,40,True,False,60,60,5
341,29,True,False,34,34,4
342,46,True,False,71,71,5
343,26,True,False,29,29,4
344,32,True,False,53,53,5
345,40,True,False,70,70,5
346,43,True,False,66,66,5
347,55,True,False,74,74,5
348,49,True,False,69,69,5
349,28,True,False,42,42,4
350,33,True,False,39,39,4
351,37,True,False,66,66,5
352,56,True,True,89,89,6
353,37,True,False,60,60,5
354,54,True,False,84,84,5
355,58,True,False,87,87,5
356,58,True,False,87,87,5
357,32,True,False,39,39,4
358,32,True,False,43,43,4
359,69,True,False,107,107,5
360,57,True,False,76,76,5
361,28,True,False,43,43,4
362,22,True,False,27,27,3
363,54,True,False,75,75,5
364,74,True,False,105,105,5
365,51,True,False,61,61,5
366,45,True,False,59,59,5
367,62,True,True,100,100,6
368,51,True,False,69,69,5
369,58,True,False,81,81,5
370,35,True,False,36,36,4
371,37,True,False,41,41,4
372,37,True,False,34,34,4
