,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,30,True,False,33,7,4
1,51,True,True,97,20,6
2,28,True,False,35,7,4
3,35,True,False,50,9,4
4,38,True,False,64,14,5
5,33,True,False,38,9,4
6,20,True,False,13,5,3
7,64,True,False,107,14,5
8,18,True,False,16,5,3
9,33,True,False,30,9,4
10,39,True,False,48,9,4
11,37,True,False,49,9,4
12,53,True,True,97,20,6
13,18,True,False,16,5,3
14,28,True,False,36,9,4
15,50,True,False,78,14,5
16,30,True,False,33,9,4
17,51,True,False,58,14,5
18,43,True,False,71,12,5
19,37,True,False,57,9,4
20,43,True,False,63,14,5
21,36,True,False,63,14,5
22,50,True,False,58,14,5
23,61,True,True,100,20,6
24,38,True,False,58,9,4
25,33,True,False,41,9,4
26,38,True,False,55,9,4
27,31,True,False,32,9,4
28,44,True,False,64,14,5
29,45,True,False,73,14,5
30,49,True,False,70,14,5
31,50,True,False,66,14,5
32,73,True,True,129,20,6
33,47,True,False,77,14,5
34,28,True,False,39,9,4
35,43,True,False,73,14,5
36,23,True,False,32,9,4
37,31,True,False,44,9,4
38,46,True,True,87,20,6
39,26,True,False,36,9,4
40,27,True,False,36,9,4
41,25,True,False,30,9,4
42,52,True,True,98,20,6
43,26,True,False,31,9,4
44,44,True,True,93,20,6
45,37,True,False,44,9,4
46,51,True,False,84,14,5
47,36,True,False,32,9,4
48,39,True,False,63,14,5
49,42,True,False,73,14,5
50,47,True,False,83,12,5
51,56,True,False,78,14,5
52,37,True,False,57,14,5
53,45,True,False,73,14,5
54,42,True,False,75,14,5
55,14,True,False,11,5,3
56,45,True,False,71,14,5
57,47,True,False,76,14,5
58,53,True,False,82,14,5
59,33,True,False,50,14,5
60,46,True,True,93,20,6
61,36,True,False,57,14,5
62,26,True,False,29,9,4
63,42,True,False,62,14,5
64,46,True,False,82,14,5
65,26,True,False,34,7,4
66,65,True,False,82,14,5
67,58,True,False,80,12,5
68,21,True,False,30,9,4
69,39,True,False,30,9,4
70,44,True,False,53,9,4
71,26,True,False,39,9,4
72,39,True,False,60,14,5
73,29,True,False,18,5,3
74,28,True,False,37,9,4
75,41,True,False,70,14,5
76,29,True,False,43,9,4
77,27,True,False,32,9,4
78,46,True,False,43,9,4
79,63,True,False,100,14,5
80,30,True,False,42,9,4
81,44,True,False,80,14,5
82,55,True,False,80,14,5
83,46,True,False,37,9,4
84,58,True,False,82,14,5
85,46,True,False,66,14,5
86,30,True,False,34,9,4
87,47,True,False,75,14,5
88,44,True,False,71,14,5
89,33,True,False,37,9,4
90,53,True,False,74,14,5
91,22,True,False,28,5,3
92,59,True,False,89,14,5
93,32,True,False,36,9,4
94,38,True,False,58,14,5
95,31,True,False,39,9,4
96,49,True,False,73,14,5
97,38,True,False,63,14,5
98,39,True,False,66,14,5
99,29,True,False,39,9,4
100,44,True,False,69,14,5
101,36,True,False,61,14,5
102,25,True,False,41,9,4
103,49,True,False,71,14,5
104,41,True,False,74,14,5
105,32,True,False,35,9,4
106,46,True,False,64,9,4
107,31,True,False,43,9,4
108,45,True,False,73,14,5
109,21,True,False,17,5,3
110,46,True,False,66,14,5
111,35,True,False,36,9,4
112,41,True,False,69,14,5
113,45,True,False,84,14,5
114,52,True,False,78,12,5
115,43,True,False,69,14,5
116,39,True,False,71,14,5
117,50,True,False,78,14,5
118,51,True,False,72,14,5
119,57,True,True,91,18,6
120,55,True,False,81,14,5
121,31,True,False,34,9,4
122,53,True,False,71,14,5
123,27,True,False,31,9,4
124,41,True,False,61,7,4
125,22,True,False,29,9,4
126,45,True,False,76,14,5
127,47,True,False,70,14,5
128,53,True,True,101,20,6
129,43,True,False,48,9,4
130,48,True,False,82,14,5
131,19,True,False,16,5,3
132,36,True,False,59,14,5
133,48,True,False,80,14,5
134,43,True,False,59,14,5
135,39,True,False,56,14,5
136,36,True,False,43,9,4
137,42,True,False,67,14,5
138,28,True,False,41,9,4
139,46,True,False,64,14,5
140,36,True,False,58,14,5
141,31,True,False,39,7,4
142,33,True,False,41,9,4
143,34,True,False,57,14,5
144,32,True,False,46,7,4
145,33,True,False,38,9,4
146,38,True,False,69,14,5
147,31,True,False,36,9,4
148,23,True,False,18,5,3
149,59,True,False,91,14,5
150,36,True,False,41,9,4
151,33,True,False,43,9,4
152,63,True,False,87,12,5
153,32,True,False,48,9,4
154,51,True,False,86,14,5
155,55,True,True,88,20,6
156,42,True,False,64,14,5
157,52,True,False,76,14,5
158,50,True,False,87,14,5
159,44,True,False,71,14,5
160,43,True,False,72,14,5
161,49,True,False,71,12,5
162,28,True,False,33,9,4
163,37,True,False,39,9,4
164,48,True,True,93,20,6
165,50,True,False,75,14,5
166,49,True,False,72,14,5
167,29,True,False,34,9,4
168,40,True,False,55,14,5
169,38,True,False,47,9,4
170,40,True,False,71,14,5
171,45,True,False,70,14,5
172,44,True,False,73,14,5
173,55,True,False,78,14,5
174,32,True,False,49,9,4
175,52,True,False,71,14,5
176,29,True,False,39,9,4
177,54,True,True,109,20,6
178,33,True,False,47,9,4
179,34,True,False,35,7,4
180,46,True,False,73,14,5
181,54,True,True,98,20,6
182,28,True,False,38,9,4
183,61,True,False,89,14,5
184,53,True,False,78,14,5
185,42,True,False,53,14,5
186,46,True,False,80,14,5
187,30,True,False,34,9,4
188,35,True,False,59,14,5
189,28,True,False,40,9,4
190,29,True,False,34,9,4
191,38,True,False,67,14,5
192,43,True,False,69,12,5
193,59,True,False,85,14,5
194,35,True,False,37,7,4
195,29,True,False,39,9,4
196,18,True,False,21,5,3
197,25,True,False,35,9,4
198,38,True,False,56,9,4
199,49,True,False,72,12,5
200,47,True,False,78,12,5
201,29,True,False,39,9,4
202,35,True,False,48,14,5
203,40,True,False,56,9,4
204,49,True,False,69,14,5
205,20,True,False,18,7,4
206,46,True,False,71,14,5
207,39,True,False,59,14,5
208,59,True,False,82,14,5
209,47,True,False,56,9,4
210,54,True,False,87,14,5
211,17,True,False,12,5,3
212,54,True,True,104,20,6
213,56,True,False,71,14,5
214,35,True,False,39,9,4
215,43,True,False,54,14,5
216,39,True,False,69,14,5
217,43,True,True,87,20,6
218,43,True,False,79,14,5
219,31,True,False,50,9,4
220,35,True,False,42,9,4
221,64,True,False,91,14,5
222,43,True,False,36,9,4
223,45,True,False,64,14,5
224,43,True,True,88,20,6
225,24,True,False,34,9,4
226,38,True,False,62,14,5
227,77,True,False,106,14,5
228,39,True,False,51,14,5
229,47,True,False,66,14,5
230,26,True,False,28,9,4
231,28,True,False,37,9,4
232,28,True,False,38,9,4
233,49,True,False,75,14,5
234,50,True,False,71,14,5
235,38,True,False,53,14,5
236,36,True,False,50,9,4
237,29,True,False,41,9,4
238,42,True,False,69,14,5
239,45,True,True,96,20,6
240,43,True,False,57,14,5
241,59,True,False,87,14,5
242,53,True,True,111,20,6
243,59,True,False,76,14,5
244,29,True,False,42,9,4
245,46,True,False,75,14,5
246,41,True,False,72,14,5
247,40,True,False,67,14,5
248,44,True,False,67,14,5
249,37,True,False,58,14,5
250,36,True,False,47,9,4
251,63,True,False,103,14,5
252,32,True,False,41,9,4
253,29,True,False,37,9,4
254,31,True,False,43,9,4
255,46,True,False,73,14,5
256,27,True,False,39,9,4
257,60,True,True,92,20,6
258,30,True,False,39,9,4
259,36,True,False,39,9,4
260,37,True,False,67,14,5
261,51,True,False,80,14,5
262,47,True,True,89,20,6
263,40,True,False,53,14,5
264,34,True,False,37,9,4
265,21,True,False,23,9,4
266,39,True,False,71,14,5
267,59,True,False,84,14,5
268,28,True,False,41,9,4
269,49,True,False,71,14,5
270,41,True,False,76,12,5
271,47,True,False,76,14,5
272,49,True,False,77,14,5
273,41,True,False,60,14,5
274,33,True,False,39,9,4
275,35,True,False,54,14,5
276,42,True,False,67,14,5
277,50,True,False,71,12,5
278,17,True,False,16,5,3
279,31,True,False,34,9,4
280,70,True,True,94,20,6
281,33,True,False,50,9,4
282,30,True,False,41,9,4
283,58,True,True,98,20,6
284,30,True,False,34,9,4
285,60,True,False,98,14,5
286,40,True,False,46,9,4
287,27,True,False,32,9,4
288,31,True,False,40,9,4
