,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,30,True,False,33,10,4
1,51,True,True,97,25,6
2,28,True,False,35,10,4
3,35,True,False,50,10,4
4,38,True,False,64,22,5
5,33,True,False,38,7,4
6,20,True,False,13,3,3
7,64,True,False,107,23,5
8,18,True,False,16,3,3
9,33,True,False,30,7,4
10,39,True,False,48,10,4
11,37,True,False,49,10,4
12,53,True,True,97,28,6
13,18,True,False,16,3,3
14,28,True,False,36,7,4
15,50,True,False,78,19,5
16,30,True,False,33,10,4
17,51,True,False,58,12,5
18,43,True,False,71,15,5
19,37,True,False,57,7,4
20,43,True,False,63,12,5
21,36,True,False,63,22,5
22,50,True,False,58,12,5
23,61,True,True,100,25,6
24,38,True,False,58,13,4
25,33,True,False,41,10,4
26,38,True,False,55,10,4
27,31,True,False,32,10,4
28,44,True,False,64,19,5
29,45,True,False,73,22,5
30,49,True,False,70,21,5
31,50,True,False,66,15,5
32,73,True,True,129,35,6
33,47,True,False,77,21,5
34,28,True,False,39,7,4
35,43,True,False,73,19,5
36,23,True,False,32,10,4
37,31,True,False,44,10,4
38,46,True,True,87,24,6
39,26,True,False,36,10,4
40,27,True,False,36,7,4
41,25,True,False,30,10,4
42,52,True,True,98,21,6
43,26,True,False,31,7,4
44,44,True,True,93,25,6
45,37,True,False,44,7,4
46,51,True,False,84,16,5
47,36,True,False,32,7,4
48,39,True,False,63,16,5
49,42,True,False,73,16,5
50,47,True,False,83,19,5
51,56,True,False,78,19,5
52,37,True,False,57,19,5
53,45,True,False,73,12,5
54,42,True,False,75,18,5
55,14,True,False,11,3,3
56,45,True,False,71,19,5
57,47,True,False,76,12,5
58,53,True,False,82,22,5
59,33,True,False,50,15,5
60,46,True,True,93,28,6
61,36,True,False,57,15,5
62,26,True,False,29,10,4
63,42,True,False,62,18,5
64,46,True,False,82,22,5
65,26,True,False,34,10,4
66,65,True,False,82,16,5
67,58,True,False,80,19,5
68,21,True,False,30,7,4
69,39,True,False,30,7,4
70,44,True,False,53,10,4
71,26,True,False,39,7,4
72,39,True,False,60,18,5
73,29,True,False,18,3,3
74,28,True,False,37,10,4
75,41,True,False,70,19,5
76,29,True,False,43,10,4
77,27,True,False,32,7,4
78,46,True,False,43,7,4
79,63,True,False,100,15,5
80,30,True,False,42,10,4
81,44,True,False,80,25,5
82,55,True,False,80,16,5
83,46,True,False,37,7,4
84,58,True,False,82,19,5
85,46,True,False,66,18,5
86,30,True,False,34,10,4
87,47,True,False,75,19,5
88,44,True,False,71,19,5
89,33,True,False,37,7,4
90,53,True,False,74,19,5
91,22,True,False,28,3,3
92,59,True,False,89,25,5
93,32,True,False,36,7,4
94,38,True,False,58,15,5
95,31,True,False,39,10,4
96,49,True,False,73,25,5
97,38,True,False,63,22,5
98,39,True,False,66,22,5
99,29,True,False,39,10,4
100,44,True,False,69,15,5
101,36,True,False,61,16,5
102,25,True,False,41,10,4
103,49,True,False,71,16,5
104,41,True,False,74,19,5
105,32,True,False,35,7,4
