,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,30,True,False,33,33,4
1,51,True,True,97,97,6
2,28,True,False,35,35,4
3,35,True,False,50,50,4
4,38,True,False,64,64,5
5,33,True,False,38,38,4
6,20,True,False,13,13,3
7,64,True,False,107,107,5
8,18,True,False,16,16,3
9,33,True,False,30,30,4
10,39,True,False,48,48,4
11,37,True,False,49,49,4
12,53,True,True,97,97,6
13,18,True,False,16,16,3
14,28,True,False,36,36,4
15,50,True,False,78,78,5
16,30,True,False,33,33,4
17,51,True,False,58,58,5
18,43,True,False,71,71,5
19,37,True,False,57,57,4
20,43,True,False,63,63,5
21,36,True,False,63,63,5
22,50,True,False,58,58,5
23,61,True,True,100,100,6
24,38,True,False,58,58,4
25,33,True,False,41,41,4
26,38,True,False,55,55,4
27,31,True,False,32,32,4
28,44,True,False,64,64,5
29,45,True,False,73,73,5
30,49,True,False,70,70,5
31,50,True,False,66,66,5
32,73,True,True,129,129,6
33,47,True,False,77,77,5
34,28,True,False,39,39,4
35,43,True,False,73,73,5
36,23,True,False,32,32,4
37,31,True,False,44,44,4
38,46,True,True,87,87,6
39,26,True,False,36,36,4
40,27,True,False,36,36,4
41,25,True,False,30,30,4
42,52,True,True,98,98,6
43,26,True,False,31,31,4
44,44,True,True,93,93,6
45,37,True,False,44,44,4
46,51,True,False,84,84,5
47,36,True,False,32,32,4
48,39,True,False,63,63,5
49,42,True,False,73,73,5
50,47,True,False,83,83,5
51,56,True,False,78,78,5
52,37,True,False,57,57,5
53,45,True,False,73,73,5
54,42,True,False,75,75,5
55,14,True,False,11,11,3
56,45,True,False,71,71,5
57,47,True,False,76,76,5
58,53,True,False,82,82,5
59,33,True,False,50,50,5
60,46,True,True,93,93,6
61,36,True,False,57,57,5
62,26,True,False,29,29,4
63,42,True,False,62,62,5
64,46,True,False,82,82,5
65,26,True,False,34,34,4
66,65,True,False,82,82,5
67,58,True,False,80,80,5
68,21,True,False,30,30,4
69,39,True,False,30,30,4
70,44,True,False,53,53,4
71,26,True,False,39,39,4
72,39,True,False,60,60,5
73,29,True,False,18,18,3
74,28,True,False,37,37,4
75,41,True,False,70,70,5
76,29,True,False,43,43,4
77,27,True,False,32,32,4
78,46,True,False,43,43,4
79,63,True,False,100,100,5
80,30,True,False,42,42,4
81,44,True,False,80,80,5
82,55,True,False,80,80,5
