,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,53,True,False,60,12,5
1,27,True,False,32,9,4
2,20,True,False,25,9,4
3,25,True,False,34,9,4
4,56,True,False,60,9,4
5,45,True,False,67,14,5
6,42,True,False,49,9,4
7,42,True,False,73,14,5
8,39,True,False,57,14,5
9,31,True,False,43,9,4
10,46,True,False,73,14,5
11,37,True,False,53,14,5
12,49,True,True,95,18,6
13,31,True,False,41,9,4
14,43,True,False,77,14,5
15,45,True,False,71,14,5
16,32,True,False,41,9,4
17,41,True,True,88,20,6
18,40,True,False,50,9,4
19,49,True,False,68,14,5
20,40,True,False,58,14,5
21,30,True,False,39,9,4
22,65,True,True,93,20,6
23,25,True,False,29,9,4
24,40,True,False,62,14,5
25,30,True,False,41,9,4
26,48,True,False,75,14,5
27,40,True,False,64,14,5
28,45,True,False,69,14,5
29,24,True,False,34,9,4
30,29,True,False,34,9,4
31,43,True,False,77,14,5
32,23,True,False,13,5,3
33,48,True,False,64,14,5
34,39,True,False,57,14,5
35,38,True,False,66,14,5
36,30,True,False,39,9,4
37,60,True,False,87,14,5
38,41,True,False,39,9,4
39,31,True,False,25,5,3
40,32,True,False,35,9,4
41,60,True,False,89,14,5
42,28,True,False,36,9,4
43,59,True,False,75,14,5
44,49,True,False,71,14,5
45,58,True,False,60,14,5
46,52,True,False,85,14,5
47,31,True,False,55,14,5
48,31,True,False,48,9,4
49,38,True,False,48,9,4
50,45,True,False,71,14,5
51,26,True,False,36,9,4
52,32,True,False,34,9,4
53,28,True,False,43,9,4
54,44,True,False,66,14,5
55,40,True,False,71,12,5
56,34,True,False,48,14,5
57,52,True,False,75,14,5
58,36,True,False,47,9,4
59,51,True,False,89,14,5
60,33,True,False,47,9,4
61,52,True,False,85,14,5
62,38,True,False,63,14,5
63,32,True,False,52,14,5
64,19,True,False,18,9,4
65,49,True,False,70,14,5
66,25,True,False,36,9,4
67,63,True,False,79,14,5
68,42,True,False,71,14,5
69,48,True,False,71,14,5
70,47,True,True,86,18,6
71,27,True,False,32,7,4
72,26,True,False,44,7,4
73,41,True,False,73,14,5
74,41,True,False,58,12,5
75,45,True,False,60,7,4
76,24,True,False,32,9,4
77,45,True,False,66,14,5
78,46,True,False,80,12,5
79,29,True,False,37,9,4
80,40,True,False,67,14,5
81,55,True,False,80,14,5
82,27,True,False,32,7,4
83,51,True,True,89,20,6
84,42,True,False,73,14,5
85,47,True,False,73,14,5
86,52,True,False,74,14,5
87,42,True,False,48,9,4
88,35,True,False,43,9,4
89,29,True,False,19,5,3
90,61,True,True,128,20,6
91,49,True,False,69,14,5
92,36,True,False,48,9,4
93,46,True,False,88,14,5
94,51,True,False,64,14,5
95,41,True,False,58,14,5
96,51,True,False,85,14,5
97,57,True,False,86,14,5
98,44,True,False,66,14,5
99,43,True,False,57,12,5
100,27,True,False,26,9,4
101,37,True,False,46,9,4
102,32,True,False,39,7,4
103,54,True,False,73,14,5
104,45,True,False,71,14,5
105,73,True,False,89,14,5
106,42,True,False,61,14,5
107,18,True,False,18,5,3
108,26,True,False,26,5,3
109,29,True,False,41,9,4
110,57,True,True,102,20,6
111,59,True,False,83,14,5
112,48,True,False,73,14,5
113,62,True,False,76,14,5
114,42,True,False,62,14,5
115,57,True,True,111,20,6
116,46,True,False,71,14,5
117,42,True,False,73,14,5
118,34,True,False,51,14,5
119,44,True,False,65,14,5
120,54,True,False,76,14,5
121,47,True,False,82,14,5
122,60,True,False,87,14,5
123,30,True,False,28,9,4
124,50,True,False,75,14,5
125,44,True,False,65,14,5
126,36,True,False,55,14,5
127,45,True,False,57,14,5
128,23,True,False,27,5,3
129,44,True,False,79,14,5
130,28,True,False,36,9,4
131,31,True,False,50,9,4
132,44,True,False,70,14,5
133,37,True,False,58,14,5
134,76,True,True,98,20,6
135,39,True,False,50,9,4
136,35,True,False,28,5,3
137,30,True,False,48,9,4
138,46,True,False,69,14,5
139,36,True,False,60,14,5
140,66,True,False,86,14,5
141,31,True,False,32,9,4
142,24,True,False,34,9,4
143,44,True,True,89,18,6
144,41,True,False,62,14,5
145,42,True,False,69,12,5
146,64,True,False,84,14,5
147,39,True,False,69,14,5
148,66,True,False,73,14,5
149,32,True,False,48,7,4
150,48,True,False,71,14,5
151,24,True,False,25,5,3
152,23,True,False,30,9,4
153,47,True,True,109,20,6
154,41,True,False,73,14,5
155,54,True,False,78,12,5
156,49,True,False,45,9,4
157,31,True,False,34,9,4
158,51,True,False,70,14,5
159,54,True,False,84,14,5
160,28,True,False,41,9,4
161,54,True,False,66,14,5
162,23,True,False,29,9,4
163,31,True,False,36,9,4
164,46,True,False,66,14,5
165,29,True,False,35,9,4
166,54,True,False,71,14,5
167,30,True,False,48,9,4
168,46,True,False,80,14,5
169,26,True,False,36,9,4
170,40,True,False,47,9,4
171,57,True,False,95,14,5
172,35,True,False,42,9,4
173,50,True,False,69,14,5
174,52,True,False,71,14,5
175,51,True,False,89,14,5
176,30,True,False,36,9,4
177,40,True,False,42,9,4
178,41,True,False,61,14,5
179,53,True,False,73,14,5
180,27,True,False,34,9,4
181,23,True,False,20,5,3
182,29,True,False,42,9,4
183,42,True,False,76,14,5
184,46,True,False,80,14,5
185,48,True,False,68,14,5
186,47,True,False,74,14,5
187,48,True,False,69,14,5
188,42,True,False,55,14,5
189,38,True,False,43,9,4
190,70,True,False,64,14,5
191,38,True,False,37,9,4
192,53,True,False,82,14,5
193,41,True,False,59,9,4
194,61,True,False,75,14,5
195,57,True,True,102,20,6
196,50,True,False,60,12,5
197,44,True,False,67,14,5
198,68,True,True,102,20,6
199,62,True,False,74,14,5
200,44,True,False,62,14,5
201,53,True,True,95,20,6
202,35,True,False,49,14,5
203,47,True,False,69,14,5
204,37,True,False,64,14,5
205,46,True,False,64,14,5
206,48,True,False,68,14,5
207,49,True,False,76,14,5
208,28,True,False,35,9,4
209,63,True,False,94,14,5
210,54,True,False,74,14,5
211,31,True,False,39,9,4
212,35,True,False,58,14,5
213,56,True,False,76,14,5
214,31,True,False,51,14,5
215,47,True,True,85,20,6
216,45,True,False,64,14,5
217,41,True,False,65,14,5
218,58,True,False,77,14,5
219,48,True,False,79,14,5
220,56,True,False,81,14,5
221,42,True,False,71,14,5
222,31,True,False,40,9,4
223,52,True,False,84,14,5
224,45,True,False,68,14,5
225,31,True,False,51,9,4
226,37,True,False,50,9,4
227,47,True,True,91,20,6
228,42,True,False,57,9,4
229,32,True,False,47,9,4
230,59,True,False,80,14,5
231,45,True,False,64,14,5
232,27,True,False,34,9,4
233,53,True,False,84,14,5
234,43,True,False,57,14,5
235,35,True,False,62,14,5
236,28,True,False,35,9,4
237,44,True,False,69,14,5
238,65,True,False,94,14,5
239,36,True,False,56,14,5
240,57,True,False,96,14,5
241,42,True,False,45,9,4
242,57,True,False,73,14,5
243,42,True,False,55,12,5
244,42,True,True,87,20,6
245,44,True,False,75,14,5
246,34,True,False,43,9,4
247,36,True,False,37,9,4
248,53,True,False,78,14,5
249,56,True,False,86,14,5
250,53,True,False,80,14,5
251,52,True,False,81,14,5
252,50,True,False,85,14,5
253,56,True,True,91,20,6
254,28,True,False,32,9,4
255,41,True,False,67,14,5
256,21,True,False,18,5,3
257,37,True,False,34,9,4
258,44,True,False,64,12,5
259,56,True,False,78,14,5
260,45,True,False,65,12,5
261,50,True,False,73,14,5
262,66,True,False,82,14,5
263,51,True,False,60,14,5
264,28,True,False,47,9,4
265,28,True,False,34,9,4
266,46,True,False,68,14,5
267,37,True,False,52,9,4
268,44,True,False,66,14,5
269,39,True,False,45,9,4
270,56,True,False,99,14,5
271,51,True,False,87,14,5
272,23,True,False,18,5,3
273,43,True,True,91,20,6
274,70,True,False,88,14,5
275,28,True,False,41,9,4
276,40,True,False,67,12,5
277,30,True,False,32,9,4
278,40,True,False,56,14,5
279,42,True,False,43,9,4
280,22,True,False,19,5,3
281,45,True,False,67,14,5
282,58,True,False,71,14,5
283,53,True,False,64,12,5
284,35,True,False,48,9,4
285,41,True,False,62,14,5
286,41,True,False,70,12,5
287,50,True,False,77,14,5
288,61,True,True,93,20,6
289,32,True,False,58,14,5
290,58,True,False,82,12,5
291,49,True,False,47,9,4
292,49,True,False,73,14,5
293,58,True,False,81,14,5
294,63,True,False,80,14,5
295,39,True,False,58,14,5
296,38,True,False,36,9,4
297,43,True,False,57,14,5
298,36,True,False,47,7,4
299,40,True,False,44,9,4
300,43,True,False,73,14,5
301,46,True,False,60,14,5
302,60,True,True,102,18,6
303,48,True,False,75,14,5
304,24,True,False,29,9,4
305,62,True,False,91,14,5
306,32,True,False,48,14,5
307,32,True,False,48,9,4
308,26,True,False,29,9,4
309,20,True,False,19,5,3
310,50,True,False,85,14,5
311,42,True,False,55,14,5
312,24,True,False,26,9,4
313,54,True,False,82,14,5
314,57,True,False,76,14,5
315,72,True,True,108,20,6
316,30,True,False,36,9,4
317,79,True,False,73,14,5
318,63,True,True,95,20,6
319,29,True,False,42,9,4
320,58,True,False,91,14,5
321,34,True,False,58,14,5
322,32,True,False,27,9,4
323,31,True,False,30,9,4
324,39,True,False,64,14,5
325,53,True,True,89,20,6
326,42,True,False,69,14,5
327,46,True,False,69,14,5
328,47,True,True,88,20,6
329,56,True,False,76,14,5
330,30,True,False,36,9,4
331,52,True,True,100,20,6
332,48,True,False,80,14,5
333,49,True,True,85,20,6
334,27,True,False,34,9,4
335,25,True,False,31,9,4
336,29,True,False,34,7,4
337,46,True,False,73,14,5
338,45,True,True,98,20,6
339,48,True,False,77,14,5
340,29,True,False,43,9,4
341,32,True,False,39,9,4
342,44,True,False,71,14,5
343,51,True,True,90,20,6
344,42,True,False,65,14,5
345,17,True,False,8,2,2
346,25,True,False,36,9,4
347,40,True,False,56,14,5
348,46,True,False,73,14,5
349,55,True,False,66,14,5
350,49,True,False,69,14,5
351,51,True,True,101,20,6
352,39,True,False,67,14,5
