,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,53,True,False,60,15,5
1,27,True,False,32,10,4
2,20,True,False,25,7,4
3,25,True,False,34,10,4
4,56,True,False,60,7,4
5,45,True,False,67,18,5
6,42,True,False,49,13,4
7,42,True,False,73,22,5
8,39,True,False,57,18,5
9,31,True,False,43,10,4
10,46,True,False,73,16,5
11,37,True,False,53,12,5
12,49,True,True,95,31,6
13,31,True,False,41,7,4
14,43,True,False,77,19,5
15,45,True,False,71,25,5
16,32,True,False,41,10,4
17,41,True,True,88,24,6
18,40,True,False,50,10,4
19,49,True,False,68,19,5
20,40,True,False,58,15,5
21,30,True,False,39,10,4
22,65,True,True,93,21,6
23,25,True,False,29,7,4
24,40,True,False,62,19,5
25,30,True,False,41,7,4
26,48,True,False,75,16,5
27,40,True,False,64,15,5
28,45,True,False,69,12,5
29,24,True,False,34,10,4
30,29,True,False,34,7,4
31,43,True,False,77,16,5
32,23,True,False,13,3,3
33,48,True,False,64,15,5
34,39,True,False,57,12,5
35,38,True,False,66,19,5
36,30,True,False,39,10,4
37,60,True,False,87,16,5
38,41,True,False,39,7,4
39,31,True,False,25,3,3
40,32,True,False,35,10,4
41,60,True,False,89,19,5
42,28,True,False,36,10,4
43,59,True,False,75,18,5
44,49,True,False,71,19,5
45,58,True,False,60,12,5
46,52,True,False,85,22,5
47,31,True,False,55,15,5
48,31,True,False,48,10,4
49,38,True,False,48,7,4
50,45,True,False,71,19,5
51,26,True,False,36,10,4
52,32,True,False,34,10,4
53,28,True,False,43,10,4
54,44,True,False,66,19,5
55,40,True,False,71,19,5
56,34,True,False,48,15,5
57,52,True,False,75,19,5
58,36,True,False,47,7,4
59,51,True,False,89,19,5
60,33,True,False,47,10,4
61,52,True,False,85,16,5
62,38,True,False,63,12,5
63,32,True,False,52,18,5
64,19,True,False,18,7,4
65,49,True,False,70,22,5
66,25,True,False,36,10,4
67,63,True,False,79,19,5
68,42,True,False,71,19,5
69,48,True,False,71,21,5
70,47,True,True,86,21,6
71,27,True,False,32,10,4
72,26,True,False,44,10,4
73,41,True,False,73,15,5
74,41,True,False,58,15,5
75,45,True,False,60,10,4
76,24,True,False,32,7,4
77,45,True,False,66,16,5
78,46,True,False,80,19,5
79,29,True,False,37,7,4
80,40,True,False,67,16,5
81,55,True,False,80,22,5
82,27,True,False,32,7,4
83,51,True,True,89,28,6
84,42,True,False,73,21,5
85,47,True,False,73,19,5
86,52,True,False,74,19,5
87,42,True,False,48,10,4
88,35,True,False,43,7,4
89,29,True,False,19,3,3
90,61,True,True,128,29,6
91,49,True,False,69,15,5
92,36,True,False,48,13,4
93,46,True,False,88,25,5
94,51,True,False,64,19,5
95,41,True,False,58,12,5
96,51,True,False,85,28,5
97,57,True,False,86,16,5
98,44,True,False,66,21,5
99,43,True,False,57,19,5
100,27,True,False,26,10,4
101,37,True,False,46,10,4
102,32,True,False,39,10,4
103,54,True,False,73,16,5
104,42,True,False,70,19,5
105,45,True,False,39,10,4
106,46,True,False,79,21,5
107,44,True,False,62,12,5
108,21,True,False,28,7,4
109,45,True,False,73,22,5
110,42,True,False,68,19,5
111,28,True,False,30,7,4
112,78,True,False,89,22,5
113,23,True,False,27,7,4
114,38,True,False,50,15,5
115,21,True,False,27,7,4
116,39,True,False,69,19,5
117,40,True,False,64,15,5
118,30,True,False,50,10,4
119,29,True,False,36,7,4
120,54,True,True,98,21,6
121,36,True,False,39,10,4
122,58,True,False,72,15,5
123,36,True,False,47,7,4
124,33,True,False,50,7,4
125,18,True,False,13,3,3
126,50,True,False,82,18,5
127,35,True,False,57,12,5
128,57,True,True,91,31,6
129,48,True,True,87,25,6
130,35,True,False,37,10,4
131,48,True,False,73,22,5
132,29,True,False,39,10,4
133,44,True,False,64,12,5
134,44,True,False,66,19,5
135,43,True,False,67,25,5
136,28,True,False,35,7,4
137,63,True,False,57,15,5
138,44,True,False,60,19,5
139,55,True,False,67,15,5
140,26,True,False,34,7,4
141,34,True,False,62,19,5
142,47,True,False,73,19,5
143,43,True,True,98,22,6
144,52,True,True,94,22,6
145,52,True,False,85,25,5
146,49,True,False,68,16,5
147,40,True,False,41,7,4
148,45,True,False,80,21,5
149,49,True,False,54,10,4
150,36,True,False,50,10,4
151,38,True,False,66,19,5
152,49,True,False,71,19,5
153,67,True,True,98,22,6
154,22,True,False,27,10,4
155,45,True,False,73,22,5
156,39,True,False,55,18,5
157,30,True,False,32,10,4
158,62,True,True,111,33,6
159,41,True,False,64,12,5
160,46,True,False,64,15,5
161,37,True,False,41,10,4
162,53,True,True,99,28,6
163,51,True,False,75,15,5
164,42,True,False,57,15,5
165,41,True,False,50,10,4
166,51,True,False,73,12,5
167,45,True,False,73,18,5
168,30,True,False,39,7,4
169,59,True,False,106,29,5
170,38,True,False,54,10,4
171,51,True,False,73,16,5
172,42,True,False,59,12,5
173,48,True,False,64,15,5
174,26,True,False,39,10,4
175,34,True,False,37,10,4
176,36,True,False,58,15,5
177,42,True,False,71,19,5
178,39,True,False,58,15,5
179,41,True,False,68,22,5
180,53,True,True,93,28,6
181,43,True,False,75,16,5
182,41,True,False,62,15,5
183,45,True,False,71,21,5
184,42,True,False,73,19,5
185,48,True,True,102,28,6
186,55,True,False,70,22,5
187,23,True,False,20,3,3
188,56,True,True,91,25,6
189,38,True,False,46,10,4
190,62,True,False,83,19,5
191,43,True,False,67,19,5
192,50,True,False,82,22,5
193,27,True,False,42,10,4
194,25,True,False,34,10,4
195,47,True,False,71,15,5
196,44,True,True,84,31,6
197,71,True,False,78,22,5
198,49,True,False,69,16,5
199,17,True,False,18,3,3
200,58,True,False,87,21,5
201,54,True,False,62,19,5
202,27,True,False,45,13,4
203,41,True,False,71,22,5
204,39,True,False,58,12,5
205,31,True,False,45,10,4
206,40,True,False,73,16,5
207,22,True,False,24,7,4
208,52,True,True,91,24,6
209,46,True,True,95,22,6
210,37,True,False,57,15,5
211,41,True,False,59,15,5
212,56,True,False,80,22,5
213,52,True,False,65,19,5
214,49,True,False,67,16,5
215,19,True,False,21,3,3
216,32,True,False,33,7,4
217,38,True,False,52,10,4
218,20,True,False,22,7,4
219,18,True,False,18,3,3
220,35,True,False,59,12,5
221,54,True,True,94,28,6
222,39,True,False,65,12,5
223,19,True,False,11,3,3
224,37,True,False,55,12,5
225,25,True,False,29,10,4
226,38,True,False,50,15,5
227,43,True,False,40,7,4
228,27,True,False,35,10,4
229,52,True,False,71,15,5
230,29,True,False,39,10,4
231,62,True,False,74,19,5
232,38,True,False,60,15,5
233,56,True,False,78,19,5
234,62,True,False,87,18,5
235,22,True,False,18,3,3
236,59,True,False,76,16,5
237,46,True,False,66,22,5
238,44,True,False,80,21,5
239,31,True,False,36,7,4
240,37,True,False,57,18,5
241,44,True,False,60,15,5
242,26,True,False,38,7,4
243,20,True,False,21,3,3
244,41,True,False,73,22,5
245,36,True,False,55,16,5
246,47,True,False,64,15,5
247,33,True,False,38,7,4
248,36,True,False,62,22,5
249,40,True,False,67,22,5
250,50,True,False,82,16,5
251,53,True,False,75,22,5
252,73,True,False,131,29,5
253,56,True,True,87,28,6
254,42,True,False,68,18,5
255,57,True,False,78,16,5
256,18,True,False,11,3,3
257,46,True,False,63,18,5
258,35,True,False,39,7,4
259,47,True,False,66,22,5
260,45,True,False,78,25,5
261,52,True,False,78,19,5
262,49,True,False,83,16,5
263,47,True,False,73,22,5
264,43,True,False,44,10,4
265,62,True,True,103,26,6
266,42,True,False,45,7,4
267,76,True,False,102,21,5
268,39,True,False,57,22,5
269,29,True,False,36,10,4
270,41,True,False,66,19,5
271,31,True,False,39,10,4
272,39,True,False,50,7,4
273,58,True,True,96,25,6
274,37,True,False,53,12,5
275,45,True,False,88,22,5
276,49,True,False,84,22,5
277,51,True,False,92,16,5
278,45,True,False,65,22,5
279,31,True,False,53,15,5
280,37,True,False,48,10,4
281,46,True,False,69,19,5
282,36,True,False,39,7,4
283,54,True,False,70,22,5
284,46,True,False,69,19,5
285,24,True,False,27,10,4
286,36,True,False,48,15,5
287,39,True,False,64,15,5
288,53,True,False,65,16,5
289,31,True,False,44,7,4
290,33,True,False,58,16,5
291,54,True,False,74,19,5
292,39,True,False,56,19,5
293,38,True,False,57,15,5
294,47,True,False,79,19,5
295,22,True,False,29,10,4
296,54,True,False,84,28,5
297,64,True,False,76,21,5
298,59,True,False,76,16,5
299,37,True,False,52,13,4
300,41,True,False,42,10,4
301,44,True,True,89,24,6
302,55,True,False,70,21,5
303,29,True,False,19,3,3
304,29,True,False,44,10,4
305,62,True,True,86,22,6
306,36,True,False,53,18,5
307,45,True,False,77,19,5
308,45,True,False,69,15,5
309,40,True,False,55,18,5
310,44,True,False,73,18,5
311,58,True,False,70,16,5
312,57,True,False,87,21,5
313,47,True,False,87,19,5
314,27,True,False,36,7,4
315,49,True,False,81,22,5
316,61,True,False,89,19,5
317,28,True,False,34,10,4
318,38,True,False,36,10,4
319,57,True,False,73,16,5
320,47,True,True,97,31,6
321,39,True,False,51,12,5
322,42,True,False,73,22,5
323,58,True,True,93,31,6
324,46,True,False,80,25,5
325,42,True,False,71,18,5
326,41,True,False,73,25,5
327,38,True,False,46,10,4
328,57,True,True,102,21,6
329,35,True,False,60,18,5
330,45,True,False,73,19,5
331,52,True,True,92,25,6
332,41,True,False,50,7,4
333,43,True,False,62,15,5
334,37,True,False,62,15,5
335,43,True,False,65,22,5
336,42,True,False,67,22,5
337,33,True,False,43,7,4
338,43,True,False,66,7,4
339,57,True,True,106,28,6
340,46,True,False,84,25,5
341,49,True,False,68,15,5
342,61,True,False,87,22,5
343,78,True,True,125,29,6
344,62,True,False,81,19,5
