,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,53,True,False,60,60,5
1,27,True,False,32,32,4
2,20,True,False,25,25,4
3,25,True,False,34,34,4
4,56,True,False,60,60,4
5,45,True,False,67,67,5
6,42,True,False,49,49,4
7,42,True,False,73,73,5
8,39,True,False,57,57,5
9,31,True,False,43,43,4
10,46,True,False,73,73,5
11,37,True,False,53,53,5
12,49,True,True,95,95,6
13,31,True,False,41,41,4
14,43,True,False,77,77,5
15,45,True,False,71,71,5
16,32,True,False,41,41,4
17,41,True,True,88,88,6
18,40,True,False,50,50,4
19,49,True,False,68,68,5
20,40,True,False,58,58,5
21,30,True,False,39,39,4
22,65,True,True,93,93,6
23,25,True,False,29,29,4
24,40,True,False,62,62,5
25,30,True,False,41,41,4
26,48,True,False,75,75,5
27,40,True,False,64,64,5
28,45,True,False,69,69,5
29,24,True,False,34,34,4
30,29,True,False,34,34,4
31,43,True,False,77,77,5
32,23,True,False,13,13,3
33,48,True,False,64,64,5
34,39,True,False,57,57,5
35,38,True,False,66,66,5
36,30,True,False,39,39,4
37,60,True,False,87,87,5
38,41,True,False,39,39,4
39,31,True,False,25,25,3
40,32,True,False,35,35,4
41,60,True,False,89,89,5
42,28,True,False,36,36,4
43,59,True,False,75,75,5
44,49,True,False,71,71,5
45,58,True,False,60,60,5
46,52,True,False,85,85,5
47,31,True,False,55,55,5
48,31,True,False,48,48,4
49,38,True,False,48,48,4
50,45,True,False,71,71,5
51,26,True,False,36,36,4
52,32,True,False,34,34,4
53,28,True,False,43,43,4
54,44,True,False,66,66,5
55,40,True,False,71,71,5
56,34,True,False,48,48,5
57,52,True,False,75,75,5
58,36,True,False,47,47,4
59,51,True,False,89,89,5
60,33,True,False,47,47,4
61,52,True,False,85,85,5
62,38,True,False,63,63,5
63,32,True,False,52,52,5
64,19,True,False,18,18,4
65,49,True,False,70,70,5
66,25,True,False,36,36,4
67,63,True,False,79,79,5
68,42,True,False,71,71,5
69,48,True,False,71,71,5
70,47,True,True,86,86,6
71,27,True,False,32,32,4
72,26,True,False,44,44,4
73,41,True,False,73,73,5
74,41,True,False,58,58,5
75,45,True,False,60,60,4
76,24,True,False,32,32,4
77,45,True,False,66,66,5
78,46,True,False,80,80,5
79,29,True,False,37,37,4
80,40,True,False,67,67,5
81,55,True,False,80,80,5
82,27,True,False,32,32,4
83,51,True,True,89,89,6
84,42,True,False,73,73,5
85,47,True,False,73,73,5
86,52,True,False,74,74,5
87,42,True,False,48,48,4
88,35,True,False,43,43,4
89,29,True,False,19,19,3
90,61,True,True,128,128,6
91,49,True,False,69,69,5
92,36,True,False,48,48,4
93,46,True,False,88,88,5
94,51,True,False,64,64,5
95,41,True,False,58,58,5
96,51,True,False,85,85,5
97,57,True,False,86,86,5
98,44,True,False,66,66,5
99,43,True,False,57,57,5
100,27,True,False,26,26,4
101,37,True,False,46,46,4
102,32,True,False,39,39,4
103,54,True,False,73,73,5
104,45,True,False,71,71,5
105,42,True,False,39,39,4
106,43,True,False,79,79,5
107,31,True,False,37,37,4
108,72,True,False,103,103,5
109,42,True,False,71,71,5
110,32,True,False,46,46,4
111,59,True,False,73,73,5
112,35,True,False,44,44,4
113,40,True,False,62,62,5
114,26,True,False,30,30,4
115,25,True,False,32,32,4
116,32,True,False,44,44,4
117,60,True,False,89,89,5
118,60,True,False,89,89,5
119,29,True,False,43,43,4
120,57,True,False,71,71,5
121,50,True,False,87,87,5
122,46,True,False,62,62,5
123,34,True,False,39,39,4
124,45,True,False,71,71,5
125,32,True,False,43,43,4
126,44,True,False,47,47,4
127,25,True,False,19,19,3
128,20,True,False,23,23,4
129,31,True,False,44,44,4
130,39,True,False,34,34,4
131,25,True,False,29,29,4
132,39,True,False,38,38,4
133,28,True,False,44,44,4
134,20,True,False,25,25,3
135,29,True,False,40,40,4
136,34,True,False,59,59,4
137,46,True,False,78,78,5
138,55,True,True,91,91,6
139,21,True,False,30,30,4
140,45,True,False,62,62,5
141,43,True,False,74,74,5
142,45,True,True,98,98,6
143,43,True,False,66,66,5
144,38,True,False,57,57,4
145,38,True,False,44,44,4
146,34,True,False,43,43,4
147,43,True,False,70,70,5
148,39,True,False,41,41,4
149,28,True,False,38,38,4
150,55,True,True,98,98,6
151,41,True,False,60,60,5
152,43,True,False,67,67,5
153,34,True,False,36,36,4
154,66,True,False,80,80,5
155,24,True,False,20,20,3
156,33,True,False,37,37,4
157,40,True,False,71,71,5
158,36,True,False,55,55,4
159,39,True,True,87,87,6
160,32,True,False,42,42,4
161,32,True,False,31,31,4
162,52,True,False,62,62,5
163,29,True,False,43,43,4
164,35,True,False,42,42,4
165,49,True,False,75,75,5
166,20,True,False,19,19,3
167,58,True,False,80,80,5
168,33,True,False,37,37,4
169,53,True,False,85,85,5
170,33,True,False,39,39,4
171,54,True,False,57,57,5
172,52,True,False,80,80,5
173,44,True,False,71,71,5
174,33,True,False,25,25,3
175,48,True,True,97,97,6
176,49,True,False,76,76,5
177,33,True,False,51,51,5
178,42,True,False,55,55,5
179,53,True,False,82,82,5
180,35,True,False,55,55,4
181,46,True,False,64,64,5
182,53,True,True,89,89,6
183,36,True,False,46,46,4
184,47,True,False,71,71,5
185,77,True,False,100,100,5
186,38,True,False,29,29,4
187,48,True,True,91,91,6
188,28,True,False,35,35,4
189,20,True,False,13,13,3
190,29,True,False,39,39,4
191,52,True,False,60,60,5
192,37,True,False,48,48,5
193,34,True,False,37,37,4
194,42,True,False,64,64,5
195,21,True,False,11,11,3
196,51,True,False,62,62,5
197,32,True,False,34,34,4
198,28,True,False,38,38,4
199,28,True,False,39,39,4
200,24,True,False,34,34,4
201,27,True,False,37,37,4
202,76,True,False,110,110,5
203,58,True,False,75,75,5
204,48,True,False,78,78,5
205,50,True,False,75,75,5
206,57,True,False,104,104,5
207,48,True,False,73,73,5
208,48,True,False,69,69,5
209,43,True,False,71,71,5
210,60,True,True,97,97,6
211,54,True,True,91,91,6
212,46,True,False,47,47,4
213,28,True,False,43,43,4
214,54,True,False,75,75,5
215,35,True,False,62,62,5
216,45,True,False,66,66,5
217,22,True,False,20,20,3
218,45,True,False,57,57,5
219,35,True,False,49,49,5
220,37,True,False,62,62,5
221,51,True,False,86,86,5
222,55,True,False,101,101,5
223,59,True,False,85,85,5
224,42,True,False,55,55,4
225,53,True,True,89,89,6
226,34,True,False,44,44,4
227,41,True,False,65,65,5
228,38,True,False,60,60,5
229,42,True,True,91,91,6
230,48,True,True,102,102,6
231,68,True,True,110,110,6
232,38,True,False,44,44,4
233,27,True,False,37,37,4
234,46,True,False,77,77,5
235,41,True,False,73,73,5
236,46,True,False,81,81,5
237,39,True,False,57,57,5
238,24,True,False,24,24,3
239,44,True,False,71,71,5
240,55,True,True,95,95,6
241,31,True,False,39,39,4
242,34,True,False,56,56,5
243,29,True,False,34,34,4
244,42,True,False,43,43,4
245,47,True,False,78,78,5
246,48,True,False,67,67,5
247,52,True,False,66,66,5
248,37,True,False,62,62,5
249,37,True,False,62,62,5
250,46,True,False,68,68,5
251,41,True,False,61,61,5
252,49,True,False,78,78,5
253,48,True,False,71,71,5
254,49,True,False,78,78,5
255,43,True,False,57,57,5
256,23,True,False,32,32,4
257,45,True,False,59,59,5
258,47,True,False,58,58,5
259,22,True,False,14,14,3
260,51,True,False,76,76,5
261,39,True,False,53,53,5
262,38,True,False,55,55,5
263,46,True,False,62,62,5
264,31,True,False,41,41,4
265,47,True,False,52,52,5
266,39,True,False,41,41,4
267,49,True,False,72,72,5
268,60,True,False,63,63,5
269,33,True,False,31,31,4
270,28,True,False,36,36,4
271,48,True,False,72,72,5
272,61,True,False,92,92,5
273,33,True,False,45,45,4
274,34,True,False,52,52,4
275,38,True,False,66,66,5
276,26,True,False,29,29,4
277,34,True,False,59,59,5
278,36,True,False,55,55,5
279,36,True,False,73,73,5
280,42,True,False,60,60,5
281,33,True,False,32,32,4
282,50,True,False,80,80,5
283,54,True,False,86,86,5
284,50,True,False,90,90,5
285,54,True,False,90,90,5
286,42,True,False,69,69,5
287,45,True,True,86,86,6
288,35,True,False,56,56,5
289,27,True,False,41,41,4
290,35,True,False,37,37,4
291,33,True,False,41,41,4
292,52,True,False,69,69,5
293,19,True,False,22,22,4
294,24,True,False,27,27,4
295,36,True,False,52,52,5
296,47,True,False,78,78,5
297,32,True,False,40,40,4
298,30,True,False,33,33,4
299,44,True,False,53,53,4
300,60,True,False,80,80,5
301,25,True,False,34,34,4
302,26,True,False,39,39,4
303,50,True,False,71,71,5
304,33,True,False,39,39,4
305,34,True,False,38,38,4
306,68,True,True,107,107,6
307,26,True,False,37,37,4
308,41,True,False,65,65,5
309,78,True,False,103,103,5
310,33,True,False,45,45,4
311,43,True,False,72,72,5
312,30,True,False,41,41,4
313,41,True,False,48,48,4
314,30,True,False,53,53,5
315,57,True,False,90,90,5
316,44,True,False,73,73,5
317,48,True,False,50,50,4
318,45,True,False,70,70,5
319,31,True,False,46,46,4
320,61,True,False,66,66,5
321,38,True,False,54,54,4
322,28,True,False,32,32,4
323,29,True,False,34,34,4
324,47,True,False,76,76,5
325,46,True,True,91,91,6
326,43,True,False,66,66,5
327,52,True,False,80,80,5
328,56,True,True,95,95,6
329,48,True,False,69,69,5
330,76,True,False,84,84,5
331,28,True,False,44,44,4
332,53,True,True,103,103,6
333,19,True,False,23,23,3
334,50,True,False,71,71,5
335,53,True,True,91,91,6
336,54,True,False,84,84,5
337,67,True,False,101,101,5
338,41,True,False,71,71,5
339,41,True,False,62,62,5
340,45,True,True,91,91,6
341,25,True,False,32,32,4
342,22,True,False,30,30,4
343,60,True,True,95,95,6
344,34,True,False,51,51,4
345,61,True,False,76,76,5
346,61,True,True,98,98,6
347,49,True,False,80,80,5
348,50,True,False,80,80,5
349,41,True,False,46,46,4
350,42,True,False,39,39,4
351,37,True,False,48,48,4
352,46,True,False,76,76,5
353,16,True,False,16,16,3
354,53,True,False,34,34,4
355,45,True,False,74,74,5
356,46,True,False,71,71,5
357,42,True,False,49,49,4
358,59,True,False,103,103,5
359,45,True,False,67,67,5
360,22,True,False,32,32,4
361,69,True,False,78,78,5
362,24,True,False,34,34,4
363,34,True,False,50,50,4
364,76,True,False,91,91,5
365,41,True,False,78,78,5
366,62,True,False,91,91,5
367,37,True,False,43,43,4
368,58,True,False,112,112,5
