,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,50.70,5
1,26,True,False,34,28.50,4
2,43,True,False,58,49.00,5
3,22,True,False,32,26.50,4
4,40,True,False,71,60.30,5
5,55,True,False,93,78.80,5
6,48,True,False,73,61.50,5
7,53,True,False,76,63.90,5
8,48,True,False,71,62.20,5
9,28,True,False,39,33.60,4
10,50,True,False,80,68.90,5
11,49,True,False,68,58.50,5
12,46,True,False,61,51.20,4
13,48,True,False,77,66.50,5
14,46,True,False,72,61.50,5
15,36,True,False,47,40.30,4
16,25,True,False,29,23.60,4
17,40,True,False,64,55.00,5
18,28,True,False,37,31.80,4
19,45,True,False,62,53.10,5
20,56,True,False,71,58.50,5
21,30,True,False,41,33.70,4
22,40,True,False,55,46.30,5
23,29,True,False,34,27.20,4
24,64,True,False,99,85.70,5
25,35,True,False,48,40.00,4
26,51,True,False,69,59.60,5
27,47,True,False,66,56.90,5
28,53,True,False,76,66.40,5
29,41,True,False,66,55.90,5
30,44,True,True,93,80.10,6
31,58,True,False,86,73.10,5
32,48,True,False,78,67.00,5
33,44,True,False,57,48.60,4
34,64,True,True,96,84.40,6
35,33,True,False,55,47.10,4
36,47,True,False,91,78.00,5
37,49,True,False,70,60.30,5
38,51,True,False,64,55.30,5
39,30,True,False,41,34.70,4
40,46,True,False,69,60.40,5
41,51,True,False,73,62.80,5
42,35,True,False,57,49.30,4
43,50,True,False,75,64.80,5
44,42,True,False,65,55.80,5
45,43,True,False,64,54.50,5
46,47,True,False,74,62.90,5
47,27,True,False,41,34.40,4
48,33,True,False,41,33.10,4
49,41,True,False,68,57.30,5
50,31,True,False,35,29.80,4
51,26,True,False,38,30.20,4
52,35,True,False,50,41.50,4
53,38,True,False,54,45.10,5
54,43,True,False,59,51.00,5
55,29,True,False,38,32.00,4
56,25,True,False,34,27.30,4
57,40,True,False,52,44.30,4
58,57,True,False,74,62.90,5
59,50,True,False,71,60.10,5
60,50,True,True,91,77.80,6
61,53,True,True,94,81.30,6
62,74,True,False,78,66.80,5
63,65,True,True,95,82.30,6
64,54,True,False,71,61.20,5
65,30,True,False,37,31.60,4
66,40,True,False,45,37.20,4
67,39,True,False,60,51.90,5
68,40,True,False,72,62.10,5
69,49,True,False,74,65.00,5
70,26,True,False,35,29.00,4
71,33,True,False,28,23.90,4
72,43,True,False,53,45.80,4
73,33,True,False,43,35.70,4
74,52,True,False,82,69.80,5
75,60,True,False,77,65.10,5
76,23,True,False,28,22.30,4
77,43,True,False,68,58.60,5
78,18,True,False,14,11.30,3
79,50,True,False,72,62.50,5
80,70,True,True,92,78.30,6
81,34,True,False,40,34.40,4
82,51,True,False,75,64.60,5
83,46,True,True,92,81.40,6
84,52,True,False,86,72.50,5
85,37,True,False,35,30.00,4
86,34,True,False,43,36.20,4
87,54,True,False,89,78.40,5
88,49,True,False,77,66.50,5
89,33,True,False,60,51.30,5
90,53,True,True,96,85.30,6
91,51,True,False,72,62.10,5
92,41,True,True,88,77.00,6
93,45,True,False,71,59.40,5
94,32,True,False,50,42.90,4
95,29,True,False,41,35.10,4
96,52,True,False,72,62.90,5
97,32,True,False,50,41.70,4
98,30,True,False,39,32.70,4
99,32,True,False,34,27.30,4
100,34,True,False,60,50.60,5
101,32,True,False,53,44.90,5
102,48,True,False,84,73.20,5
103,43,True,False,65,55.20,5
104,16,True,False,11,8.40,3
105,47,True,False,76,65.90,5
106,53,True,True,92,79.40,6
107,53,True,True,87,76.40,6
108,31,True,False,34,28.50,4
109,34,True,False,42,35.00,4
110,63,True,False,102,88.80,5
111,30,True,False,41,34.90,4
112,60,True,False,63,54.30,5
113,38,True,False,45,38.40,4
114,36,True,False,55,47.10,5
115,27,True,False,41,33.90,4
116,31,True,False,41,33.80,4
117,83,True,True,119,104.60,6
118,51,True,False,46,38.90,4
119,40,True,False,66,56.80,5
120,55,True,False,86,74.40,5
121,54,True,False,71,61.80,5
122,43,True,False,75,64.40,5
123,42,True,False,60,50.60,5
124,43,True,False,60,51.10,5
125,26,True,False,43,36.20,4
126,43,True,False,68,57.30,5
127,33,True,False,41,34.00,4
128,50,True,False,84,72.10,5
129,45,True,False,70,58.80,5
130,30,True,False,54,45.80,5
131,35,True,False,48,40.70,4
132,26,True,False,40,33.40,4
133,22,True,False,32,26.60,4
134,29,True,False,34,27.80,4
135,44,True,False,69,59.50,5
136,29,True,False,32,26.00,4
137,38,True,False,67,58.10,5
138,60,True,False,85,73.00,5
139,44,True,True,91,79.30,6
140,27,True,False,43,36.40,4
141,52,True,False,72,63.20,5
142,49,True,False,76,65.20,5
143,25,True,False,29,23.20,4
144,46,True,False,71,62.60,5
145,29,True,False,30,24.50,3
146,44,True,False,82,71.40,5
147,28,True,False,41,34.00,4
148,28,True,False,27,21.60,4
149,37,True,False,40,33.90,4
150,44,True,False,63,54.30,4
151,27,True,False,34,28.60,4
152,44,True,False,68,55.80,5
153,40,True,False,64,55.40,5
154,26,True,False,29,23.40,4
155,25,True,False,37,31.10,4
156,35,True,False,41,34.30,4
157,36,True,False,36,29.90,4
158,29,True,False,31,24.50,4
159,24,True,False,32,26.80,4
160,21,True,False,20,16.60,3
161,30,True,False,27,21.60,4
162,45,True,False,78,68.00,5
163,52,True,False,89,77.50,5
164,45,True,False,73,62.00,5
165,54,True,True,98,86.10,6
166,47,True,False,80,67.80,5
167,37,True,False,57,49.40,5
168,38,True,True,91,80.50,6
169,46,True,False,60,50.80,5
170,30,True,False,36,30.90,4
171,31,True,False,44,37.90,4
172,41,True,False,55,48.00,5
173,27,True,False,41,35.20,4
174,33,True,False,39,32.60,4
175,55,True,False,71,61.40,5
176,26,True,False,39,32.70,5
177,28,True,False,41,35.20,4
178,44,True,False,74,63.40,5
179,32,True,False,50,42.70,5
180,36,True,False,45,37.50,4
181,44,True,True,91,81.00,6
182,54,True,True,97,85.00,6
183,50,True,False,46,39.80,5
184,30,True,False,46,38.90,4
185,55,True,False,69,59.20,5
186,48,True,False,76,64.30,5
187,20,True,False,24,18.60,3
188,37,True,False,63,53.80,5
189,26,True,False,34,28.00,4
190,40,True,False,66,56.50,5
191,53,True,False,82,69.80,5
192,45,True,False,69,58.40,5
193,45,True,False,66,55.70,5
194,42,True,False,53,44.70,5
195,51,True,False,71,60.70,5
196,49,True,False,94,81.80,5
197,43,True,True,92,80.80,6
198,36,True,False,52,43.70,4
199,41,True,False,68,58.00,5
200,43,True,False,64,54.30,5
201,34,True,False,48,40.30,4
202,52,True,False,76,64.90,5
203,50,True,False,74,64.60,5
204,44,True,False,71,60.40,5
205,54,True,False,39,33.00,4
206,37,True,False,48,40.20,4
207,30,True,False,31,24.90,4
208,17,True,False,11,8.10,3
209,32,True,False,54,46.80,5
210,27,True,False,33,26.40,4
211,26,True,False,32,26.50,4
212,23,True,False,15,10.90,3
213,39,True,False,59,49.30,4
214,55,True,False,108,93.90,5
215,63,True,True,106,94.20,6
216,48,True,False,76,64.80,5
217,34,True,False,42,34.80,4
218,50,True,False,80,70.00,5
219,48,True,True,92,80.60,6
220,33,True,False,52,44.50,5
221,35,True,False,51,43.10,5
222,45,True,False,69,57.40,5
223,44,True,False,69,59.10,5
224,44,True,False,74,63.40,5
225,41,True,False,69,59.60,5
226,41,True,False,66,57.10,5
227,33,True,False,39,32.10,4
228,28,True,False,30,24.20,4
229,32,True,False,47,39.40,4
230,33,True,False,46,38.70,4
231,44,True,False,62,54.00,5
232,43,True,False,73,62.00,5
233,32,True,False,39,33.10,4
234,53,True,False,76,65.60,5
235,24,True,False,30,25.00,4
236,41,True,False,69,60.00,5
237,46,True,False,34,28.20,4
238,49,True,False,78,66.20,5
239,47,True,False,39,33.00,4
240,53,True,False,80,67.90,5
241,43,True,False,75,65.40,5
242,28,True,False,34,27.70,4
243,61,True,False,82,71.50,5
244,32,True,False,52,44.10,4
245,31,True,False,51,43.20,5
246,69,True,True,110,95.40,6
247,53,True,True,96,85.00,6
248,40,True,False,49,40.80,4
249,38,True,False,43,35.70,4
250,49,True,False,67,56.50,5
251,38,True,False,72,62.70,5
252,57,True,False,84,72.20,5
253,28,True,False,49,42.10,5
254,52,True,True,98,85.90,6
255,52,True,False,74,63.70,5
256,24,True,False,27,21.90,4
257,26,True,False,34,28.50,4
258,49,True,False,71,61.40,5
259,52,True,False,75,65.60,5
260,44,True,True,92,80.80,6
261,33,True,False,43,35.60,4
262,53,True,False,78,65.00,5
263,52,True,True,101,87.80,6
264,43,True,False,67,58.00,5
265,47,True,False,69,60.10,5
266,49,True,False,77,65.70,5
267,60,True,True,111,96.50,6
268,22,True,False,28,22.80,4
269,61,True,False,71,61.00,5
270,49,True,False,83,70.70,5
271,38,True,False,58,49.20,5
272,29,True,False,50,41.40,4
273,41,True,False,75,64.90,5
274,66,True,False,101,85.60,5
275,44,True,False,74,63.60,5
276,42,True,False,73,63.20,5
277,38,True,False,45,38.00,4
278,41,True,False,52,43.50,4
279,68,True,True,123,109.40,6
280,31,True,False,48,40.50,4
281,36,True,False,61,51.40,5
282,51,True,False,75,65.50,5
283,48,True,False,78,66.40,5
284,47,True,False,67,58.00,5
285,50,True,True,105,91.40,6
286,43,True,False,71,60.90,5
287,51,True,False,74,63.30,5
288,30,True,False,40,33.70,5
289,52,True,False,78,66.80,5
290,34,True,False,54,46.90,5
291,50,True,False,78,67.60,5
292,49,True,True,102,88.20,6
293,55,True,True,102,89.40,6
294,34,True,False,38,29.80,4
295,26,True,False,30,24.40,4
296,48,True,False,71,59.80,5
297,48,True,True,91,79.20,6
298,52,True,False,67,56.70,5
299,37,True,False,42,34.50,4
300,46,True,False,55,46.90,5
301,65,True,True,105,91.30,6
302,18,True,False,23,18.80,4
303,25,True,False,32,27.10,4
304,42,True,False,68,58.20,5
305,47,True,True,100,88.10,6
306,33,True,False,41,35.30,4
307,44,True,False,82,71.60,5
308,53,True,True,95,83.10,6
309,31,True,False,47,39.10,4
310,55,True,False,98,85.40,5
311,46,True,False,69,58.30,5
312,63,True,False,95,82.00,5
313,49,True,True,98,84.60,6
314,45,True,False,70,58.30,5
315,43,True,False,81,72.00,5
316,57,True,False,82,69.90,5
317,32,True,False,37,30.50,4
318,51,True,False,64,54.40,4
319,33,True,False,43,35.80,4
320,44,True,True,92,80.60,6
321,42,True,False,53,44.40,5
322,33,True,False,47,39.50,5
323,29,True,False,36,30.30,4
324,26,True,False,30,24.40,4
