,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,50.70,5
1,26,True,False,34,28.50,4
2,43,True,False,58,49.00,5
3,22,True,False,32,26.50,4
4,40,True,False,71,60.30,5
5,55,True,False,93,78.80,5
6,48,True,False,73,61.50,5
7,53,True,False,76,63.90,5
8,48,True,False,71,62.20,5
9,28,True,False,39,33.60,4
10,50,True,False,80,68.90,5
11,49,True,False,68,58.50,5
12,46,True,False,61,51.20,4
13,48,True,False,77,66.50,5
14,46,True,False,72,61.50,5
15,36,True,False,47,40.30,4
16,25,True,False,29,23.60,4
17,40,True,False,64,55.00,5
18,28,True,False,37,31.80,4
19,45,True,False,62,53.10,5
20,56,True,False,71,58.50,5
21,30,True,False,41,33.70,4
22,40,True,False,55,46.30,5
23,29,True,False,34,27.20,4
24,64,True,False,99,85.70,5
25,35,True,False,48,40.00,4
26,51,True,False,69,59.60,5
27,47,True,False,66,56.90,5
28,53,True,False,76,66.40,5
29,41,True,False,66,55.90,5
30,44,True,True,93,80.10,6
31,58,True,False,86,73.10,5
32,48,True,False,78,67.00,5
33,44,True,False,57,48.60,4
34,64,True,True,96,84.40,6
35,33,True,False,55,47.10,4
36,47,True,False,91,78.00,5
37,49,True,False,70,60.30,5
38,51,True,False,64,55.30,5
39,30,True,False,41,34.70,4
40,46,True,False,69,60.40,5
41,51,True,False,73,62.80,5
42,35,True,False,57,49.30,4
43,50,True,False,75,64.80,5
44,42,True,False,65,55.80,5
45,43,True,False,64,54.50,5
46,47,True,False,74,62.90,5
47,27,True,False,41,34.40,4
48,33,True,False,41,33.10,4
49,41,True,False,68,57.30,5
50,31,True,False,35,29.80,4
51,26,True,False,38,30.20,4
52,35,True,False,50,41.50,4
53,38,True,False,54,45.10,5
54,43,True,False,59,51.00,5
55,29,True,False,38,32.00,4
56,25,True,False,34,27.30,4
57,40,True,False,52,44.30,4
58,57,True,False,74,62.90,5
59,50,True,False,71,60.10,5
60,50,True,True,91,77.80,6
61,53,True,True,94,81.30,6
62,74,True,False,78,66.80,5
63,65,True,True,95,82.30,6
64,54,True,False,71,61.20,5
65,30,True,False,37,31.60,4
66,40,True,False,45,37.20,4
67,39,True,False,60,51.90,5
68,40,True,False,72,62.10,5
69,49,True,False,74,65.00,5
70,26,True,False,35,29.00,4
71,33,True,False,28,23.90,4
72,43,True,False,53,45.80,4
73,33,True,False,43,35.70,4
74,52,True,False,82,69.80,5
75,60,True,False,77,65.10,5
76,23,True,False,28,22.30,4
77,43,True,False,68,58.60,5
78,18,True,False,14,11.30,3
79,50,True,False,72,62.50,5
80,70,True,True,92,78.30,6
81,34,True,False,40,34.40,4
82,51,True,False,75,64.60,5
83,46,True,True,92,81.40,6
84,52,True,False,86,72.50,5
85,37,True,False,35,30.00,4
86,34,True,False,43,36.20,4
87,54,True,False,89,78.40,5
88,49,True,False,77,66.50,5
89,33,True,False,60,51.30,5
90,53,True,True,96,85.30,6
91,51,True,False,72,62.10,5
92,41,True,True,88,77.00,6
93,45,True,False,71,59.40,5
94,32,True,False,50,42.90,4
95,29,True,False,41,35.10,4
96,52,True,False,72,62.90,5
97,32,True,False,50,41.70,4
98,30,True,False,39,32.70,4
99,41,True,False,60,51.70,5
100,36,True,False,64,52.80,5
101,44,True,False,73,64.50,5
102,47,True,True,94,81.20,6
103,34,True,False,64,55.00,5
104,52,True,True,89,79.80,6
105,18,True,False,16,12.50,3
106,38,True,False,52,43.50,4
107,25,True,False,35,29.00,4
108,41,True,False,55,46.90,5
109,51,True,True,91,81.40,6
110,40,True,False,43,35.60,4
111,36,True,False,50,42.50,4
112,51,True,False,82,70.40,5
113,33,True,False,29,23.70,4
114,55,True,True,98,85.10,6
115,60,True,False,71,62.20,5
116,32,True,False,58,49.60,5
117,59,True,False,59,50.00,4
118,44,True,False,76,64.90,5
119,41,True,False,57,48.20,4
120,32,True,False,49,40.90,4
121,43,True,False,69,58.70,5
122,30,True,False,43,36.90,4
123,58,True,False,82,71.30,5
124,47,True,False,72,63.20,5
125,38,True,False,65,55.70,5
126,50,True,False,91,78.30,5
127,25,True,False,36,29.50,4
128,40,True,True,84,72.80,6
129,19,True,False,18,14.50,3
130,24,True,False,29,24.40,4
131,36,True,False,39,32.10,4
132,31,True,False,42,35.70,4
133,54,True,False,90,76.90,5
134,38,True,False,67,56.40,5
135,53,True,False,77,67.60,5
136,50,True,False,67,57.40,5
137,55,True,True,96,84.10,6
138,45,True,False,71,61.40,5
139,45,True,False,62,54.10,5
140,40,True,False,39,31.90,4
141,31,True,False,43,35.90,4
142,41,True,False,69,59.00,5
143,27,True,False,38,32.30,4
144,38,True,False,43,35.90,4
145,25,True,False,32,26.10,4
146,40,True,False,68,58.50,5
147,30,True,False,39,33.50,4
148,28,True,False,41,34.80,4
149,36,True,False,50,41.80,4
150,29,True,False,41,33.60,4
151,44,True,False,60,52.00,5
152,26,True,False,36,30.60,4
153,37,True,False,71,61.40,5
154,28,True,False,42,35.20,4
155,28,True,False,38,29.90,4
156,46,True,False,73,61.90,5
157,42,True,False,64,54.90,5
158,49,True,False,71,60.90,5
159,47,True,False,75,63.00,5
160,32,True,False,39,32.80,4
161,46,True,False,42,35.50,4
162,50,True,False,75,63.30,5
163,55,True,False,71,60.80,5
164,21,True,False,25,20.90,4
165,49,True,False,74,62.90,5
166,35,True,False,59,50.10,5
167,44,True,False,69,59.00,5
168,42,True,False,55,45.50,5
169,34,True,False,46,38.40,4
170,31,True,False,42,35.70,4
171,41,True,False,73,62.30,5
172,40,True,False,48,41.20,4
173,49,True,False,64,54.60,5
174,51,True,False,67,58.60,5
175,44,True,False,71,58.60,5
176,35,True,False,35,28.20,4
177,23,True,False,25,21.10,4
178,32,True,False,52,44.00,4
179,59,True,False,76,63.60,5
180,48,True,False,71,61.60,5
181,24,True,False,30,25.10,4
182,41,True,False,52,43.80,4
183,33,True,False,50,42.70,5
184,51,True,False,73,62.40,5
185,42,True,False,71,60.10,5
186,50,True,False,72,62.50,5
187,32,True,False,43,36.00,4
188,51,True,False,75,64.20,5
189,55,True,True,94,82.10,6
190,36,True,False,50,43.40,4
191,42,True,False,43,36.20,4
192,35,True,False,55,47.40,5
193,52,True,False,82,69.70,5
194,23,True,False,21,16.30,3
195,44,True,False,73,63.40,5
196,41,True,False,65,54.80,5
197,33,True,False,46,39.10,4
198,44,True,False,65,56.40,5
199,47,True,False,72,61.90,5
200,62,True,False,76,65.30,5
201,55,True,True,98,84.30,6
202,49,True,False,78,67.80,5
203,53,True,False,85,73.00,5
204,41,True,False,71,60.40,5
205,64,True,False,84,71.70,5
206,23,True,False,22,17.50,3
207,49,True,False,62,52.80,4
208,59,True,False,86,72.50,5
209,28,True,False,39,32.30,4
210,47,True,False,65,54.60,5
211,42,True,False,74,62.60,5
212,26,True,False,30,25.50,4
213,36,True,False,60,51.50,5
214,21,True,False,27,21.90,4
215,32,True,False,32,26.90,4
216,42,True,False,69,57.70,5
217,19,True,False,23,18.50,3
218,49,True,False,64,54.60,5
219,53,True,False,87,74.60,5
220,26,True,False,37,31.00,4
221,50,True,False,69,59.90,5
222,43,True,False,65,55.50,5
223,23,True,False,27,22.10,4
224,37,True,False,52,43.70,4
225,26,True,False,39,32.70,4
226,30,True,False,39,33.50,4
227,30,True,False,29,22.90,4
228,34,True,False,41,33.70,4
229,56,True,False,94,81.60,5
230,46,True,True,90,80.00,6
231,47,True,False,72,62.20,5
232,54,True,False,76,65.60,5
233,47,True,False,76,65.00,5
234,48,True,True,86,75.70,6
235,30,True,False,39,33.20,4
236,49,True,False,71,60.50,5
237,68,True,True,99,85.90,6
238,47,True,False,76,65.80,5
239,48,True,False,84,72.70,5
240,17,True,False,18,14.50,3
241,45,True,True,88,77.00,6
242,47,True,True,86,77.00,6
243,45,True,False,61,52.60,5
244,54,True,False,79,68.30,5
245,37,True,False,49,42.00,4
246,47,True,False,83,72.20,5
247,28,True,False,38,31.20,4
248,26,True,False,32,26.70,4
249,34,True,False,52,43.30,4
250,41,True,False,47,39.20,4
251,29,True,False,34,28.10,4
252,49,True,False,66,56.50,5
253,19,True,False,14,10.70,3
254,50,True,False,87,76.20,5
255,26,True,False,39,32.80,4
256,41,True,True,85,75.60,6
257,46,True,False,68,57.70,5
258,42,True,False,50,42.50,4
259,40,True,False,37,30.70,4
260,32,True,False,32,26.90,4
261,31,True,False,22,17.10,3
262,27,True,False,26,20.40,3
263,46,True,True,93,79.60,6
264,36,True,False,63,54.60,5
265,55,True,False,70,60.50,5
266,57,True,False,80,68.00,5
267,52,True,False,64,53.20,5
268,38,True,False,69,58.90,5
269,42,True,False,61,51.50,5
270,41,True,False,62,53.90,5
271,41,True,False,76,65.20,5
272,24,True,False,27,21.40,4
273,53,True,True,98,84.20,6
274,49,True,False,73,63.20,5
275,42,True,False,72,62.20,5
276,43,True,False,62,52.40,5
277,25,True,False,31,25.30,4
278,53,True,False,84,72.30,5
279,33,True,False,53,45.80,5
280,18,True,False,16,11.90,3
281,45,True,True,91,79.20,6
282,38,True,False,53,44.90,5
283,35,True,False,39,33.50,4
284,49,True,False,80,69.70,5
285,40,True,False,71,61.40,5
286,55,True,True,97,84.20,6
287,61,True,False,83,71.40,5
288,45,True,False,56,48.90,5
289,30,True,False,48,41.00,4
290,43,True,False,56,48.30,5
291,20,True,False,21,17.20,4
292,37,True,False,37,31.30,4
293,37,True,False,60,51.90,5
294,15,True,False,12,8.50,3
295,33,True,False,54,46.60,5
296,50,True,False,61,51.60,5
297,52,True,False,78,67.20,5
298,43,True,False,59,50.10,5
299,30,True,False,37,31.30,4
300,29,True,False,34,26.80,4
301,33,True,False,36,30.50,4
302,44,True,False,69,59.90,5
303,60,True,False,94,82.40,5
304,23,True,False,21,17.10,3
305,28,True,False,41,34.30,4
306,40,True,False,62,52.70,5
307,47,True,False,53,44.20,4
308,41,True,True,80,70.30,6
309,41,True,False,71,61.20,5
310,49,True,False,78,67.50,5
311,54,True,True,100,86.90,6
312,50,True,False,77,65.20,5
313,53,True,False,68,57.30,5
314,46,True,False,69,60.50,5
315,57,True,False,82,72.40,5
316,32,True,False,38,32.00,4
317,41,True,False,66,56.20,5
318,64,True,True,109,94.90,6
319,41,True,False,67,58.20,5
320,46,True,False,67,57.50,5
321,29,True,False,21,16.40,3
322,56,True,False,75,64.40,5
323,54,True,True,104,90.80,6
324,41,True,False,53,44.40,5
