,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,41,True,False,63,63.00,5
1,33,True,False,27,27.00,4
2,25,True,False,35,35.00,4
3,46,True,False,64,64.00,5
4,28,True,False,40,40.00,4
5,34,True,False,54,54.00,5
6,25,True,False,29,29.00,4
7,32,True,False,60,60.00,5
8,53,True,False,89,89.00,5
9,39,True,False,59,59.00,5
10,28,True,False,44,44.00,4
11,23,True,False,30,30.00,4
12,46,True,False,73,73.00,5
13,34,True,False,47,47.00,4
14,49,True,False,84,84.00,5
15,47,True,False,64,64.00,5
16,29,True,False,39,39.00,4
17,35,True,False,18,18.00,3
18,36,True,False,56,56.00,5
19,52,True,False,87,87.00,5
20,53,True,False,63,63.00,5
21,44,True,False,58,58.00,5
22,33,True,False,39,39.00,4
23,49,True,False,75,75.00,5
24,42,True,False,73,73.00,5
25,27,True,False,30,30.00,4
26,28,True,False,34,34.00,4
27,32,True,False,34,34.00,4
28,54,True,False,96,96.00,5
29,34,True,False,41,41.00,4
30,26,True,False,28,28.00,3
31,45,True,False,64,64.00,5
32,37,True,False,50,50.00,4
33,29,True,False,39,39.00,4
34,40,True,False,64,64.00,5
35,37,True,False,44,44.00,4
36,46,True,False,78,78.00,5
37,37,True,False,34,34.00,4
38,15,True,False,13,13.00,3
39,44,True,False,65,65.00,5
40,48,True,True,89,89.00,6
41,32,True,False,45,45.00,4
42,35,True,False,53,53.00,5
43,41,True,False,64,64.00,5
44,42,True,False,64,64.00,5
45,28,True,False,40,40.00,4
46,65,True,False,98,98.00,5
47,33,True,False,46,46.00,4
48,40,True,False,70,70.00,5
49,44,True,False,60,60.00,5
50,48,True,False,62,62.00,5
51,17,True,False,13,13.00,3
52,42,True,False,62,62.00,5
53,54,True,False,89,89.00,5
54,28,True,False,37,37.00,4
55,45,True,False,67,67.00,5
56,40,True,False,68,68.00,5
57,52,True,False,84,84.00,5
58,50,True,False,82,82.00,5
59,27,True,False,38,38.00,4
60,31,True,False,42,42.00,4
61,31,True,False,43,43.00,4
62,40,True,False,63,63.00,5
63,33,True,False,30,30.00,4
64,47,True,False,57,57.00,5
65,29,True,False,41,41.00,4
66,33,True,False,49,49.00,4
67,36,True,False,47,47.00,4
68,64,True,True,111,111.00,6
69,48,True,True,89,89.00,6
70,40,True,False,62,62.00,5
71,52,True,True,91,91.00,6
72,50,True,False,73,73.00,5
73,47,True,True,98,98.00,6
74,44,True,False,69,69.00,5
75,30,True,False,48,48.00,5
76,58,True,False,83,83.00,5
77,51,True,False,87,87.00,5
78,38,True,False,40,40.00,4
79,33,True,False,50,50.00,4
80,27,True,False,37,37.00,4
81,37,True,False,60,60.00,5
82,53,True,False,80,80.00,5
83,54,True,False,69,69.00,5
84,42,True,False,51,51.00,4
85,69,True,False,93,93.00,5
86,53,True,True,92,92.00,6
87,56,True,True,98,98.00,6
88,23,True,False,29,29.00,4
89,51,True,False,74,74.00,5
90,31,True,False,36,36.00,4
91,44,True,False,73,73.00,5
92,60,True,False,89,89.00,5
93,62,True,True,100,100.00,6
94,33,True,False,53,53.00,5
95,54,True,False,82,82.00,5
96,23,True,False,29,29.00,4
97,31,True,False,30,30.00,4
98,43,True,False,66,66.00,5
99,32,True,False,42,42.00,4
100,52,True,True,91,91.00,6
101,39,True,True,81,81.00,6
102,29,True,False,32,32.00,4
103,40,True,False,64,64.00,5
104,46,True,False,66,66.00,5
105,54,True,False,78,78.00,5
106,37,True,False,41,41.00,4
107,52,True,True,102,102.00,6
108,28,True,False,34,34.00,4
109,37,True,False,34,34.00,4
110,52,True,True,93,93.00,6
111,34,True,False,59,59.00,5
112,36,True,False,48,48.00,4
113,73,True,True,97,97.00,6
114,30,True,False,26,26.00,3
115,31,True,False,36,36.00,4
116,42,True,False,62,62.00,4
117,46,True,False,84,84.00,5
118,46,True,False,58,58.00,5
119,55,True,True,105,105.00,6
120,53,True,False,75,75.00,5
121,28,True,False,32,32.00,4
122,47,True,False,67,67.00,5
123,69,True,True,113,113.00,6
124,30,True,False,45,45.00,4
125,53,True,False,80,80.00,5
126,43,True,False,55,55.00,5
