,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,22,5
1,26,True,False,34,14,4
2,43,True,False,58,22,5
3,22,True,False,32,13,4
4,40,True,False,71,26,5
5,55,True,False,93,36,5
6,48,True,False,73,28,5
7,53,True,False,76,29,5
8,48,True,False,71,27,5
9,28,True,False,39,16,4
10,50,True,False,80,30,5
11,49,True,False,68,26,5
12,46,True,False,61,24,4
13,48,True,False,77,30,5
14,46,True,False,72,27,5
15,36,True,False,47,19,4
16,25,True,False,29,12,4
17,40,True,False,64,25,5
18,28,True,False,37,15,4
19,45,True,False,62,23,5
20,56,True,False,71,27,5
21,30,True,False,41,17,4
22,40,True,False,55,21,5
23,29,True,False,34,14,4
24,64,True,False,99,36,5
25,35,True,False,48,19,4
26,51,True,False,69,26,5
27,47,True,False,66,26,5
28,53,True,False,76,29,5
29,41,True,False,66,26,5
30,44,True,True,93,33,6
31,58,True,False,86,33,5
32,48,True,False,78,30,5
33,44,True,False,57,22,4
34,64,True,True,96,34,6
35,33,True,False,55,22,4
36,47,True,False,91,34,5
37,49,True,False,70,27,5
38,51,True,False,64,24,5
39,30,True,False,41,17,4
40,46,True,False,69,26,5
41,51,True,False,73,28,5
42,35,True,False,57,22,4
43,50,True,False,75,28,5
44,42,True,False,65,24,5
45,43,True,False,64,25,5
46,47,True,False,74,28,5
47,27,True,False,41,16,4
48,33,True,False,41,17,4
49,41,True,False,68,26,5
50,31,True,False,35,14,4
51,26,True,False,38,16,4
52,35,True,False,50,20,4
53,38,True,False,54,21,5
54,43,True,False,59,22,5
55,29,True,False,38,16,4
56,25,True,False,34,14,4
57,40,True,False,52,21,4
58,57,True,False,74,28,5
59,50,True,False,71,27,5
60,50,True,True,91,32,6
61,53,True,True,94,34,6
62,74,True,False,78,30,5
63,65,True,True,95,34,6
64,54,True,False,71,27,5
65,30,True,False,37,15,4
66,40,True,False,45,18,4
67,39,True,False,60,23,5
68,40,True,False,72,27,5
69,49,True,False,74,28,5
70,26,True,False,35,14,4
71,33,True,False,28,11,4
72,43,True,False,53,21,4
73,33,True,False,43,17,4
74,52,True,False,82,31,5
75,60,True,False,77,30,5
76,23,True,False,28,11,4
77,43,True,False,68,26,5
78,18,True,False,14,6,3
79,50,True,False,72,27,5
80,70,True,True,92,33,6
81,34,True,False,40,16,4
82,51,True,False,75,29,5
83,46,True,True,92,32,6
84,52,True,False,86,33,5
85,37,True,False,35,14,4
86,34,True,False,43,17,4
87,54,True,False,89,33,5
88,49,True,False,77,30,5
89,33,True,False,60,22,5
90,53,True,True,96,34,6
91,51,True,False,72,27,5
92,41,True,True,88,30,6
93,45,True,False,71,28,5
94,32,True,False,50,20,4
95,29,True,False,41,17,4
96,52,True,False,72,27,5
97,32,True,False,50,19,4
98,30,True,False,39,16,4
99,22,True,False,29,12,4
100,34,True,False,53,21,4
101,56,True,False,89,34,5
102,19,True,False,22,10,3
103,26,True,False,29,12,4
104,25,True,False,37,15,4
105,34,True,False,53,20,5
106,20,True,False,27,11,4
107,50,True,False,73,28,5
108,41,True,False,69,26,5
109,31,True,False,41,17,4
110,41,True,False,73,28,5
111,51,True,False,65,24,5
112,49,True,False,74,28,5
