,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,21.20,5
1,26,True,False,34,13.60,4
2,43,True,False,58,20.70,5
3,22,True,False,32,12.90,4
4,40,True,False,71,25.40,5
5,55,True,False,93,34.90,5
6,48,True,False,73,26.80,5
7,53,True,False,76,27.40,5
8,48,True,False,71,25.70,5
9,28,True,False,39,15.60,4
10,50,True,False,80,28.80,5
11,49,True,False,68,24.50,5
12,46,True,False,61,22.60,4
13,48,True,False,77,29.00,5
14,46,True,False,72,25.90,5
15,36,True,False,47,18.10,4
16,25,True,False,29,11.50,4
17,40,True,False,64,24.30,5
18,28,True,False,37,14.50,4
19,45,True,False,62,21.60,5
20,56,True,False,71,24.90,5
21,30,True,False,41,16.50,4
22,40,True,False,55,19.90,5
23,29,True,False,34,13.30,4
24,64,True,False,99,34.00,5
25,35,True,False,48,18.20,4
26,51,True,False,69,24.30,5
27,47,True,False,66,24.70,5
28,53,True,False,76,27.40,5
29,41,True,False,66,25.30,5
30,44,True,True,93,32.30,6
31,58,True,False,86,31.30,5
32,48,True,False,78,29.00,5
33,44,True,False,57,20.60,4
34,64,True,True,96,31.70,6
35,33,True,False,55,21.70,4
36,47,True,False,91,33.50,5
37,49,True,False,70,25.60,5
38,51,True,False,64,22.10,5
39,30,True,False,41,16.50,4
40,46,True,False,69,24.80,5
41,51,True,False,73,26.50,5
42,35,True,False,57,21.50,4
43,50,True,False,75,26.60,5
44,42,True,False,65,23.00,5
45,43,True,False,64,24.00,5
46,47,True,False,74,26.90,5
47,27,True,False,41,15.70,4
48,33,True,False,41,16.20,4
49,41,True,False,68,25.30,5
50,31,True,False,35,13.10,4
51,26,True,False,38,15.80,4
52,35,True,False,50,19.30,4
53,38,True,False,54,20.10,5
54,43,True,False,59,20.70,5
55,29,True,False,38,15.50,4
56,25,True,False,34,13.70,4
57,40,True,False,52,19.90,4
58,57,True,False,74,25.90,5
59,50,True,False,71,25.50,5
60,50,True,True,91,30.70,6
61,53,True,True,94,32.70,6
62,74,True,False,78,26.40,5
63,65,True,True,95,31.60,6
64,54,True,False,71,25.10,5
65,30,True,False,37,14.30,4
66,40,True,False,45,16.60,4
67,39,True,False,60,22.20,5
68,40,True,False,72,26.50,5
69,49,True,False,74,26.70,5
70,26,True,False,35,13.60,4
71,33,True,False,28,9.60,4
72,43,True,False,53,19.60,4
73,33,True,False,43,16.20,4
74,52,True,False,82,29.70,5
75,60,True,False,77,27.80,5
76,23,True,False,28,10.60,4
77,43,True,False,68,25.10,5
78,18,True,False,14,5.60,3
79,50,True,False,72,25.50,5
80,70,True,True,92,30.00,6
81,34,True,False,40,15.00,4
82,51,True,False,75,27.60,5
83,46,True,True,92,31.30,6
84,52,True,False,86,31.90,5
85,37,True,False,35,12.50,4
86,34,True,False,43,16.10,4
87,54,True,False,89,31.70,5
88,49,True,False,77,28.90,5
89,33,True,False,60,21.70,5
90,53,True,True,96,32.80,6
91,51,True,False,72,25.40,5
92,41,True,True,88,29.50,6
93,45,True,False,71,27.10,5
94,32,True,False,50,19.60,4
95,29,True,False,41,16.60,4
96,52,True,False,72,25.30,5
97,32,True,False,50,18.50,4
98,30,True,False,39,15.40,4
99,22,True,False,29,11.80,4
100,35,True,False,56,21.50,4
101,50,True,False,84,31.00,5
102,19,True,False,23,9.90,3
103,58,True,True,115,40.90,6
104,47,True,True,100,35.50,6
105,42,True,False,70,26.30,5
106,25,True,False,29,11.50,4
107,23,True,False,33,12.80,4
108,46,True,False,73,27.00,5
109,28,True,False,37,14.50,4
110,46,True,False,71,25.90,5
111,54,True,False,83,29.50,5
112,28,True,False,27,10.10,4
113,35,True,False,47,18.20,4
114,47,True,False,67,24.70,5
115,69,True,True,86,26.70,6
116,33,True,False,44,16.20,4
117,36,True,False,32,11.50,4
118,35,True,False,53,19.30,5
119,44,True,False,77,29.40,5
120,50,True,False,82,29.90,5
121,41,True,False,52,18.70,4
122,46,True,False,52,19.30,4
123,42,True,False,76,27.40,5
124,34,True,False,55,20.50,5
125,33,True,False,53,19.50,5
126,52,True,False,82,30.80,5
127,56,True,True,111,39.10,6
128,37,True,False,62,22.40,5
129,71,True,False,110,38.80,5
130,43,True,False,67,24.00,5
131,51,True,False,66,24.30,4
132,35,True,False,58,20.40,5
133,37,True,False,51,18.00,5
134,51,True,False,78,27.60,5
135,39,True,False,58,21.10,5
136,50,True,False,77,28.80,5
137,53,True,False,80,28.50,5
138,49,True,False,70,24.50,5
139,49,True,False,74,26.70,5
140,33,True,False,57,20.60,5
141,45,True,False,70,26.00,5
142,45,True,False,64,23.80,5
143,53,True,True,93,31.50,6
144,31,True,False,35,13.10,4
145,47,True,False,61,21.40,5
146,57,True,False,89,32.50,5
147,50,True,False,80,28.80,5
148,21,True,False,20,8.60,3
149,40,True,False,49,18.80,4
150,44,True,False,65,22.80,5
151,30,True,False,37,14.30,4
152,46,True,False,69,24.80,5
153,86,True,False,75,24.10,5
154,21,True,False,13,5.30,3
155,49,True,False,60,21.20,5
156,64,True,True,109,38.30,6
157,57,True,True,95,32.30,6
158,28,True,False,36,13.40,4
159,39,True,False,69,25.50,5
160,28,True,False,37,14.50,4
161,47,True,False,71,25.80,5
162,56,True,False,55,18.30,5
163,46,True,False,75,28.10,5
164,32,True,False,30,10.80,4
165,40,True,False,75,28.70,5
166,42,True,False,45,16.40,4
167,43,True,False,43,16.30,4
168,32,True,False,32,11.90,4
169,49,True,False,72,25.60,5
170,52,True,True,95,32.90,6
171,40,True,False,69,25.40,5
172,23,True,False,22,8.40,4
173,29,True,False,32,12.20,4
174,40,True,False,44,15.50,4
175,21,True,False,15,6.40,3
176,36,True,False,55,20.30,5
177,51,True,False,69,24.30,5
178,49,True,False,73,26.70,5
179,25,True,False,30,11.50,4
180,50,True,False,82,29.90,5
181,53,True,False,76,26.30,5
182,53,True,False,73,26.30,5
