,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,11.20,5
1,26,True,False,34,8.60,4
2,43,True,False,58,12.70,5
3,22,True,False,32,6.90,4
4,40,True,False,71,13.40,5
5,55,True,False,93,12.90,5
6,48,True,False,73,12.80,5
7,53,True,False,76,12.40,5
8,48,True,False,71,12.70,5
9,28,True,False,39,8.60,4
10,50,True,False,80,10.80,5
11,49,True,False,68,12.50,5
12,46,True,False,61,7.60,4
13,48,True,False,77,13.00,5
14,46,True,False,72,12.90,5
15,36,True,False,47,8.10,4
16,25,True,False,29,8.50,4
17,40,True,False,64,13.30,5
18,28,True,False,37,8.50,4
19,45,True,False,62,12.60,5
20,56,True,False,71,11.90,5
21,30,True,False,41,8.50,4
22,40,True,False,55,12.90,5
23,29,True,False,34,8.30,4
24,64,True,False,99,12.00,5
25,35,True,False,48,8.20,4
26,51,True,False,69,12.30,5
27,47,True,False,66,12.70,5
28,53,True,False,76,12.40,5
29,41,True,False,66,13.30,5
30,44,True,True,93,19.30,6
31,58,True,False,86,12.30,5
32,48,True,False,78,13.00,5
33,44,True,False,57,7.60,4
34,64,True,True,96,17.70,6
35,33,True,False,55,8.70,4
36,47,True,False,91,13.50,5
37,49,True,False,70,12.60,5
38,51,True,False,64,12.10,5
39,30,True,False,41,8.50,4
40,46,True,False,69,12.80,5
41,51,True,False,73,12.50,5
42,35,True,False,57,8.50,4
43,50,True,False,75,12.60,5
44,42,True,False,65,13.00,5
45,43,True,False,64,13.00,5
46,47,True,False,74,12.90,5
47,27,True,False,41,8.70,4
48,33,True,False,41,8.20,4
49,41,True,False,68,13.30,5
50,31,True,False,35,8.10,4
51,26,True,False,38,8.80,4
52,35,True,False,50,8.30,4
53,38,True,False,54,13.10,5
54,43,True,False,59,10.70,5
55,29,True,False,38,8.50,4
56,25,True,False,34,8.70,4
57,40,True,False,52,7.90,4
58,57,True,False,74,11.90,5
59,50,True,False,71,12.50,5
60,50,True,True,91,18.70,6
61,53,True,True,94,18.70,6
62,74,True,False,78,10.40,5
63,65,True,True,95,17.60,6
64,54,True,False,71,12.10,5
65,30,True,False,37,8.30,4
66,40,True,False,45,7.60,4
67,39,True,False,60,13.20,5
68,40,True,False,72,13.50,5
69,49,True,False,74,12.70,5
70,26,True,False,35,8.60,4
71,33,True,False,28,5.60,4
72,43,True,False,53,7.60,4
73,33,True,False,43,8.20,4
74,52,True,False,82,12.70,5
75,60,True,False,77,11.80,5
76,23,True,False,28,8.60,4
77,43,True,False,68,13.10,5
78,18,True,False,14,4.60,3
79,50,True,False,72,12.50,5
80,70,True,True,92,17.00,6
81,34,True,False,40,8.00,4
82,51,True,False,75,12.60,5
83,46,True,True,92,19.30,6
84,52,True,False,86,12.90,5
85,37,True,False,35,7.50,4
86,34,True,False,43,8.10,4
87,54,True,False,89,12.70,5
88,49,True,False,77,12.90,5
89,33,True,False,60,13.70,5
90,53,True,True,96,18.80,6
91,51,True,False,72,12.40,5
92,41,True,True,88,19.50,6
93,45,True,False,71,13.10,5
94,32,True,False,50,8.60,4
95,29,True,False,41,8.60,4
96,52,True,False,72,12.30,5
97,32,True,False,50,8.50,4
