,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,15,5
1,26,True,False,34,7,4
2,43,True,False,58,18,5
3,22,True,False,32,7,4
4,40,True,False,71,19,5
5,55,True,False,93,19,5
6,48,True,False,73,19,5
7,53,True,False,76,16,5
8,48,True,False,71,19,5
9,28,True,False,39,7,4
10,50,True,False,80,16,5
11,49,True,False,68,18,5
12,46,True,False,61,13,4
13,48,True,False,77,16,5
14,46,True,False,72,22,5
15,36,True,False,47,10,4
16,25,True,False,29,7,4
17,40,True,False,64,12,5
18,28,True,False,37,7,4
19,45,True,False,62,15,5
20,56,True,False,71,22,5
21,30,True,False,41,10,4
22,40,True,False,55,15,5
23,29,True,False,34,10,4
24,64,True,False,99,16,5
25,35,True,False,48,10,4
26,51,True,False,69,18,5
27,47,True,False,66,15,5
28,53,True,False,76,18,5
29,41,True,False,66,12,5
30,44,True,True,93,24,6
31,58,True,False,86,15,5
32,48,True,False,78,12,5
33,44,True,False,57,10,4
34,64,True,True,96,18,6
35,33,True,False,55,7,4
36,47,True,False,91,19,5
37,49,True,False,70,19,5
38,51,True,False,64,19,5
39,30,True,False,41,7,4
40,46,True,False,69,19,5
41,51,True,False,73,18,5
42,35,True,False,57,13,4
43,50,True,False,75,22,5
44,42,True,False,65,19,5
45,43,True,False,64,15,5
46,47,True,False,74,18,5
47,27,True,False,41,10,4
48,33,True,False,41,10,4
49,41,True,False,68,19,5
50,31,True,False,35,7,4
51,26,True,False,38,10,4
52,35,True,False,50,10,4
53,38,True,False,54,18,5
54,43,True,False,59,16,5
55,29,True,False,38,10,4
56,25,True,False,34,7,4
57,40,True,False,52,7,4
58,57,True,False,74,19,5
59,50,True,False,71,16,5
60,50,True,True,91,18,6
61,53,True,True,94,24,6
62,74,True,False,78,18,5
63,65,True,True,95,28,6
64,54,True,False,71,15,5
65,30,True,False,37,10,4
66,40,True,False,45,10,4
67,39,True,False,60,12,5
68,40,True,False,72,16,5
69,49,True,False,74,16,5
70,26,True,False,35,7,4
71,33,True,False,28,10,4
72,43,True,False,53,7,4
73,33,True,False,43,10,4
74,52,True,False,82,16,5
75,60,True,False,77,12,5
76,23,True,False,28,7,4
77,43,True,False,68,19,5
78,18,True,False,14,3,3
79,50,True,False,72,16,5
80,70,True,True,92,22,6
81,34,True,False,40,10,4
82,51,True,False,75,22,5
83,46,True,True,92,22,6
84,52,True,False,86,28,5
85,37,True,False,35,10,4
86,34,True,False,43,7,4
87,54,True,False,89,22,5
88,49,True,False,77,22,5
89,33,True,False,60,22,5
90,53,True,True,96,31,6
91,51,True,False,72,19,5
92,41,True,True,88,25,6
93,45,True,False,71,15,5
94,32,True,False,50,13,4
95,29,True,False,41,7,4
96,52,True,False,72,19,5
97,32,True,False,50,10,4
98,30,True,False,39,10,4
99,55,True,True,101,28,6
