,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,14.20,5
1,26,True,False,34,6.60,4
2,43,True,False,58,16.70,5
3,22,True,False,32,6.90,4
4,40,True,False,71,18.40,5
5,55,True,False,93,17.90,5
6,48,True,False,73,17.80,5
7,53,True,False,76,14.40,5
8,48,True,False,71,17.70,5
9,28,True,False,39,6.60,4
10,50,True,False,80,14.80,5
11,49,True,False,68,16.50,5
12,46,True,False,61,11.60,4
13,48,True,False,77,15.00,5
14,46,True,False,72,20.90,5
15,36,True,False,47,9.10,4
16,25,True,False,29,6.50,4
17,40,True,False,64,11.30,5
18,28,True,False,37,6.50,4
19,45,True,False,62,13.60,5
20,56,True,False,71,19.90,5
21,30,True,False,41,9.50,4
22,40,True,False,55,13.90,5
23,29,True,False,34,9.30,4
24,64,True,False,99,14.00,5
25,35,True,False,48,9.20,4
26,51,True,False,69,16.30,5
27,47,True,False,66,13.70,5
28,53,True,False,76,16.40,5
29,41,True,False,66,11.30,5
30,44,True,True,93,23.30,6
31,58,True,False,86,13.30,5
32,48,True,False,78,11.00,5
33,44,True,False,57,8.60,4
34,64,True,True,96,15.70,6
35,33,True,False,55,6.70,4
36,47,True,False,91,18.50,5
37,49,True,False,70,17.60,5
38,51,True,False,64,17.10,5
39,30,True,False,41,6.50,4
40,46,True,False,69,17.80,5
41,51,True,False,73,16.50,5
42,35,True,False,57,12.50,4
43,50,True,False,75,20.60,5
44,42,True,False,65,18.00,5
45,43,True,False,64,14.00,5
46,47,True,False,74,16.90,5
47,27,True,False,41,9.70,4
48,33,True,False,41,9.20,4
49,41,True,False,68,18.30,5
50,31,True,False,35,6.10,4
51,26,True,False,38,9.80,4
52,35,True,False,50,9.30,4
53,38,True,False,54,17.10,5
54,43,True,False,59,14.70,5
55,29,True,False,38,9.50,4
56,25,True,False,34,6.70,4
57,40,True,False,52,5.90,4
58,57,True,False,74,16.90,5
59,50,True,False,71,14.50,5
60,50,True,True,91,16.70,6
61,53,True,True,94,22.70,6
62,74,True,False,78,14.40,5
63,65,True,True,95,25.60,6
64,54,True,False,71,13.10,5
65,30,True,False,37,9.30,4
66,40,True,False,45,8.60,4
67,39,True,False,60,11.20,5
68,40,True,False,72,15.50,5
69,49,True,False,74,14.70,5
70,26,True,False,35,6.60,4
71,33,True,False,28,8.60,4
72,43,True,False,53,5.60,4
73,33,True,False,43,9.20,4
74,52,True,False,82,14.70,5
75,60,True,False,77,9.80,5
76,23,True,False,28,6.60,4
77,43,True,False,68,18.10,5
78,18,True,False,14,2.60,3
79,50,True,False,72,14.50,5
80,70,True,True,92,19.00,6
81,34,True,False,40,9.00,4
82,51,True,False,75,20.60,5
83,46,True,True,92,21.30,6
84,52,True,False,86,26.90,5
85,37,True,False,35,8.50,4
86,34,True,False,43,6.10,4
87,54,True,False,89,20.70,5
88,49,True,False,77,20.90,5
89,33,True,False,60,21.70,5
90,53,True,True,96,29.80,6
91,51,True,False,72,17.40,5
92,41,True,True,88,24.50,6
93,45,True,False,71,14.10,5
94,32,True,False,50,12.60,4
95,29,True,False,41,6.60,4
