,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,59.97,5
1,26,True,False,34,34.01,4
2,43,True,False,58,58.08,5
3,22,True,False,32,31.95,4
4,40,True,False,71,70.99,5
5,55,True,False,93,92.94,5
6,48,True,False,73,72.87,5
7,53,True,False,76,75.98,5
8,48,True,False,71,70.91,5
9,28,True,False,39,38.97,4
10,50,True,False,80,79.95,5
11,49,True,False,68,67.98,5
12,46,True,False,61,60.87,4
13,48,True,False,77,76.93,5
14,46,True,False,72,71.97,5
15,36,True,False,47,47.09,4
16,25,True,False,29,28.98,4
17,40,True,False,64,64.05,5
18,28,True,False,37,37.03,4
19,45,True,False,62,61.98,5
20,56,True,False,71,70.99,5
21,30,True,False,41,41.01,4
22,40,True,False,55,54.95,5
23,29,True,False,34,33.96,4
24,64,True,False,99,98.99,5
25,35,True,False,48,47.90,4
26,51,True,False,69,68.96,5
27,47,True,False,66,66.00,5
28,53,True,False,76,75.98,5
29,41,True,False,66,65.98,5
30,44,True,True,93,93.07,6
31,58,True,False,86,85.89,5
32,48,True,False,78,77.93,5
33,44,True,False,57,56.99,4
34,64,True,True,96,96.01,6
35,33,True,False,55,55.00,4
36,47,True,False,91,91.04,5
37,49,True,False,70,69.92,5
38,51,True,False,64,63.98,5
39,30,True,False,41,41.05,4
40,46,True,False,69,68.91,5
41,51,True,False,73,73.04,5
42,35,True,False,57,56.96,4
43,50,True,False,75,75.01,5
44,42,True,False,65,65.03,5
45,43,True,False,64,64.06,5
46,47,True,False,74,73.96,5
47,27,True,False,41,40.96,4
48,33,True,False,41,41.00,4
49,41,True,False,68,67.88,5
50,31,True,False,35,34.96,4
51,26,True,False,38,37.99,4
52,35,True,False,50,50.04,4
53,38,True,False,54,53.97,5
54,43,True,False,59,58.92,5
55,29,True,False,38,38.04,4
56,25,True,False,34,33.94,4
57,40,True,False,52,52.05,4
58,57,True,False,74,73.96,5
59,50,True,False,71,70.95,5
60,50,True,True,91,90.95,6
61,53,True,True,94,93.96,6
62,74,True,False,78,77.99,5
63,65,True,True,95,94.80,6
64,54,True,False,71,70.91,5
65,30,True,False,37,36.97,4
66,40,True,False,45,44.95,4
67,39,True,False,60,59.90,5
68,40,True,False,72,72.01,5
69,49,True,False,74,73.92,5
70,26,True,False,35,34.99,4
71,33,True,False,28,27.98,4
72,43,True,False,53,52.92,4
73,33,True,False,43,43.00,4
74,52,True,False,82,82.07,5
75,60,True,False,77,76.87,5
76,23,True,False,28,28.00,4
77,43,True,False,68,68.02,5
78,18,True,False,14,14.07,3
79,50,True,False,72,72.05,5
80,70,True,True,92,91.91,6
81,34,True,False,40,40.13,4
82,51,True,False,75,74.92,5
83,46,True,True,92,91.89,6
84,52,True,False,86,86.09,5
85,37,True,False,35,35.02,4
86,34,True,False,43,42.93,4
87,54,True,False,89,88.95,5
88,49,True,False,77,77.14,5
89,33,True,False,60,60.02,5
90,53,True,True,96,95.88,6
91,51,True,False,72,71.98,5
92,41,True,True,88,87.96,6
93,45,True,False,71,70.96,5
94,32,True,False,50,49.97,4
95,29,True,False,41,40.94,4
96,52,True,False,72,71.91,5
97,32,True,False,50,50.05,4
98,30,True,False,39,38.95,4
99,22,True,False,29,28.93,4
100,34,True,False,53,53.05,4
101,56,True,False,89,88.99,5
102,19,True,False,22,21.90,3
103,26,True,False,29,28.97,4
104,25,True,False,37,37.02,4
105,34,True,False,53,52.93,5
106,20,True,False,27,26.97,4
107,50,True,False,73,73.01,5
108,41,True,False,69,68.96,5
109,31,True,False,41,40.96,4
110,41,True,False,73,72.96,5
111,51,True,False,65,64.86,5
112,49,True,False,74,73.92,5
113,51,True,True,100,99.88,6
114,51,True,False,62,61.84,5
115,42,True,False,66,65.89,5
116,52,True,False,54,53.67,5
117,36,True,False,48,48.03,4
118,24,True,False,32,32.03,4
119,37,True,False,44,44.02,4
120,19,True,False,13,13.02,3
121,47,True,True,93,93.02,6
122,61,True,True,107,106.78,6
123,34,True,False,47,46.91,4
124,35,True,False,53,52.90,5
125,28,True,False,41,41.03,4
126,39,True,False,65,64.94,5
127,52,True,True,93,92.97,6
128,64,True,False,82,81.95,5
129,21,True,False,24,24.04,4
130,39,True,False,69,69.02,5
131,26,True,False,29,29.01,4
132,53,True,False,80,80.04,5
133,41,True,False,46,45.90,4
134,35,True,False,53,53.02,5
135,33,True,False,46,46.00,4
136,40,True,False,48,47.91,4
137,37,True,False,67,66.90,5
138,45,True,False,71,70.94,5
139,52,True,True,93,92.89,6
140,52,True,False,81,80.95,5
141,16,True,False,14,14.01,3
142,73,True,False,90,89.80,5
143,36,True,False,43,42.97,4
144,53,True,False,82,81.96,5
145,50,True,False,76,76.03,5
146,20,True,False,23,22.97,3
147,19,True,False,11,11.06,3
148,46,True,False,69,68.87,5
149,60,True,True,104,103.91,6
150,51,True,False,68,67.88,4
151,37,True,False,44,43.92,4
152,54,True,False,75,74.83,5
153,19,True,False,18,17.98,3
154,32,True,False,48,47.97,5
155,38,True,False,59,58.89,4
156,47,True,False,66,65.92,5
157,22,True,False,27,27.03,4
158,57,True,False,75,74.78,5
159,35,True,False,52,51.90,4
160,27,True,False,26,25.94,4
161,41,True,False,64,63.96,5
162,48,True,False,73,72.99,5
163,61,True,False,99,98.94,5
164,70,True,False,100,99.91,5
165,44,True,False,49,49.15,4
166,50,True,False,65,64.87,4
167,43,True,False,69,68.98,5
168,47,True,False,39,38.98,4
169,18,True,False,18,18.01,3
170,35,True,False,41,40.88,4
171,30,True,False,34,34.05,4
172,39,True,False,61,60.82,5
173,62,True,True,102,102.03,6
174,35,True,False,48,47.92,4
175,41,True,False,69,68.98,5
176,29,True,False,46,45.98,4
177,42,True,False,76,75.89,5
178,50,True,False,68,67.87,5
179,34,True,False,32,31.97,4
180,27,True,False,39,38.92,4
181,25,True,False,26,25.94,4
182,62,True,True,105,104.89,6
183,33,True,False,39,39.00,4
184,17,True,False,18,17.94,3
185,20,True,False,25,25.01,4
186,26,True,False,38,37.95,4
187,47,True,False,56,56.00,5
188,35,True,False,44,43.80,4
189,69,True,False,78,77.94,5
190,25,True,False,34,33.96,4
191,25,True,False,34,33.98,4
192,49,True,False,72,71.84,5
193,21,True,False,30,29.92,4
194,43,True,False,57,56.96,5
195,45,True,False,78,77.98,5
196,41,True,True,88,87.98,6
197,27,True,False,39,39.00,4
198,56,True,False,74,74.01,5
199,50,True,True,94,93.97,6
200,34,True,False,39,38.97,4
201,48,True,False,71,70.95,5
202,58,True,False,84,83.93,5
203,31,True,False,45,44.96,5
204,58,True,False,75,75.17,5
205,47,True,False,64,63.96,5
206,60,True,True,104,103.89,6
207,33,True,False,41,40.98,4
208,33,True,False,41,40.92,4
209,62,True,False,89,89.07,5
