,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,50.67,5
1,26,True,False,34,28.51,4
2,43,True,False,58,49.08,5
3,22,True,False,32,26.45,4
4,40,True,False,71,60.29,5
5,55,True,False,93,78.74,5
6,48,True,False,73,61.37,5
7,53,True,False,76,63.88,5
8,48,True,False,71,62.11,5
9,28,True,False,39,33.57,4
10,50,True,False,80,68.85,5
11,49,True,False,68,58.48,5
12,46,True,False,61,51.07,4
13,48,True,False,77,66.43,5
14,46,True,False,72,61.47,5
15,36,True,False,47,40.39,4
16,25,True,False,29,23.58,4
17,40,True,False,64,55.05,5
18,28,True,False,37,31.83,4
19,45,True,False,62,53.08,5
20,56,True,False,71,58.49,5
21,30,True,False,41,33.71,4
22,40,True,False,55,46.25,5
23,29,True,False,34,27.16,4
24,64,True,False,99,85.69,5
25,35,True,False,48,39.90,4
26,51,True,False,69,59.56,5
27,47,True,False,66,56.90,5
28,53,True,False,76,66.38,5
29,41,True,False,66,55.88,5
30,44,True,True,93,80.17,6
31,58,True,False,86,72.99,5
32,48,True,False,78,66.93,5
33,44,True,False,57,48.59,4
34,64,True,True,96,84.41,6
35,33,True,False,55,47.10,4
36,47,True,False,91,78.04,5
37,49,True,False,70,60.22,5
38,51,True,False,64,55.28,5
39,30,True,False,41,34.75,4
40,46,True,False,69,60.31,5
41,51,True,False,73,62.84,5
42,35,True,False,57,49.26,4
43,50,True,False,75,64.81,5
44,42,True,False,65,55.83,5
45,43,True,False,64,54.56,5
46,47,True,False,74,62.86,5
47,27,True,False,41,34.36,4
48,33,True,False,41,33.10,4
49,41,True,False,68,57.18,5
50,31,True,False,35,29.76,4
51,26,True,False,38,30.19,4
52,35,True,False,50,41.54,4
53,38,True,False,54,45.07,5
54,43,True,False,59,50.92,5
55,29,True,False,38,32.04,4
56,25,True,False,34,27.24,4
57,40,True,False,52,44.35,4
58,57,True,False,74,62.86,5
59,50,True,False,71,60.05,5
60,50,True,True,91,77.75,6
61,53,True,True,94,81.26,6
62,74,True,False,78,66.79,5
63,65,True,True,95,82.10,6
64,54,True,False,71,61.11,5
65,30,True,False,37,31.57,4
66,40,True,False,45,37.15,4
67,39,True,False,60,51.80,5
68,40,True,False,72,62.11,5
69,49,True,False,74,64.92,5
70,26,True,False,35,28.99,4
71,33,True,False,28,23.88,4
72,43,True,False,53,45.72,4
73,33,True,False,43,35.70,4
74,52,True,False,82,69.87,5
75,60,True,False,77,64.97,5
76,23,True,False,28,22.30,4
77,43,True,False,68,58.62,5
78,18,True,False,14,11.37,3
79,50,True,False,72,62.55,5
80,70,True,True,92,78.21,6
81,34,True,False,40,34.53,4
82,51,True,False,75,64.52,5
83,46,True,True,92,81.29,6
84,52,True,False,86,72.59,5
85,37,True,False,35,30.02,4
86,34,True,False,43,36.13,4
87,54,True,False,89,78.35,5
88,49,True,False,77,66.64,5
89,33,True,False,60,51.32,5
90,53,True,True,96,85.18,6
91,51,True,False,72,62.08,5
92,41,True,True,88,76.96,6
93,45,True,False,71,59.36,5
94,32,True,False,50,42.87,4
95,29,True,False,41,35.04,4
96,52,True,False,72,62.81,5
97,32,True,False,50,41.75,4
98,30,True,False,39,32.65,4
99,22,True,False,29,24.23,4
100,34,True,False,53,45.85,4
101,53,True,True,100,86.24,6
102,52,True,False,86,74.35,5
103,25,True,False,32,25.70,4
104,33,True,False,57,47.66,4
105,49,True,False,75,63.86,5
106,38,True,False,60,51.11,5
107,44,True,False,83,72.25,5
108,45,True,False,76,64.78,5
109,38,True,False,48,39.63,4
110,52,True,False,94,80.83,5
111,45,True,False,66,56.48,5
112,51,True,False,64,54.54,5
113,17,True,False,18,13.86,3
114,44,True,False,66,55.29,5
115,51,True,False,58,50.58,5
116,45,True,False,71,60.12,5
117,56,True,False,69,59.29,5
118,43,True,False,75,63.68,5
119,31,True,False,39,32.38,4
120,49,True,False,53,44.76,5
121,61,True,False,84,72.48,5
122,25,True,False,27,22.40,4
123,28,True,False,41,33.49,4
124,31,True,False,39,32.88,4
125,47,True,False,75,64.16,5
126,47,True,False,73,62.84,5
127,37,True,False,55,45.62,5
128,34,True,False,53,43.81,5
129,30,True,False,39,33.03,4
130,46,True,False,73,62.81,5
131,47,True,False,62,53.52,5
132,41,True,False,74,62.44,5
133,24,True,False,35,29.67,4
134,44,True,False,71,60.69,5
135,44,True,False,57,47.29,4
136,22,True,False,28,22.95,4
137,53,True,False,59,50.86,4
138,51,True,False,74,63.38,5
139,50,True,True,94,82.83,6
140,29,True,False,43,35.34,4
141,34,True,False,50,42.13,4
142,57,True,False,91,78.30,5
143,30,True,False,43,36.23,4
144,47,True,True,86,75.42,6
145,21,True,False,21,17.16,3
