,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,59.17,5
1,26,True,False,34,33.61,4
2,43,True,False,58,56.78,5
3,22,True,False,32,31.85,4
4,40,True,False,71,70.39,5
5,55,True,False,93,91.84,5
6,48,True,False,73,71.67,5
7,53,True,False,76,74.38,5
8,48,True,False,71,69.61,5
9,28,True,False,39,38.57,4
10,50,True,False,80,78.75,5
11,49,True,False,68,66.48,5
12,46,True,False,61,59.47,4
13,48,True,False,77,75.93,5
14,46,True,False,72,70.87,5
15,36,True,False,47,46.19,4
16,25,True,False,29,28.48,4
17,40,True,False,64,63.35,5
18,28,True,False,37,36.53,4
19,45,True,False,62,60.58,5
20,56,True,False,71,68.89,5
21,30,True,False,41,40.51,4
22,40,True,False,55,53.85,5
23,29,True,False,34,33.26,4
24,64,True,False,99,96.99,5
25,35,True,False,48,47.10,4
26,51,True,False,69,67.26,5
27,47,True,False,66,64.70,5
28,53,True,False,76,74.38,5
29,41,True,False,66,65.28,5
30,44,True,True,93,92.37,6
31,58,True,False,86,84.19,5
32,48,True,False,78,76.93,5
33,44,True,False,57,55.59,4
34,64,True,True,96,93.71,6
35,33,True,False,55,54.70,4
36,47,True,False,91,90.54,5
37,49,True,False,70,68.52,5
38,51,True,False,64,62.08,5
39,30,True,False,41,40.55,4
40,46,True,False,69,67.71,5
41,51,True,False,73,71.54,5
42,35,True,False,57,56.46,4
43,50,True,False,75,73.61,5
44,42,True,False,65,64.03,5
45,43,True,False,64,63.06,5
46,47,True,False,74,72.86,5
47,27,True,False,41,40.66,4
48,33,True,False,41,40.20,4
49,41,True,False,68,67.18,5
50,31,True,False,35,34.06,4
51,26,True,False,38,37.79,4
52,35,True,False,50,49.34,4
53,38,True,False,54,53.07,5
54,43,True,False,59,57.62,5
55,29,True,False,38,37.54,4
56,25,True,False,34,33.64,4
57,40,True,False,52,50.95,4
58,57,True,False,74,71.86,5
59,50,True,False,71,69.45,5
