,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,49.87,5
1,26,True,False,34,28.11,4
2,43,True,False,58,47.78,5
3,22,True,False,32,26.35,4
4,40,True,False,71,59.69,5
5,55,True,False,93,77.64,5
6,48,True,False,73,60.17,5
7,53,True,False,76,62.28,5
8,48,True,False,71,60.81,5
9,28,True,False,39,33.17,4
10,50,True,False,80,67.65,5
11,49,True,False,68,56.98,5
12,46,True,False,61,49.67,4
13,48,True,False,77,65.43,5
14,46,True,False,72,60.37,5
15,36,True,False,47,39.49,4
16,25,True,False,29,23.08,4
17,40,True,False,64,54.35,5
18,28,True,False,37,31.33,4
19,45,True,False,62,51.68,5
20,56,True,False,71,56.39,5
21,30,True,False,41,33.21,4
22,40,True,False,55,45.15,5
23,29,True,False,34,26.46,4
24,64,True,False,99,83.69,5
25,35,True,False,48,39.10,4
26,51,True,False,69,57.86,5
27,47,True,False,66,55.60,5
28,53,True,False,76,64.78,5
29,41,True,False,66,55.18,5
30,44,True,True,93,79.47,6
31,58,True,False,86,71.29,5
32,48,True,False,78,65.93,5
33,44,True,False,57,47.19,4
34,64,True,True,96,82.11,6
35,33,True,False,55,46.80,4
36,47,True,False,91,77.54,5
37,49,True,False,70,58.82,5
38,51,True,False,64,53.38,5
39,30,True,False,41,34.25,4
40,46,True,False,69,59.11,5
41,51,True,False,73,61.34,5
42,35,True,False,57,48.76,4
43,50,True,False,75,63.41,5
44,42,True,False,65,54.83,5
45,43,True,False,64,53.56,5
46,47,True,False,74,61.76,5
47,27,True,False,41,34.06,4
48,33,True,False,41,32.30,4
49,41,True,False,68,56.48,5
50,31,True,False,35,28.86,4
51,26,True,False,38,29.99,4
52,35,True,False,50,40.84,4
53,38,True,False,54,44.17,5
54,43,True,False,59,49.62,5
55,29,True,False,38,31.54,4
56,25,True,False,34,26.94,4
57,40,True,False,52,43.25,4
58,57,True,False,74,60.76,5
59,50,True,False,71,58.55,5
60,50,True,True,91,76.45,6
61,53,True,True,94,79.96,6
62,74,True,False,78,63.19,5
63,65,True,True,95,79.70,6
64,54,True,False,71,59.21,5
65,30,True,False,37,30.87,4
66,40,True,False,45,35.75,4
67,39,True,False,60,51.00,5
68,40,True,False,72,61.61,5
69,49,True,False,74,63.62,5
70,26,True,False,35,28.59,4
71,33,True,False,28,22.48,4
72,43,True,False,53,44.32,4
73,33,True,False,43,34.90,4
74,52,True,False,82,68.57,5
75,60,True,False,77,62.77,5
76,23,True,False,28,21.90,4
77,43,True,False,68,57.72,5
78,18,True,False,14,10.97,3
79,50,True,False,72,61.05,5
80,70,True,True,92,75.21,6
81,34,True,False,40,33.53,4
82,51,True,False,75,63.12,5
83,46,True,True,92,80.59,6
84,52,True,False,86,71.49,5
85,37,True,False,35,28.52,4
86,34,True,False,43,35.23,4
87,54,True,False,89,77.05,5
88,49,True,False,77,65.54,5
89,33,True,False,60,51.02,5
90,53,True,True,96,83.98,6
91,51,True,False,72,60.48,5
92,41,True,True,88,76.46,6
93,45,True,False,71,58.46,5
94,32,True,False,50,42.47,4
95,29,True,False,41,34.64,4
96,52,True,False,72,61.11,5
97,32,True,False,50,41.25,4
98,30,True,False,39,32.05,4
99,22,True,False,29,24.03,4
100,34,True,False,53,45.35,4
101,56,True,False,89,74.49,5
102,19,True,False,22,17.90,3
103,43,True,False,62,51.08,5
104,22,True,False,25,20.05,4
105,55,True,False,74,61.38,5
106,24,True,False,34,28.49,4
107,20,True,False,13,9.11,3
108,52,True,True,100,86.73,6
109,27,True,False,34,26.16,4
110,46,True,False,58,47.01,5
111,30,True,False,37,31.01,4
112,41,True,False,71,60.76,5
113,46,True,False,75,63.03,5
114,43,True,False,44,35.42,4
115,47,True,False,85,71.92,5
116,49,True,False,67,57.34,5
117,69,True,False,102,84.60,5
118,34,True,False,55,45.59,5
119,35,True,False,46,37.26,4
120,31,True,False,36,29.74,4
121,40,True,False,71,59.31,5
122,50,True,False,64,53.25,5
123,29,True,False,31,24.90,4
124,30,True,False,32,25.63,4
125,53,True,False,76,63.20,5
126,27,True,False,29,21.88,4
127,43,True,False,73,61.22,5
128,54,True,False,79,65.91,5
129,19,True,False,18,13.94,3
130,33,True,False,45,37.32,4
131,43,True,False,73,61.92,5
132,56,True,False,71,58.31,5
133,34,True,False,59,50.49,5
134,32,True,False,37,29.51,4
135,28,True,False,48,40.51,4
136,46,True,False,71,59.47,5
137,47,True,False,69,57.92,5
138,27,True,False,35,29.28,4
139,37,True,False,40,32.14,4
140,55,True,False,82,69.18,5
141,23,True,False,30,24.66,4
142,40,True,False,42,33.63,4
143,56,True,False,67,54.43,5
144,18,True,False,23,18.29,4
145,53,True,False,79,66.34,5
146,22,True,False,22,15.97,4
147,54,True,False,76,60.81,5
148,25,True,False,32,26.14,4
149,23,True,False,34,27.68,4
150,47,True,False,59,48.74,5
151,21,True,False,20,15.94,3
152,47,True,True,95,81.98,6
153,46,True,False,77,66.15,5
154,42,True,False,64,54.33,5
155,47,True,False,74,61.80,5
156,47,True,False,73,61.60,5
157,27,True,False,32,24.36,4
158,18,True,False,11,6.67,3
159,39,True,False,45,37.48,4
160,31,True,False,45,37.16,4
161,43,True,False,60,49.90,5
162,38,True,False,57,47.39,5
163,49,True,False,87,74.40,5
164,47,True,False,84,70.74,5
165,30,True,False,30,23.59,4
166,22,True,False,27,21.23,4
167,50,True,False,75,64.03,5
168,45,True,False,71,60.72,5
169,38,True,False,55,46.33,5
170,44,True,False,55,44.97,5
171,49,True,False,75,63.08,5
172,40,True,False,64,54.17,5
173,53,True,False,76,62.42,5
174,53,True,False,75,62.24,5
175,54,True,False,60,48.49,5
176,18,True,False,17,13.41,3
177,44,True,False,69,56.65,5
178,37,True,False,65,53.80,5
179,31,True,False,50,42.16,5
180,55,True,True,86,73.28,6
181,40,True,False,60,50.83,5
182,26,True,False,36,30.05,4
183,41,True,False,67,55.86,5
184,58,True,False,86,71.79,5
185,48,True,False,78,66.39,5
186,25,True,False,34,28.08,4
187,44,True,False,63,53.33,5
188,40,True,False,71,60.49,5
189,28,True,False,20,13.93,3
190,50,True,True,88,75.69,6
191,47,True,False,81,69.44,5
192,72,True,True,110,94.55,6
193,49,True,True,96,83.08,6
194,47,True,False,78,65.08,5
195,34,True,False,36,28.31,4
196,31,True,False,39,32.18,4
197,30,True,False,39,31.91,4
198,47,True,False,71,59.28,5
199,63,True,False,108,91.98,5
200,41,True,False,54,45.48,5
201,41,True,False,48,38.98,5
202,50,True,False,71,59.01,5
203,33,True,False,41,34.08,4
204,34,True,False,48,40.21,4
205,36,True,False,46,36.99,4
206,52,True,False,80,68.31,5
207,31,True,False,43,35.40,4
208,40,True,False,72,61.93,5
209,55,True,True,103,88.08,6
210,40,True,False,75,64.25,5
211,29,True,False,34,26.84,4
212,32,True,False,41,33.11,4
213,49,True,False,69,57.78,5
214,22,True,False,28,23.53,4
215,26,True,False,34,28.17,4
216,38,True,False,51,43.97,5
217,38,True,False,58,49.97,5
218,39,True,False,61,52.60,5
219,60,True,False,80,67.19,5
220,35,True,False,60,50.02,5
221,34,True,False,52,43.33,5
222,24,True,False,30,24.45,4
223,29,True,False,36,30.04,4
224,33,True,False,48,40.58,4
225,58,True,False,60,48.59,5
226,46,True,False,69,57.29,5
227,52,True,False,73,60.03,5
228,14,True,False,11,8.29,3
229,48,True,False,71,60.13,5
230,37,True,False,41,32.70,4
231,25,True,False,39,32.18,4
232,28,True,False,38,30.71,4
233,45,True,False,66,54.54,5
234,48,True,False,69,57.57,5
235,52,True,True,98,85.35,6
236,44,True,False,71,60.71,5
237,63,True,False,82,70.10,5
238,39,True,False,55,45.68,5
239,33,True,False,39,32.10,4
240,44,True,False,57,48.59,5
241,53,True,False,91,78.44,5
242,46,True,False,75,64.25,5
243,46,True,False,74,63.31,5
244,49,True,False,80,67.60,5
245,17,True,False,13,9.76,3
246,46,True,False,73,61.77,5
247,45,True,False,50,40.06,4
248,51,True,False,78,65.28,5
249,40,True,False,64,54.33,5
250,43,True,False,58,48.32,5
251,29,True,False,39,31.38,4
252,29,True,False,43,36.98,4
253,30,True,False,47,38.51,4
254,36,True,False,51,42.89,5
255,54,True,True,96,83.35,6
256,76,True,False,94,78.53,5
257,34,True,False,35,27.95,4
258,43,True,False,60,49.60,4
259,54,True,False,89,76.47,5
260,38,True,False,58,48.89,4
261,43,True,False,67,56.60,5
262,41,True,False,36,27.98,4
263,46,True,False,67,57.19,5
264,50,True,False,61,50.41,4
265,34,True,False,31,24.63,4
266,23,True,False,25,20.02,4
267,36,True,False,50,40.73,4
268,42,True,False,39,29.77,4
269,55,True,False,86,71.66,5
270,39,True,False,67,56.30,5
271,29,True,False,53,44.30,5
272,58,True,False,74,61.87,5
273,33,True,False,50,42.22,4
274,21,True,False,29,23.62,4
275,47,True,False,89,76.86,5
276,39,True,False,44,34.78,4
277,49,True,False,77,66.08,5
278,69,True,False,73,58.96,5
279,58,True,False,87,72.13,5
280,33,True,False,39,30.86,4
281,26,True,False,31,25.17,4
282,76,True,False,89,74.55,5
283,30,True,False,41,33.53,4
284,30,True,False,41,33.25,4
285,46,True,False,85,72.85,5
