,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,59.20,5
1,26,True,False,34,33.60,4
2,43,True,False,58,56.70,5
3,22,True,False,32,31.90,4
4,40,True,False,71,70.40,5
5,55,True,False,93,91.90,5
6,48,True,False,73,71.80,5
7,53,True,False,76,74.40,5
8,48,True,False,71,69.70,5
9,28,True,False,39,38.60,4
10,50,True,False,80,78.80,5
11,49,True,False,68,66.50,5
12,46,True,False,61,59.60,4
13,48,True,False,77,76.00,5
14,46,True,False,72,70.90,5
15,36,True,False,47,46.10,4
16,25,True,False,29,28.50,4
17,40,True,False,64,63.30,5
18,28,True,False,37,36.50,4
19,45,True,False,62,60.60,5
20,56,True,False,71,68.90,5
21,30,True,False,41,40.50,4
22,40,True,False,55,53.90,5
23,29,True,False,34,33.30,4
24,64,True,False,99,97.00,5
25,35,True,False,48,47.20,4
26,51,True,False,69,67.30,5
27,47,True,False,66,64.70,5
28,53,True,False,76,74.40,5
29,41,True,False,66,65.30,5
30,44,True,True,93,92.30,6
31,58,True,False,86,84.30,5
32,48,True,False,78,77.00,5
33,44,True,False,57,55.60,4
34,64,True,True,96,93.70,6
35,33,True,False,55,54.70,4
36,47,True,False,91,90.50,5
37,49,True,False,70,68.60,5
38,51,True,False,64,62.10,5
39,30,True,False,41,40.50,4
40,46,True,False,69,67.80,5
41,51,True,False,73,71.50,5
42,35,True,False,57,56.50,4
43,50,True,False,75,73.60,5
44,42,True,False,65,64.00,5
45,43,True,False,64,63.00,5
46,47,True,False,74,72.90,5
47,27,True,False,41,40.70,4
48,33,True,False,41,40.20,4
49,41,True,False,68,67.30,5
50,31,True,False,35,34.10,4
51,26,True,False,38,37.80,4
52,35,True,False,50,49.30,4
53,38,True,False,54,53.10,5
54,43,True,False,59,57.70,5
55,29,True,False,38,37.50,4
56,25,True,False,34,33.70,4
57,40,True,False,52,50.90,4
58,57,True,False,74,71.90,5
59,50,True,False,71,69.50,5
60,50,True,True,91,89.70,6
61,53,True,True,94,92.70,6
62,74,True,False,78,74.40,5
63,65,True,True,95,92.60,6
64,54,True,False,71,69.10,5
65,30,True,False,37,36.30,4
66,40,True,False,45,43.60,4
67,39,True,False,60,59.20,5
68,40,True,False,72,71.50,5
69,49,True,False,74,72.70,5
70,26,True,False,35,34.60,4
71,33,True,False,28,26.60,4
72,43,True,False,53,51.60,4
73,33,True,False,43,42.20,4
74,52,True,False,82,80.70,5
75,60,True,False,77,74.80,5
76,23,True,False,28,27.60,4
77,43,True,False,68,67.10,5
78,18,True,False,14,13.60,3
79,50,True,False,72,70.50,5
80,70,True,True,92,89.00,6
81,34,True,False,40,39.00,4
82,51,True,False,75,73.60,5
83,46,True,True,92,91.30,6
84,52,True,False,86,84.90,5
85,37,True,False,35,33.50,4
86,34,True,False,43,42.10,4
87,54,True,False,89,87.70,5
88,49,True,False,77,75.90,5
89,33,True,False,60,59.70,5
90,53,True,True,96,94.80,6
91,51,True,False,72,70.40,5
92,41,True,True,88,87.50,6
93,45,True,False,71,70.10,5
94,32,True,False,50,49.60,4
95,29,True,False,41,40.60,4
96,52,True,False,72,70.30,5
97,32,True,False,50,49.50,4
98,30,True,False,39,38.40,4
99,22,True,False,29,28.80,4
100,34,True,False,53,52.50,4
101,56,True,False,89,87.60,5
102,19,True,False,22,21.90,3
103,26,True,False,29,28.40,4
104,25,True,False,37,36.80,4
105,34,True,False,53,52.40,5
106,20,True,False,27,26.90,4
107,50,True,False,73,71.60,5
108,41,True,False,69,68.30,5
109,44,True,False,68,67.00,5
110,41,True,False,73,72.50,5
111,44,True,True,91,90.50,6
112,28,True,False,39,38.60,4
113,51,True,True,98,97.00,6
114,60,True,False,90,88.10,5
115,38,True,False,43,41.70,4
116,24,True,False,35,34.80,4
117,22,True,False,32,31.90,4
118,67,True,False,94,91.60,5
119,45,True,False,73,72.10,5
120,22,True,False,27,26.70,4
121,30,True,False,41,40.40,4
122,39,True,False,69,68.50,5
123,61,True,False,76,73.60,5
124,35,True,False,49,48.10,5
125,34,True,False,44,43.10,4
126,44,True,False,71,70.10,5
127,64,True,True,126,124.90,6
128,53,True,False,73,71.30,5
129,24,True,False,33,32.70,4
130,57,True,False,89,87.40,5
131,28,True,False,36,35.50,4
132,24,True,False,34,33.80,4
133,32,True,False,45,44.40,4
134,43,True,False,76,75.30,5
135,29,True,False,34,33.30,4
136,42,True,False,64,63.00,5
137,37,True,False,51,50.10,4
138,48,True,True,91,90.00,6
139,46,True,False,73,72.00,5
140,39,True,False,48,46.80,4
141,27,True,False,32,31.40,4
142,40,True,False,51,49.70,5
143,37,True,False,48,47.00,4
144,54,True,False,98,97.10,5
145,45,True,True,86,85.10,6
146,26,True,False,36,35.70,4
147,37,True,False,69,68.70,5
148,52,True,False,80,78.70,5
149,40,True,False,34,32.20,4
150,39,True,False,57,56.10,5
151,31,True,False,43,42.50,4
152,27,True,False,34,33.50,4
153,43,True,False,69,68.10,5
154,63,True,False,89,86.90,5
155,32,True,False,41,40.20,4
156,15,True,False,11,10.80,3
157,48,True,False,75,73.90,5
158,42,True,False,64,63.10,5
159,32,True,False,43,42.40,4
160,44,True,False,60,58.70,5
161,53,True,False,73,71.30,5
162,40,True,False,68,67.40,5
163,51,True,False,73,71.50,5
