,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,49.90,5
1,26,True,False,34,28.10,4
2,43,True,False,58,47.70,5
3,22,True,False,32,26.40,4
4,40,True,False,71,59.70,5
5,55,True,False,93,77.70,5
6,48,True,False,73,60.30,5
7,53,True,False,76,62.30,5
8,48,True,False,71,60.90,5
9,28,True,False,39,33.20,4
10,50,True,False,80,67.70,5
11,49,True,False,68,57.00,5
12,46,True,False,61,49.80,4
13,48,True,False,77,65.50,5
14,46,True,False,72,60.40,5
15,36,True,False,47,39.40,4
16,25,True,False,29,23.10,4
17,40,True,False,64,54.30,5
18,28,True,False,37,31.30,4
19,45,True,False,62,51.70,5
20,56,True,False,71,56.40,5
21,30,True,False,41,33.20,4
22,40,True,False,55,45.20,5
23,29,True,False,34,26.50,4
24,64,True,False,99,83.70,5
25,35,True,False,48,39.20,4
26,51,True,False,69,57.90,5
27,47,True,False,66,55.60,5
28,53,True,False,76,64.80,5
29,41,True,False,66,55.20,5
30,44,True,True,93,79.40,6
31,58,True,False,86,71.40,5
32,48,True,False,78,66.00,5
33,44,True,False,57,47.20,4
34,64,True,True,96,82.10,6
35,33,True,False,55,46.80,4
36,47,True,False,91,77.50,5
37,49,True,False,70,58.90,5
38,51,True,False,64,53.40,5
39,30,True,False,41,34.20,4
40,46,True,False,69,59.20,5
41,51,True,False,73,61.30,5
42,35,True,False,57,48.80,4
43,50,True,False,75,63.40,5
44,42,True,False,65,54.80,5
45,43,True,False,64,53.50,5
46,47,True,False,74,61.80,5
47,27,True,False,41,34.10,4
48,33,True,False,41,32.30,4
49,41,True,False,68,56.60,5
50,31,True,False,35,28.90,4
51,26,True,False,38,30.00,4
52,35,True,False,50,40.80,4
53,38,True,False,54,44.20,5
54,43,True,False,59,49.70,5
55,29,True,False,38,31.50,4
56,25,True,False,34,27.00,4
57,40,True,False,52,43.20,4
58,57,True,False,74,60.80,5
59,50,True,False,71,58.60,5
60,50,True,True,91,76.50,6
61,53,True,True,94,80.00,6
62,74,True,False,78,63.20,5
63,65,True,True,95,79.90,6
64,54,True,False,71,59.30,5
65,30,True,False,37,30.90,4
66,40,True,False,45,35.80,4
67,39,True,False,60,51.10,5
68,40,True,False,72,61.60,5
69,49,True,False,74,63.70,5
70,26,True,False,35,28.60,4
71,33,True,False,28,22.50,4
72,43,True,False,53,44.40,4
73,33,True,False,43,34.90,4
74,52,True,False,82,68.50,5
75,60,True,False,77,62.90,5
76,23,True,False,28,21.90,4
77,43,True,False,68,57.70,5
78,18,True,False,14,10.90,3
79,50,True,False,72,61.00,5
80,70,True,True,92,75.30,6
81,34,True,False,40,33.40,4
82,51,True,False,75,63.20,5
83,46,True,True,92,80.70,6
84,52,True,False,86,71.40,5
85,37,True,False,35,28.50,4
86,34,True,False,43,35.30,4
87,54,True,False,89,77.10,5
88,49,True,False,77,65.40,5
89,33,True,False,60,51.00,5
90,53,True,True,96,84.10,6
91,51,True,False,72,60.50,5
92,41,True,True,88,76.50,6
93,45,True,False,71,58.50,5
94,32,True,False,50,42.50,4
95,29,True,False,41,34.70,4
96,52,True,False,72,61.20,5
97,32,True,False,50,41.20,4
98,30,True,False,39,32.10,4
99,22,True,False,29,24.10,4
100,34,True,False,53,45.30,4
101,53,True,True,100,85.30,6
102,52,True,False,86,73.40,5
103,25,True,False,32,25.30,4
104,33,True,False,57,47.50,4
105,49,True,False,75,62.70,5
106,44,True,False,71,61.40,5
107,40,True,False,62,51.90,5
108,49,True,False,75,62.40,5
109,44,True,False,66,54.80,5
110,60,True,True,119,105.10,6
111,24,True,False,30,24.50,4
112,45,True,False,61,51.50,4
113,28,True,False,34,27.60,4
114,19,True,False,13,9.80,3
115,55,True,True,94,81.20,6
116,41,True,False,63,53.90,5
117,15,True,False,14,10.70,3
118,31,True,False,41,33.20,4
119,49,True,False,62,50.30,5
120,40,True,False,71,59.80,5
121,66,True,True,113,97.30,6
122,27,True,False,34,27.90,4
123,28,True,False,35,29.10,4
124,43,True,False,71,60.10,5
125,35,True,False,58,50.40,5
126,52,True,False,73,60.30,5
127,32,True,False,43,35.40,4
