,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,0,5
1,26,True,False,34,0,4
2,43,True,False,58,0,5
3,22,True,False,32,0,4
4,40,True,False,71,0,5
5,55,True,False,93,0,5
6,48,True,False,73,0,5
7,53,True,False,76,0,5
8,48,True,False,71,0,5
9,28,True,False,39,0,4
10,50,True,False,80,0,5
11,49,True,False,68,0,5
12,46,True,False,61,0,4
13,48,True,False,77,0,5
14,46,True,False,72,0,5
15,36,True,False,47,0,4
16,25,True,False,29,0,4
17,40,True,False,64,0,5
18,28,True,False,37,0,4
19,45,True,False,62,0,5
20,56,True,False,71,0,5
21,30,True,False,41,0,4
22,40,True,False,55,0,5
23,29,True,False,34,0,4
24,64,True,False,99,0,5
25,35,True,False,48,0,4
26,51,True,False,69,0,5
27,47,True,False,66,0,5
28,53,True,False,76,0,5
29,41,True,False,66,0,5
30,44,True,True,93,1,6
31,58,True,False,86,0,5
32,48,True,False,78,0,5
33,44,True,False,57,0,4
34,64,True,True,96,1,6
35,33,True,False,55,0,4
36,47,True,False,91,0,5
37,49,True,False,70,0,5
38,51,True,False,64,0,5
39,30,True,False,41,0,4
40,46,True,False,69,0,5
41,51,True,False,73,0,5
42,35,True,False,57,0,4
43,50,True,False,75,0,5
44,42,True,False,65,0,5
45,43,True,False,64,0,5
46,47,True,False,74,0,5
47,27,True,False,41,0,4
48,33,True,False,41,0,4
49,41,True,False,68,0,5
50,31,True,False,35,0,4
51,26,True,False,38,0,4
52,35,True,False,50,0,4
53,38,True,False,54,0,5
54,43,True,False,59,0,5
55,29,True,False,38,0,4
56,25,True,False,34,0,4
57,40,True,False,52,0,4
58,57,True,False,74,0,5
59,50,True,False,71,0,5
60,50,True,True,91,1,6
61,53,True,True,94,1,6
62,74,True,False,78,0,5
63,65,True,True,95,1,6
64,54,True,False,71,0,5
65,30,True,False,37,0,4
66,40,True,False,45,0,4
67,39,True,False,60,0,5
68,40,True,False,72,0,5
69,49,True,False,74,0,5
70,26,True,False,35,0,4
71,33,True,False,28,0,4
72,43,True,False,53,0,4
73,33,True,False,43,0,4
74,52,True,False,82,0,5
75,60,True,False,77,0,5
76,23,True,False,28,0,4
77,43,True,False,68,0,5
78,18,True,False,14,0,3
79,50,True,False,72,0,5
80,70,True,True,92,1,6
81,34,True,False,40,0,4
82,51,True,False,75,0,5
83,46,True,True,92,1,6
84,52,True,False,86,0,5
85,37,True,False,35,0,4
86,34,True,False,43,0,4
87,54,True,False,89,0,5
88,49,True,False,77,0,5
