,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,30,True,False,33,-1.09,4
1,51,True,True,97,0.90,6
2,28,True,False,35,-1.06,4
3,35,True,False,50,-1.07,4
4,38,True,False,64,-1.06,5
5,33,True,False,38,-1.09,4
6,20,True,False,13,-1.06,3
7,64,True,False,107,-1.16,5
8,18,True,False,16,-1.03,3
9,33,True,False,30,-1.13,4
10,39,True,False,48,-1.11,4
11,37,True,False,49,-1.10,4
12,53,True,True,97,0.89,6
13,18,True,False,16,-1.03,3
14,28,True,False,36,-1.05,4
15,50,True,False,78,-1.12,5
16,30,True,False,33,-1.08,4
17,51,True,False,58,-1.21,5
18,43,True,False,71,-1.08,5
19,37,True,False,57,-1.06,4
20,43,True,False,63,-1.12,5
21,36,True,False,63,-1.05,5
22,50,True,False,58,-1.20,5
23,61,True,True,100,0.82,6
24,38,True,False,58,-1.07,4
25,33,True,False,41,-1.08,4
26,38,True,False,55,-1.08,4
27,31,True,False,32,-1.10,4
28,44,True,False,64,-1.12,5
29,45,True,False,73,-1.09,5
30,49,True,False,70,-1.14,5
31,50,True,False,66,-1.17,5
32,73,True,True,129,0.80,6
33,47,True,False,77,-1.09,5
34,28,True,False,39,-1.04,4
35,43,True,False,73,-1.07,5
36,23,True,False,32,-1.02,4
37,31,True,False,44,-1.05,4
38,46,True,True,87,0.89,6
39,26,True,False,36,-1.03,4
40,27,True,False,36,-1.05,4
41,25,True,False,30,-1.05,4
42,52,True,True,98,0.88,6
43,26,True,False,31,-1.05,4
44,44,True,True,93,0.95,6
45,37,True,False,44,-1.11,4
46,51,True,False,84,-1.11,5
47,36,True,False,32,-1.15,4
48,39,True,False,63,-1.08,5
49,42,True,False,73,-1.06,5
50,47,True,False,83,-1.08,5
51,56,True,False,78,-1.19,5
52,37,True,False,57,-1.08,5
53,45,True,False,73,-1.09,5
54,42,True,False,75,-1.05,5
55,14,True,False,11,-1.01,3
56,45,True,False,71,-1.10,5
57,47,True,False,76,-1.10,5
58,53,True,False,82,-1.13,5
59,33,True,False,50,-1.06,5
60,46,True,True,93,0.94,6
61,36,True,False,57,-1.06,5
62,26,True,False,29,-1.06,4
63,42,True,False,62,-1.10,5
64,46,True,False,82,-1.07,5
65,26,True,False,34,-1.04,4
66,65,True,False,82,-1.25,5
67,58,True,False,80,-1.20,5
68,21,True,False,30,-1.01,4
69,39,True,False,30,-1.19,4
70,44,True,False,53,-1.15,4
71,26,True,False,39,-1.02,4
72,39,True,False,60,-1.08,5
73,29,True,False,18,-1.13,3
