,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,-1.80,5
1,26,True,False,34,-1.40,4
2,43,True,False,58,-2.30,5
3,22,True,False,32,-1.10,4
4,40,True,False,71,-1.60,5
5,55,True,False,93,-2.10,5
6,48,True,False,73,-2.20,5
7,53,True,False,76,-2.60,5
8,48,True,False,71,-2.30,5
9,28,True,False,39,-1.40,4
10,50,True,False,80,-2.20,5
11,49,True,False,68,-2.50,5
12,46,True,False,61,-2.40,4
13,48,True,False,77,-2.00,5
14,46,True,False,72,-2.10,5
15,36,True,False,47,-1.90,4
16,25,True,False,29,-1.50,4
17,40,True,False,64,-1.70,5
18,28,True,False,37,-1.50,4
19,45,True,False,62,-2.40,5
20,56,True,False,71,-3.10,5
21,30,True,False,41,-1.50,4
22,40,True,False,55,-2.10,5
23,29,True,False,34,-1.70,4
24,64,True,False,99,-3.00,5
25,35,True,False,48,-1.80,4
26,51,True,False,69,-2.70,5
27,47,True,False,66,-2.30,5
28,53,True,False,76,-2.60,5
29,41,True,False,66,-1.70,5
30,44,True,True,93,0.30,6
31,58,True,False,86,-2.70,5
32,48,True,False,78,-2.00,5
33,44,True,False,57,-2.40,4
34,64,True,True,96,-1.30,6
35,33,True,False,55,-1.30,4
36,47,True,False,91,-1.50,5
37,49,True,False,70,-2.40,5
38,51,True,False,64,-2.90,5
39,30,True,False,41,-1.50,4
40,46,True,False,69,-2.20,5
41,51,True,False,73,-2.50,5
42,35,True,False,57,-1.50,4
43,50,True,False,75,-2.40,5
44,42,True,False,65,-2.00,5
45,43,True,False,64,-2.00,5
46,47,True,False,74,-2.10,5
47,27,True,False,41,-1.30,4
48,33,True,False,41,-1.80,4
49,41,True,False,68,-1.70,5
50,31,True,False,35,-1.90,4
51,26,True,False,38,-1.20,4
52,35,True,False,50,-1.70,4
53,38,True,False,54,-1.90,5
54,43,True,False,59,-2.30,5
55,29,True,False,38,-1.50,4
56,25,True,False,34,-1.30,4
57,40,True,False,52,-2.10,4
58,57,True,False,74,-3.10,5
59,50,True,False,71,-2.50,5
60,50,True,True,91,-0.30,6
61,53,True,True,94,-0.30,6
62,74,True,False,78,-4.60,5
63,65,True,True,95,-1.40,6
64,54,True,False,71,-2.90,5
65,30,True,False,37,-1.70,4
66,40,True,False,45,-2.40,4
67,39,True,False,60,-1.80,5
68,40,True,False,72,-1.50,5
69,49,True,False,74,-2.30,5
70,26,True,False,35,-1.40,4
71,33,True,False,28,-2.40,4
72,43,True,False,53,-2.40,4
73,33,True,False,43,-1.80,4
74,52,True,False,82,-2.30,5
75,60,True,False,77,-3.20,5
76,23,True,False,28,-1.40,4
77,43,True,False,68,-1.90,5
78,18,True,False,14,-1.40,3
79,50,True,False,72,-2.50,5
80,70,True,True,92,-2.00,6
81,34,True,False,40,-2.00,4
82,51,True,False,75,-2.40,5
83,46,True,True,92,0.30,6
84,52,True,False,86,-2.10,5
85,37,True,False,35,-2.50,4
86,34,True,False,43,-1.90,4
87,54,True,False,89,-2.30,5
88,49,True,False,77,-2.10,5
89,33,True,False,60,-1.30,5
90,53,True,True,96,-0.20,6
91,51,True,False,72,-2.60,5
92,41,True,True,88,0.50,6
93,45,True,False,71,-1.90,5
94,32,True,False,50,-1.40,4
95,29,True,False,41,-1.40,4
96,52,True,False,72,-2.70,5
97,32,True,False,50,-1.50,4
98,30,True,False,39,-1.60,4
99,47,True,False,69,-2.30,5
100,36,True,False,58,-1.60,5
101,69,True,False,95,-3.40,5
102,41,True,False,54,-2.10,4
103,34,True,False,46,-1.80,4
104,53,True,True,91,-0.40,6
105,43,True,False,73,-1.70,5
106,45,True,False,69,-2.10,5
107,41,True,False,64,-1.90,5
108,35,True,False,59,-1.40,5
109,33,True,False,60,-1.20,5
110,49,True,False,52,-3.00,4
111,33,True,False,43,-1.80,4
112,40,True,False,42,-2.50,4
113,42,True,False,60,-2.00,4
114,64,True,True,100,-1.20,6
115,32,True,False,35,-2.00,4
116,14,True,False,7,-1.30,3
117,42,True,False,38,-2.90,4
118,55,True,False,97,-2.10,5
119,35,True,False,50,-1.70,4
120,22,True,False,23,-1.40,3
121,43,True,False,64,-2.10,5
122,43,True,False,73,-1.70,5
123,35,True,False,59,-1.40,4
124,49,True,True,91,-0.10,6
125,54,True,True,109,0.40,6
126,27,True,False,31,-1.60,4
127,40,True,False,70,-1.50,5
128,47,True,True,98,0.40,6
129,50,True,False,63,-2.80,5
130,31,True,False,32,-2.00,4
131,23,True,False,32,-1.20,4
132,22,True,False,21,-1.50,3
133,24,True,False,36,-1.10,4
134,28,True,False,28,-1.90,4
135,45,True,False,79,-1.70,5
136,42,True,False,54,-2.30,4
