,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,-0.80,5
1,26,True,False,34,-0.40,4
2,43,True,False,58,-1.30,5
3,22,True,False,32,-0.10,4
4,40,True,False,71,-0.60,5
5,55,True,False,93,-1.10,5
6,48,True,False,73,-1.20,5
7,53,True,False,76,-1.60,5
8,48,True,False,71,-1.30,5
9,28,True,False,39,-0.40,4
10,50,True,False,80,-1.20,5
11,49,True,False,68,-1.50,5
12,46,True,False,61,-1.40,4
13,48,True,False,77,-1.00,5
14,46,True,False,72,-1.10,5
15,36,True,False,47,-0.90,4
16,25,True,False,29,-0.50,4
17,40,True,False,64,-0.70,5
18,28,True,False,37,-0.50,4
19,45,True,False,62,-1.40,5
20,56,True,False,71,-2.10,5
21,30,True,False,41,-0.50,4
22,40,True,False,55,-1.10,5
23,29,True,False,34,-0.70,4
24,64,True,False,99,-2.00,5
25,35,True,False,48,-0.80,4
26,51,True,False,69,-1.70,5
27,47,True,False,66,-1.30,5
28,53,True,False,76,-1.60,5
29,41,True,False,66,-0.70,5
30,44,True,True,93,0.30,6
31,58,True,False,86,-1.70,5
32,48,True,False,78,-1.00,5
33,44,True,False,57,-1.40,4
34,64,True,True,96,-1.30,6
35,33,True,False,55,-0.30,4
36,47,True,False,91,-0.50,5
37,49,True,False,70,-1.40,5
38,51,True,False,64,-1.90,5
39,30,True,False,41,-0.50,4
40,46,True,False,69,-1.20,5
41,51,True,False,73,-1.50,5
42,35,True,False,57,-0.50,4
43,50,True,False,75,-1.40,5
44,42,True,False,65,-1.00,5
45,43,True,False,64,-1.00,5
46,47,True,False,74,-1.10,5
47,27,True,False,41,-0.30,4
48,33,True,False,41,-0.80,4
49,41,True,False,68,-0.70,5
50,31,True,False,35,-0.90,4
51,26,True,False,38,-0.20,4
52,35,True,False,50,-0.70,4
53,38,True,False,54,-0.90,5
54,43,True,False,59,-1.30,5
55,29,True,False,38,-0.50,4
56,25,True,False,34,-0.30,4
57,40,True,False,52,-1.10,4
58,57,True,False,74,-2.10,5
59,50,True,False,71,-1.50,5
60,50,True,True,91,-0.30,6
61,53,True,True,94,-0.30,6
62,74,True,False,78,-3.60,5
63,65,True,True,95,-1.40,6
64,54,True,False,71,-1.90,5
65,30,True,False,37,-0.70,4
66,40,True,False,45,-1.40,4
67,39,True,False,60,-0.80,5
68,40,True,False,72,-0.50,5
69,49,True,False,74,-1.30,5
70,26,True,False,35,-0.40,4
71,33,True,False,28,-1.40,4
72,43,True,False,53,-1.40,4
73,33,True,False,43,-0.80,4
74,52,True,False,82,-1.30,5
75,60,True,False,77,-2.20,5
76,23,True,False,28,-0.40,4
77,43,True,False,68,-0.90,5
78,18,True,False,14,-0.40,3
79,50,True,False,72,-1.50,5
80,70,True,True,92,-2.00,6
81,34,True,False,40,-1.00,4
82,51,True,False,75,-1.40,5
83,46,True,True,92,0.30,6
84,52,True,False,86,-1.10,5
85,37,True,False,35,-1.50,4
86,34,True,False,43,-0.90,4
87,54,True,False,89,-1.30,5
88,49,True,False,77,-1.10,5
89,33,True,False,60,-0.30,5
90,53,True,True,96,-0.20,6
91,51,True,False,72,-1.60,5
92,41,True,True,88,0.50,6
93,45,True,False,71,-0.90,5
94,32,True,False,50,-0.40,4
95,29,True,False,41,-0.40,4
96,52,True,False,72,-1.70,5
97,32,True,False,50,-0.50,4
98,30,True,False,39,-0.60,4
99,53,True,True,91,-0.40,6
100,41,True,True,96,0.90,6
101,58,True,False,89,-1.60,5
102,45,True,False,39,-2.10,4
103,41,True,False,71,-0.60,5
104,47,True,False,71,-1.20,5
105,41,True,False,64,-0.80,5
106,50,True,False,66,-1.80,5
107,49,True,False,87,-0.80,5
108,40,True,False,62,-0.80,5
109,32,True,False,39,-0.80,4
110,28,True,False,44,-0.30,4
111,42,True,False,50,-1.50,5
112,28,True,False,41,-0.30,4
113,46,True,False,71,-1.10,5
114,68,True,True,97,-1.70,6
115,21,True,False,27,-0.20,4
116,32,True,False,35,-1.00,4
117,16,True,False,11,-0.30,3
118,45,True,False,76,-0.80,5
119,27,True,False,36,-0.40,4
120,39,True,False,68,-0.50,5
121,37,True,False,51,-1.00,5
122,28,True,False,39,-0.40,4
123,29,True,False,43,-0.40,4
124,39,True,False,67,-0.60,5
125,49,True,False,69,-1.50,5
126,48,True,False,78,-1.00,5
127,22,True,False,29,-0.10,3
128,37,True,False,59,-0.60,5
129,36,True,False,57,-0.60,4
130,44,True,False,73,-0.80,5
131,38,True,False,32,-1.70,4
132,42,True,False,57,-1.30,5
133,30,True,False,30,-0.90,3
134,40,True,False,66,-0.70,5
135,32,True,False,43,-0.70,4
136,34,True,False,39,-1.00,4
137,45,True,True,91,0.30,6
138,47,True,True,96,0.20,6
139,47,True,False,66,-1.40,5
140,43,True,False,44,-1.80,4
141,37,True,False,58,-0.70,5
142,51,True,False,67,-1.80,5
143,31,True,False,45,-0.50,4
144,57,True,False,78,-1.90,5
145,45,True,False,64,-1.20,5
146,50,True,False,75,-1.30,5
147,48,True,False,59,-1.70,5
148,46,True,False,66,-1.30,5
149,40,True,False,57,-1.00,5
150,61,True,False,80,-2.30,5
151,22,True,False,18,-0.60,3
152,42,True,False,64,-0.90,5
153,21,True,False,27,-0.20,4
154,41,True,False,58,-1.10,5
155,56,True,False,91,-1.30,5
156,64,True,True,105,-1.00,6
157,50,True,True,91,-0.40,6
158,31,True,False,43,-0.50,4
159,45,True,True,89,0.10,6
160,45,True,False,82,-0.60,5
161,47,True,False,68,-1.30,5
162,34,True,False,39,-1.00,4
163,39,True,False,55,-0.90,4
164,42,True,False,57,-1.10,4
165,40,True,False,39,-1.60,4
166,44,True,False,55,-1.50,4
167,42,True,False,66,-0.90,5
168,26,True,False,34,-0.40,4
169,48,True,False,89,-0.60,5
