,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,35,True,False,60,14.00,5
1,29,True,False,42,9.00,4
2,44,True,False,56,14.00,5
3,47,True,False,69,14.00,5
4,32,True,False,38,9.00,4
5,56,True,False,73,14.00,5
6,54,True,True,103,20.00,6
7,49,True,False,64,14.00,5
8,41,True,False,70,14.00,5
9,42,True,True,93,20.00,6
10,28,True,False,46,14.00,5
11,40,True,False,62,14.00,5
12,29,True,False,48,9.00,4
13,42,True,False,67,14.00,5
14,26,True,False,29,9.00,4
15,36,True,False,37,9.00,4
16,27,True,False,32,9.00,4
17,36,True,False,51,14.00,5
18,40,True,False,54,12.00,5
19,47,True,False,48,9.00,4
20,24,True,False,30,7.00,4
21,31,True,False,39,9.00,4
22,29,True,False,45,9.00,4
23,51,True,True,92,20.00,6
24,52,True,False,64,14.00,5
25,41,True,False,45,9.00,4
26,41,True,False,69,14.00,5
27,37,True,False,37,7.00,4
28,44,True,False,52,9.00,4
29,47,True,False,77,14.00,5
30,24,True,False,25,9.00,4
31,57,True,False,84,14.00,5
32,36,True,False,41,9.00,4
33,26,True,False,33,7.00,4
34,45,True,False,60,14.00,5
35,36,True,False,53,14.00,5
36,56,True,False,68,14.00,5
37,39,True,False,46,9.00,4
38,53,True,True,106,20.00,6
39,56,True,False,102,14.00,5
40,34,True,False,41,9.00,4
41,43,True,False,64,14.00,5
42,40,True,False,65,12.00,5
43,56,True,False,83,14.00,5
44,62,True,False,103,14.00,5
45,37,True,False,52,9.00,4
46,45,True,False,69,14.00,5
47,48,True,False,62,14.00,5
48,30,True,False,41,9.00,4
49,43,True,True,93,20.00,6
50,70,True,True,127,20.00,6
51,45,True,False,65,14.00,5
52,41,True,False,61,14.00,5
53,53,True,False,76,14.00,5
54,52,True,False,76,14.00,5
55,41,True,False,59,14.00,5
56,42,True,False,77,14.00,5
57,34,True,False,40,9.00,4
58,37,True,False,64,14.00,5
59,30,True,False,36,9.00,4
60,42,True,False,67,14.00,5
61,64,True,True,102,20.00,6
62,45,True,False,73,14.00,5
63,27,True,False,43,14.00,5
64,60,True,False,77,14.00,5
65,38,True,False,73,14.00,5
66,63,True,False,71,14.00,5
67,54,True,False,69,14.00,5
68,39,True,False,53,14.00,5
69,35,True,False,50,14.00,5
70,31,True,False,46,9.00,4
71,35,True,False,38,9.00,4
72,33,True,False,38,9.00,4
73,45,True,False,79,14.00,5
74,47,True,False,69,14.00,5
75,54,True,True,94,20.00,6
76,39,True,False,57,14.00,5
77,29,True,False,41,9.00,4
78,24,True,False,23,5.00,3
79,54,True,False,89,14.00,5
80,27,True,False,37,7.00,4
81,44,True,False,37,9.00,4
82,63,True,True,109,20.00,6
83,46,True,False,63,14.00,5
84,49,True,True,89,20.00,6
85,69,True,True,108,20.00,6
86,53,True,False,82,14.00,5
87,48,True,False,69,14.00,5
