,eps_len,eps_win,eps_score,eps_rewards,eps_max_tile
0,29,False,41,9.00,4
1,32,False,46,9.00,4
2,42,False,71,14.00,5
3,89,True,138,20.00,6
4,56,True,99,20.00,6
5,41,False,50,14.00,5
6,44,False,73,14.00,5
7,30,False,41,9.00,4
8,32,False,46,9.00,4
9,47,False,84,14.00,5
10,39,False,60,14.00,5
11,41,False,71,14.00,5
12,25,False,21,5.00,3
13,39,False,66,12.00,5
14,43,False,55,9.00,4
15,31,False,50,12.00,5
16,38,False,66,14.00,5
17,53,False,73,14.00,5
18,38,False,60,14.00,5
19,30,False,43,9.00,4
20,49,False,87,14.00,5
21,46,False,66,14.00,5
22,24,False,31,9.00,4
23,26,False,29,9.00,4
24,30,False,45,9.00,4
25,39,False,66,14.00,5
26,49,False,73,14.00,5
27,45,False,70,14.00,5
28,48,False,66,14.00,5
29,43,False,46,14.00,5
30,57,False,77,14.00,5
31,31,False,39,9.00,4
32,57,False,76,14.00,5
33,52,True,100,20.00,6
34,41,False,57,9.00,4
35,18,False,18,5.00,3
36,45,False,73,14.00,5
37,29,False,32,9.00,4
38,44,False,62,14.00,5
39,23,False,24,5.00,3
40,45,False,72,14.00,5
41,61,False,87,14.00,5
42,34,False,48,9.00,4
43,31,False,50,9.00,4
44,51,True,104,20.00,6
45,37,False,45,9.00,4
46,31,False,34,9.00,4
47,22,False,23,5.00,3
48,55,False,85,14.00,5
49,29,False,34,9.00,4
50,36,False,58,12.00,5
51,37,False,55,9.00,4
52,18,False,11,5.00,3
53,79,False,125,14.00,5
54,53,False,71,14.00,5
55,25,False,27,9.00,4
56,37,False,69,14.00,5
57,54,False,78,14.00,5
58,36,False,60,14.00,5
59,52,False,73,14.00,5
60,58,False,78,14.00,5
61,58,False,102,12.00,5
62,48,False,69,14.00,5
63,66,False,94,14.00,5
64,33,False,55,14.00,5
65,52,False,87,14.00,5
66,35,False,37,9.00,4
67,53,False,71,14.00,5
68,41,False,62,14.00,5
69,44,False,62,14.00,5
70,33,False,52,9.00,4
71,41,False,65,14.00,5
72,21,False,19,5.00,3
73,53,False,77,14.00,5
74,21,False,23,7.00,4
75,31,False,39,9.00,4
76,53,True,98,20.00,6
77,52,False,64,14.00,5
78,37,False,55,9.00,4
79,62,False,89,12.00,5
80,49,False,80,14.00,5
81,34,False,49,14.00,5
82,61,False,72,14.00,5
83,49,False,68,14.00,5
84,50,True,91,20.00,6
85,61,False,88,14.00,5
86,36,False,53,14.00,5
87,38,False,63,14.00,5
88,27,False,36,9.00,4
89,74,False,112,12.00,5
90,45,False,71,14.00,5
91,44,False,69,14.00,5
92,37,False,64,14.00,5
93,41,False,64,12.00,5
94,21,False,27,7.00,4
95,25,False,32,9.00,4
96,44,False,69,14.00,5
97,33,False,36,9.00,4
98,40,False,54,9.00,4
99,33,False,34,9.00,4
100,32,False,48,14.00,5
101,48,False,46,9.00,4
102,38,False,39,9.00,4
103,22,False,29,9.00,4
104,45,False,69,14.00,5
105,37,False,57,14.00,5
106,25,False,32,7.00,4
107,22,False,27,9.00,4
108,63,True,95,20.00,6
109,41,False,59,14.00,5
110,41,False,67,14.00,5
111,38,False,55,14.00,5
112,43,False,75,14.00,5
113,49,True,91,20.00,6
114,52,False,75,14.00,5
115,18,False,19,5.00,3
116,40,False,60,9.00,4
117,48,False,84,14.00,5
118,42,False,73,14.00,5
119,43,False,74,14.00,5
120,51,False,87,14.00,5
121,27,False,25,7.00,4
122,19,False,18,5.00,3
123,34,False,44,9.00,4
124,40,False,69,14.00,5
125,29,False,40,9.00,4
126,32,False,46,9.00,4
127,30,False,34,9.00,4
128,45,False,61,9.00,4
129,41,False,66,14.00,5
130,43,False,36,9.00,4
131,45,False,77,14.00,5
132,38,False,65,14.00,5
133,28,False,41,9.00,4
134,51,False,75,14.00,5
135,32,False,49,14.00,5
136,31,False,52,9.00,4
137,49,False,64,14.00,5
138,46,False,80,14.00,5
139,38,False,41,9.00,4
140,56,False,74,12.00,5
141,31,False,32,9.00,4
142,23,False,28,5.00,3
143,45,False,71,14.00,5
144,33,False,34,9.00,4
145,36,False,58,14.00,5
146,46,True,89,20.00,6
147,36,False,59,14.00,5
148,36,False,21,5.00,3
149,47,False,66,14.00,5
150,20,False,20,5.00,3
151,28,False,39,9.00,4
152,48,True,95,20.00,6
153,46,False,63,14.00,5
154,51,False,84,14.00,5
155,38,False,60,14.00,5
156,43,False,71,14.00,5
157,42,False,70,14.00,5
158,48,False,74,12.00,5
159,42,True,89,20.00,6
160,48,True,95,20.00,6
161,48,False,73,14.00,5
162,58,True,97,20.00,6
163,45,True,96,20.00,6
164,33,False,36,9.00,4
165,37,False,50,9.00,4
166,49,False,78,14.00,5
167,34,False,44,9.00,4
168,43,False,65,14.00,5
169,41,False,63,14.00,5
170,26,False,42,9.00,4
171,35,False,56,14.00,5
172,29,False,32,9.00,4
173,22,False,18,5.00,3
174,35,False,62,12.00,5
175,27,False,19,5.00,3
176,58,True,113,20.00,6
177,23,False,35,9.00,4
178,30,False,48,14.00,5
179,47,False,71,14.00,5
180,31,False,32,9.00,4
181,50,False,87,14.00,5
182,45,True,91,20.00,6
183,46,False,58,14.00,5
184,35,False,36,9.00,4
185,28,False,31,9.00,4
186,45,False,51,9.00,4
187,28,False,29,9.00,4
188,42,False,67,12.00,5
189,51,False,99,14.00,5
190,54,False,83,14.00,5
191,54,False,78,14.00,5
192,45,False,78,14.00,5
193,33,False,50,9.00,4
194,51,False,93,14.00,5
195,24,False,32,9.00,4
196,37,False,46,9.00,4
197,30,False,34,9.00,4
198,45,False,62,14.00,5
199,29,False,32,9.00,4
200,40,False,62,14.00,5
201,26,False,28,9.00,4
202,42,False,70,14.00,5
203,31,False,41,9.00,4
204,57,False,75,14.00,5
205,49,False,50,9.00,4
206,39,False,60,12.00,5
207,21,False,25,9.00,4
208,55,False,88,14.00,5
209,57,False,91,14.00,5
210,20,False,21,5.00,3
211,58,False,71,14.00,5
212,45,False,73,14.00,5
213,34,False,38,9.00,4
214,31,False,43,9.00,4
215,31,False,32,9.00,4
216,18,False,18,5.00,3
217,49,False,64,14.00,5
218,42,False,50,9.00,4
219,38,False,50,9.00,4
220,48,False,64,14.00,5
221,48,False,74,14.00,5
222,53,True,100,20.00,6
223,36,False,53,14.00,5
224,48,False,75,14.00,5
225,31,False,46,9.00,4
226,40,False,75,14.00,5
227,24,False,30,5.00,3
228,51,False,85,14.00,5
229,41,False,62,12.00,5
230,42,False,73,14.00,5
231,48,False,85,14.00,5
232,38,False,58,14.00,5
233,27,False,39,9.00,4
234,53,False,67,14.00,5
235,36,False,39,9.00,4
236,46,False,59,9.00,4
237,38,False,50,9.00,4
238,39,False,72,14.00,5
239,32,False,48,9.00,4
240,26,False,27,9.00,4
241,22,False,27,7.00,4
242,28,False,41,9.00,4
243,47,True,88,20.00,6
244,45,False,65,14.00,5
245,15,False,12,5.00,3
246,23,False,28,9.00,4
247,33,False,54,9.00,4
248,44,False,74,14.00,5
249,47,False,69,14.00,5
250,33,False,55,14.00,5
251,49,False,74,14.00,5
252,37,False,53,14.00,5
253,34,False,51,14.00,5
254,48,False,78,14.00,5
255,34,False,60,14.00,5
256,51,False,91,14.00,5
257,43,False,66,14.00,5
258,43,True,91,20.00,6
259,39,False,66,14.00,5
260,35,False,58,14.00,5
261,60,False,85,14.00,5
262,35,False,48,14.00,5
263,26,False,37,9.00,4
264,55,False,74,14.00,5
265,29,False,39,9.00,4
266,66,False,96,14.00,5
267,33,False,45,9.00,4
268,62,False,74,12.00,5
269,37,False,44,9.00,4
270,35,False,39,9.00,4
271,35,False,32,9.00,4
272,34,False,51,14.00,5
273,22,False,27,9.00,4
274,51,False,87,14.00,5
275,35,False,67,14.00,5
276,42,True,93,20.00,6
277,36,False,34,9.00,4
278,29,False,38,9.00,4
279,50,False,76,14.00,5
280,48,False,60,14.00,5
281,26,False,29,9.00,4
282,60,False,97,14.00,5
283,27,False,40,9.00,4
284,48,True,103,20.00,6
285,43,True,89,20.00,6
