,eps_len,eps_win,eps_score,eps_rewards,eps_max_tile
0,24,False,29,8.00,4
1,71,True,113,23.00,6
2,45,False,66,6.00,5
3,40,False,71,16.50,5
4,59,False,93,20.50,5
5,25,False,37,9.00,4
6,37,False,55,8.00,5
7,46,False,76,13.50,5
8,49,False,67,11.00,5
9,36,False,64,17.00,5
10,49,False,75,13.00,5
11,33,False,46,6.50,4
12,40,False,35,-2.00,4
13,31,False,46,15.00,5
14,45,True,89,24.50,6
15,57,False,71,10.00,5
16,51,False,75,4.50,5
17,64,True,109,16.00,6
18,52,False,79,18.00,5
19,21,False,27,9.00,4
20,48,False,64,5.50,4
21,28,False,34,4.00,4
22,40,False,39,-1.00,4
23,27,False,45,9.50,4
24,26,False,34,8.00,4
25,42,False,53,5.00,5
26,62,False,83,10.00,5
27,45,False,70,14.00,5
28,47,False,61,2.50,4
29,67,True,106,14.00,6
30,55,False,90,15.00,5
31,42,False,51,3.00,4
32,49,False,66,14.00,5
33,54,False,83,11.00,5
34,30,False,30,2.00,4
35,39,False,55,10.00,5
36,23,False,25,4.50,4
37,67,False,91,5.50,5
38,27,False,36,8.00,4
39,51,False,67,16.00,5
40,23,False,34,9.00,4
41,35,False,39,1.50,4
42,36,False,67,20.50,5
43,34,False,57,16.00,5
44,56,False,85,8.00,5
45,38,False,52,2.50,4
46,27,False,42,6.00,4
47,33,False,44,6.50,4
48,46,True,88,21.00,6
49,46,False,60,10.50,5
50,43,False,71,12.00,5
51,25,False,32,5.00,4
52,30,False,32,2.50,4
53,44,False,64,13.00,5
54,44,False,69,14.00,5
55,48,False,76,13.50,5
56,59,False,78,8.50,5
57,52,False,77,11.00,5
58,43,False,63,12.00,5
59,61,False,67,1.50,5
60,48,True,104,19.50,6
61,61,False,63,2.00,4
62,55,False,65,3.50,5
63,42,False,70,12.00,5
64,52,False,80,11.50,5
65,38,False,53,7.00,5
66,25,False,30,7.50,4
67,45,False,72,17.00,5
68,21,False,27,6.00,4
69,44,False,69,17.00,5
70,46,False,71,10.50,5
71,33,False,37,5.00,4
72,27,False,39,5.50,4
73,27,False,37,8.00,4
74,28,False,39,8.00,4
75,22,False,23,1.00,3
76,26,False,25,6.00,4
77,33,False,46,6.50,4
78,31,False,37,6.00,4
79,33,False,39,5.50,4
80,29,False,45,5.50,4
81,52,False,85,12.00,5
82,49,True,94,13.00,6
83,45,False,80,12.50,5
84,34,False,40,2.00,4
85,56,True,89,19.50,6
86,20,False,19,1.00,3
87,34,False,52,11.50,5
88,51,False,78,15.50,5
89,30,False,36,6.50,4
90,42,False,72,15.00,5
91,46,False,75,17.00,5
92,34,False,49,3.50,4
93,36,False,46,5.00,4
94,40,False,70,16.50,5
95,36,False,66,17.50,5
96,36,False,54,11.50,5
97,46,False,75,10.00,5
98,35,False,52,4.00,4
99,36,False,69,21.00,5
100,53,False,69,8.50,5
101,43,False,64,10.50,5
102,52,True,91,13.50,6
103,72,True,91,8.50,6
104,49,False,77,9.00,5
105,49,True,91,19.50,6
106,47,False,71,16.00,5
107,52,False,76,11.50,5
108,65,False,87,4.00,5
109,31,False,43,7.50,4
110,44,False,58,8.00,5
111,66,False,98,11.50,5
112,36,False,41,1.50,4
113,50,False,73,9.00,5
114,28,False,38,7.50,4
115,49,False,77,13.50,5
116,46,False,71,13.50,5
117,53,False,75,6.50,5
118,32,False,45,7.00,4
119,48,False,68,15.00,5
120,48,False,74,13.00,5
121,48,False,72,15.50,5
122,32,False,53,16.00,5
123,40,False,67,15.50,5
124,21,False,25,5.50,4
125,83,True,110,12.00,6
126,40,False,60,13.50,5
127,25,False,20,-1.00,3
128,30,False,37,3.50,4
129,42,False,69,18.00,5
130,47,False,67,8.50,5
