,eps_len,eps_win,eps_score,eps_rewards,eps_max_tile
0,97,False,184,184,6
1,148,False,297,297,6
2,94,False,177,177,6
3,81,False,144,144,5
4,114,True,249,249,7
5,141,True,335,335,7
6,86,True,206,206,7
7,122,True,265,265,7
8,99,True,218,218,7
9,99,False,184,184,6
10,94,False,172,172,6
11,112,False,205,205,6
12,112,True,273,273,7
13,108,True,246,246,7
14,104,True,244,244,7
15,123,True,253,253,7
16,138,True,277,277,7
17,131,False,234,234,6
18,125,True,293,293,7
19,115,False,223,223,6
20,101,True,212,212,7
21,88,False,130,130,5
22,92,True,212,212,7
23,147,False,275,275,6
24,100,True,232,232,7
25,92,True,192,192,7
26,124,True,249,249,7
27,108,False,211,211,6
28,97,False,170,170,6
29,125,True,272,272,7
30,103,False,164,164,6
31,85,False,172,172,6
32,106,True,213,213,7
33,96,True,214,214,7
34,140,True,298,298,7
35,102,True,219,219,7
36,68,False,94,94,5
37,98,False,202,202,6
38,123,False,244,244,6
39,107,False,198,198,6
40,108,True,241,241,7
41,93,True,198,198,7
42,87,False,132,132,5
43,112,True,261,261,7
44,82,False,138,138,5
45,50,False,73,73,5
46,100,False,198,198,6
47,88,True,192,192,7
48,111,False,182,182,6
49,130,True,287,287,7
50,130,True,296,296,7
51,110,True,233,233,7
52,107,False,180,180,6
53,125,False,247,247,6
54,75,False,122,122,5
55,117,True,233,233,7
56,109,False,197,197,6
57,109,False,232,232,6
58,107,False,185,185,6
59,87,True,218,218,7
60,106,True,249,249,7
61,120,True,248,248,7
62,144,True,313,313,7
63,141,True,296,296,7
64,139,True,299,299,7
65,105,True,226,226,7
66,90,False,173,173,6
67,116,False,241,241,6
68,109,False,185,185,6
69,129,True,274,274,7
70,61,False,103,103,5
71,106,True,215,215,7
72,111,True,198,198,7
73,85,True,198,198,7
74,90,False,174,174,6
75,109,False,210,210,6
76,99,True,202,202,7
77,106,False,186,186,6
78,86,True,196,196,7
79,117,False,223,223,6
80,90,False,144,144,5
81,119,False,237,237,6
82,99,True,212,212,7
83,111,False,206,206,6
84,159,False,274,274,6
85,133,True,300,300,7
86,66,False,98,98,5
87,96,False,189,189,6
88,114,False,216,216,6
89,144,True,265,265,7
90,75,False,133,133,5
91,154,False,267,267,6
92,121,True,240,240,7
93,109,True,237,237,7
94,99,False,211,211,6
95,140,False,254,254,6
96,100,False,204,204,6
97,148,False,270,270,6
98,89,True,205,205,7
99,147,False,300,300,6
100,105,True,242,242,7
101,70,False,112,112,5
102,89,True,197,197,7
103,109,True,232,232,7
104,87,False,159,159,6
105,185,False,349,349,6
106,77,False,131,131,6
107,91,True,206,206,7
108,80,False,153,153,6
109,106,False,198,198,6
110,97,True,208,208,7
111,74,False,100,100,5
112,91,True,213,213,7
113,117,False,209,209,6
114,117,True,256,256,7
115,116,False,229,229,6
116,95,True,215,215,7
117,95,False,185,185,6
118,89,True,212,212,7
119,140,True,280,280,7
120,91,True,213,213,7
121,78,False,132,132,5
122,145,False,298,298,6
123,96,True,206,206,7
124,99,True,228,228,7
125,114,False,228,228,6
126,102,True,233,233,7
127,104,False,204,204,6
128,122,True,260,260,7
129,120,True,264,264,7
130,85,True,199,199,7
131,105,False,190,190,6
132,91,False,175,175,6
133,125,True,248,248,7
134,94,True,219,219,7
135,125,False,241,241,6
136,117,True,249,249,7
137,66,False,103,103,5
138,146,False,296,296,6
139,139,True,286,286,7
140,85,True,194,194,7
141,99,True,218,218,7
142,165,True,313,313,7
143,158,True,297,297,7
144,108,True,219,219,7
145,109,False,200,200,6
146,91,True,213,213,7
147,95,True,224,224,7
148,102,True,232,232,7
